,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,188.04,154.96,185.48,128.72,209.37,128.1,144.92,85.92,232.57,128.66,169.65,71.13,217.14,88.93,164.49,57.54,174.4,120.11,200.71,28.58
1,Other Revenue,-,-1.83,1.83,-,3.07,-0.77,0.77,-,4.22,-0.25,0.25,-,3.73,-1.83,1.83,-,4.16,-3.3,2.08,1.22
2,Revenue,188.04,153.13,187.31,128.72,212.44,127.33,145.7,85.92,236.78,128.41,169.9,71.13,220.88,87.1,166.32,57.54,178.56,116.81,202.78,29.8
3,Revenue Growth (YoY),-11.49%,20.26%,28.57%,49.82%,-10.28%,-0.84%,-14.25%,20.79%,7.20%,47.43%,2.15%,23.61%,23.70%,-25.44%,-17.98%,93.06%,-,-,-,-
4,Cost of Revenue,-301.16,100.24,120,80.93,131.36,77.38,92.44,57.62,163.24,91.5,123.5,52.66,160.08,58.64,113.53,40.74,114.8,80.25,126.96,25.64
5,Gross Profit,489.2,52.89,67.32,47.8,81.08,49.95,53.26,28.3,73.54,36.91,46.4,18.47,60.8,28.46,52.8,16.8,63.75,36.56,75.83,4.17
6,"Selling, General & Admin",-57.97,19.13,23.5,15.34,27.12,20.32,17.4,13.1,17.11,13.64,13.38,13.24,17.59,14.41,15.02,12.15,20.66,15.96,16.91,11.05
7,Research & Development,-27.3,9.29,9.27,8.74,10.73,9.39,11.25,5.94,6.07,4.86,7.95,4.7,6.14,6.6,8.07,5.19,6.79,9.69,8.6,3.81
8,Other Operating Expenses,546.14,0.85,1.82,2,3.66,0.1,-0.12,0.35,2.14,0.5,-0.21,0.73,3.97,0.26,-0.17,0.29,4.84,0.06,-1.03,0.18
9,Operating Expenses,459.28,28.17,36.99,26.38,51.35,28.04,28.56,18.73,27.69,22.67,25.92,16.1,28.27,20.82,27.15,13.55,33.64,22.24,33.19,12.43
10,Operating Income,29.92,24.73,30.33,21.42,29.73,21.92,24.7,9.57,45.85,14.25,20.48,2.36,32.52,7.64,25.65,3.25,30.11,14.33,42.64,-8.26
11,Interest Expense,-3.7,-0.39,-0.41,-0.4,-0.53,-0.39,-0.56,-0.54,-0.55,-0.53,-0.27,-0.26,-0.22,-,-0.36,-0.36,-0.75,-,-0.34,-0.74
12,Interest & Investment Income,1.19,1.27,1.26,1.16,1.36,1.64,0.97,1.3,1.79,1.17,1.59,1.25,1.65,0.21,0.48,0.57,0.04,0.24,0.74,0.94
13,Currency Exchange Gain (Loss),-,-,-,-,-0,-,-,-,-,-,-,-,-,-,-,-,-0,-0,0,-
14,Other Non Operating Income (Expenses),-1.97,0.01,-0.26,-0.42,0.43,-0.25,-0.91,0.33,3.12,-0.23,0.19,-0.09,0.52,-0.66,-0.37,-0.37,0.04,0.08,-0.37,-0.3
15,EBT Excluding Unusual Items,25.45,25.63,30.92,21.76,30.99,22.92,24.2,10.66,50.21,14.66,21.99,3.26,34.47,7.19,25.39,3.11,29.44,14.65,42.67,-8.36
16,Gain (Loss) on Sale of Assets,0.13,0,-0.01,-0.12,-0.06,-0.38,-,0.05,0.14,-0.02,0.02,-,-0.13,0.11,-0.12,-,-0.12,0.11,0.2,-
17,Asset Writedown,7.09,-7.09,1.2,-1.2,4.67,-4.82,1.36,-1.36,2.71,-2.79,1.27,-1.27,2.32,-2.32,1.1,-1.1,2.93,-2.91,0.62,-0.62
18,Other Unusual Items,-5.31,-0.49,3.29,2.52,2.39,-0.7,0.7,-,0.43,0.83,-0.83,-,7.73,-0.28,0.28,-,5.54,-0.18,0.18,-
19,Pretax Income,27.36,18.05,35.39,22.97,38,17.03,26.26,9.35,53.49,12.68,22.44,2,44.4,4.71,26.65,2,37.77,11.66,43.67,-8.98
20,Income Tax Expense,3.17,2.92,4.85,2.4,5.49,1.59,2.32,0.4,8.71,1.38,1.91,-0.21,5.95,0.09,2.34,0.23,4.26,1.62,5.44,-1.22
21,Net Income,24.18,15.12,30.54,20.57,32.5,15.44,23.93,8.95,44.79,11.3,20.54,2.2,38.45,4.61,24.31,1.78,33.51,10.04,38.23,-7.76
