,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1975,1831,2001,1910,1691,2157,2161,2989,2602,1564,1578,1584,2025,1857,2031,1910,-,-,-,-,-
1,Market Cap Growth,-15.13%,-15.13%,-7.43%,-36.10%,-35.01%,37.93%,37.01%,88.66%,28.49%,-15.76%,-22.32%,-17.05%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1672,1527,1725,1634,1427,1893,1924,2733,2383,1344,1322,1228,1707,1539,1723,1831,-,-,-,-,-
3,Last Close Price,14.63,13.56,14.82,13.98,11.91,15.19,15.28,21.13,18.24,10.96,11.06,11.10,13.68,12.54,13.71,13.06,-,-,-,-,-
4,PE Ratio,22.17,20.25,20.26,19.28,18.29,26.69,23.21,33.60,30.41,19.84,21.76,24.08,29.11,26.85,31.63,27.43,-,-,-,-,-
5,PS Ratio,3.05,2.79,2.94,2.91,2.75,3.78,3.63,5.01,4.19,2.58,2.67,2.89,3.71,3.49,4.15,3.68,-,-,-,-,-
6,PB Ratio,2.41,2.33,2.55,2.49,2.11,2.69,2.82,4.00,3.48,2.12,2.28,2.34,2.83,2.61,3.01,2.85,-,-,-,-,-
7,P/TBV Ratio,2.50,2.50,2.73,2.67,2.25,2.88,3.03,4.31,3.75,2.29,2.48,2.54,3.07,2.83,3.28,3.11,-,-,-,-,-
8,P/FCF Ratio,-,-,15.38,16.94,-,28.08,48.47,-,247.81,-74.77,-,-,-,146.57,164.31,-,-,-,-,-,-
9,P/OCF Ratio,-,-,11.57,12.75,-,17.09,20.96,-,26.11,23.40,20.81,18.00,31.20,114.99,125.23,-,-,-,-,-,-
10,EV/Sales Ratio,2.54,2.32,2.53,2.49,2.32,3.31,3.23,4.58,3.84,2.22,2.24,2.24,3.13,2.89,3.52,3.53,-,-,-,-,-
11,EV/EBITDA Ratio,13.94,12.71,14.38,14.04,12.96,19.41,17.05,25.99,23.71,14.41,16.55,16.80,21.80,19.47,22.54,22.08,-,-,-,-,-
12,EV/EBIT Ratio,15.71,14.35,16.24,15.80,14.60,22.03,18.86,28.96,26.43,16.21,18.99,19.50,25.05,22.28,25.85,24.97,-,-,-,-,-
13,EV/FCF Ratio,-,-,13.26,14.49,-,24.64,43.15,-,226.90,-64.27,-,-,-,121.48,139.42,-,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.09,0.09,0.04,0.04,0.01,0.06,0.09,0.09,-,-,0.16
15,Debt / EBITDA Ratio,0.37,0.33,0.39,0.32,0.46,0.34,0.46,0.39,1.29,0.31,0.89,0.65,1.52,0.21,0.25,0.35,1.77,0.31,-,-,-
16,Debt / FCF Ratio,-,-,0.34,0.41,-,0.61,1.01,-,5.99,-2.91,-,-,-,2.37,0.81,-,-,-1.60,-,-,-
17,Asset Turnover,-,0.48,0.60,0.41,0.68,0.43,0.51,0.29,0.83,0.48,0.63,0.27,0.86,0.34,0.74,0.28,-,-,-,-,
18,Inventory Turnover,-,-,3.37,4.04,2.81,4.61,3.00,4.29,2.70,7.47,4.22,5.26,2.25,6.87,2.55,5.18,2.02,-,-,-,-
19,Quick Ratio,-,-,1.73,1.73,1.91,1.93,1.93,2.15,2.19,2.02,2.13,2.16,2.26,2.40,2.29,2.42,1.84,1.68,-,-,-
20,Current Ratio,-,-,2.07,2.09,2.31,2.25,2.32,2.47,2.57,2.23,2.49,2.49,2.58,2.68,2.65,2.70,2.23,1.90,-,-,-
21,Return on Equity (ROE),12.33%,7.80%,15.57%,10.26%,16.59%,8.16%,12.81%,4.82%,25.09%,6.61%,11.80%,1.23%,22.18%,2.75%,17.38%,1.58%,-,-,-,-,
22,Return on Assets (ROA),-,4.87%,6.03%,4.22%,5.98%,4.67%,5.45%,2.04%,10.04%,3.31%,4.77%,0.55%,7.90%,1.88%,7.16%,1.01%,-,-,-,-,
23,Return on Capital (ROIC),9.03%,7.53%,9.13%,6.32%,8.96%,6.84%,7.71%,2.97%,14.80%,4.78%,6.90%,0.79%,11.40%,2.74%,10.70%,1.67%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,13.00%,12.92%,11.69%,10.28%,12.73%,12.09%,11.52%,10.77%,9.63%,8.87%,9.51%,9.66%,9.85%,10.45%,18.74%,16.41%,-,-,-
25,Earnings Yield,4.58%,4.94%,4.93%,5.19%,5.47%,3.75%,4.31%,2.98%,3.29%,5.04%,4.60%,4.15%,3.44%,3.72%,3.16%,3.65%,-,-,-,-,-
