,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,213.02,294.6,518.32,498.37,351.33,914.24,266.88,696.34,518.18,2520,97.59,306.33,-,-,-
1,Trading Asset Securities,-,858.97,877.81,826.69,951.54,1328,796.91,1430,1185,1713,-,-,-,-,-,-
2,Cash & Short-Term Investments,1072,1072,1172,1345,1450,1679,1711,1697,1881,2231,2520,97.59,306.33,-,-,545.34
3,Cash Growth,-26.06%,-36.17%,-31.48%,-20.73%,-22.93%,-24.73%,-32.09%,1638.61%,514.11%,-,-,-82.10%,-,-,-,-
4,Accounts Receivable,-,523.62,521.85,533.19,537.53,595.78,660.48,704.29,678.97,579.73,575.13,520.79,495.8,-,-,-
5,Other Receivables,-,15.6,15.07,16.32,68.47,30.97,31.75,30.97,27.06,27.68,25.63,19.56,17.62,-,-,-
6,Receivables,-,539.22,536.92,549.51,606,626.75,692.23,735.26,706.04,607.41,600.77,540.35,513.42,-,-,-
7,Inventory,-,1020,969.99,925.78,968.22,937.55,928.62,864.38,745.64,626.96,575.49,568.08,437.44,-,-,-
8,Prepaid Expenses,-,-,0.01,-,1.59,-,0.35,-,1.87,-,1.39,0.73,4.72,-,-,-
9,Other Current Assets,-,183.56,184.94,253.9,241.73,215.38,154.84,275.61,306.77,233.73,83.06,149.44,102.79,-,-,-
10,Total Current Assets,-,2815,2864,3074,3267,3459,3487,3572,3642,3699,3780,1356,1365,-,-,-
11,"Property, Plant & Equipment",-,301.49,311.51,321.17,333.46,339.81,340.6,348.35,350.57,343.97,347.71,348.06,347.91,-,-,-
12,Long-Term Investments,-,26.51,27.41,27.11,28.32,36.93,33.64,23.48,16.69,12.8,14.46,12.4,14.06,-,-,-
13,Other Intangible Assets,-,210.83,219.38,236.04,221.87,108.78,96.91,93.36,99.2,100.84,105.85,112.09,118.41,-,-,-
14,Long-Term Deferred Tax Assets,-,166.04,148.43,121.6,110.9,107.23,95.86,66.9,53.88,37.58,34.41,31.82,30.12,-,-,-
15,Long-Term Deferred Charges,-,196.15,175.68,127.4,138.66,249.44,242.39,196.28,191.12,164.78,157.76,120.66,109.26,-,-,-
16,Other Long-Term Assets,-,11.26,21.6,22.65,11.43,14.1,16.42,18.56,15.33,8.01,6.14,5.95,5.01,-,-,-
