,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,199.1,88.25,99.53,120,110.32,87.11,189.11,118.09,252.8,137.14,165.14,181.48,425.59,211.91,274.36,288.42
1,Other Revenue,-,-0.06,0.06,-,1.07,-0.7,0.7,-,2.1,-0.99,0.99,-,0.97,-0.07,0.07,-
2,Revenue,199.1,88.19,99.59,120,111.39,86.42,189.8,118.09,254.9,136.15,166.14,181.48,426.56,211.84,274.43,288.42
3,Revenue Growth (YoY),78.75%,2.05%,-47.53%,1.62%,-56.30%,-36.53%,14.24%,-34.93%,-40.24%,-35.73%,-39.46%,-37.08%,-,-,-,-
4,Cost of Revenue,-215.55,21.07,111.37,83.11,77.57,54.71,124.14,74.35,147.83,88.08,86.07,70.77,171.37,89.35,131.75,163.71
5,Gross Profit,414.66,67.12,-11.79,36.89,33.82,31.71,65.66,43.74,107.07,48.07,80.06,110.71,255.19,122.49,142.68,124.71
6,"Selling, General & Admin",-148.14,49.95,53.22,44.97,57.86,58.95,62.56,53.83,51.7,49.69,45.1,44.77,53.23,46.92,53.41,37.16
7,Research & Development,-310.99,97.76,128.65,84.58,115.27,112.07,101.74,95.48,101.18,86.61,72.77,52.34,95.67,60.49,75.16,49.46
8,Other Operating Expenses,1191,-15.94,-1.09,-4.7,-17.22,-12.82,-34.03,-17.71,171.54,-57.91,-104.22,-5.36,29.31,-17.13,-7.55,1.83
9,Operating Expenses,697.61,127.42,221.6,123,180.34,158.14,134.45,137.4,330.39,82.52,23.51,92.79,177.53,92.82,121.44,87.59
10,Operating Income,-282.95,-60.3,-233.38,-86.11,-146.53,-126.43,-68.79,-93.67,-223.32,-34.46,56.55,17.92,77.65,29.68,21.24,37.12
11,Interest Expense,-19.25,-,-,-,-0.87,-,-,-,-0.42,-,-,-,-,-,-,-
12,Interest & Investment Income,-,7.38,5.12,6.76,11.24,13.08,15.38,8.89,14.93,5.61,1.57,0.89,1.37,1.85,1.88,2.49
13,Currency Exchange Gain (Loss),-,-2.6,2.6,-,-1.54,1.22,-1.22,-,0.46,-2.69,2.69,-,4.53,-3.17,-0.34,3.51
