,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,54111,52982,47911,35226,34991,44355,34839,46031,58791,34265,28303,36952,-,-,-,-,-
1,Market Cap Growth,19.45%,19.45%,37.52%,-23.47%,-40.48%,29.44%,23.09%,24.57%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,53046,51917,46748,33890,33473,42836,33146,44347,56578,32053,25804,36875,-,-,-,-,-
3,Last Close Price,135.10,132.28,119.62,87.93,87.26,110.61,86.88,114.79,146.61,85.45,70.58,92.15,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-,156.97,-,-,-,-,-
5,Forward PE,-,-,-,-,219.52,197.80,145.41,169.43,174.54,98.22,68.86,97.26,-,-,-,-,-
6,PS Ratio,106.57,104.52,114.30,84.39,68.93,87.71,53.66,65.86,87.06,46.39,31.09,37.48,-,-,-,-,-
7,PB Ratio,16.34,16.50,14.92,10.63,10.07,12.50,9.43,12.10,15.37,8.81,7.25,9.44,-,-,-,-,-
8,P/TBV Ratio,17.66,17.66,15.97,11.38,10.81,13.33,9.72,12.41,15.76,9.04,7.44,9.71,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-56.16,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,-60.88,-,-,-,-274.07,-,-,-,-,-
11,EV/Sales Ratio,104.65,102.42,111.53,81.19,65.94,84.71,51.06,63.45,83.79,43.39,28.35,37.40,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,160.32,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,202.83,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-54.10,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.00,0.01,0.00,0.01,0.01,0.01,-,-,-
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,0.07,0.17,0.05,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-0.02,-,-,-,-,-,-0.09,-,-,-
18,Asset Turnover,-,0.09,0.10,0.12,0.11,0.08,0.18,0.11,0.23,0.12,0.21,0.37,-,-,-,-,
19,Inventory Turnover,-,-,0.08,0.47,0.35,0.33,0.23,0.55,0.37,0.86,0.59,0.60,0.56,-,-,-,-
20,Quick Ratio,-,-,4.97,5.98,6.57,4.64,4.57,6.24,6.59,7.41,8.50,8.06,2.03,2.24,-,-,-
21,Current Ratio,-,-,8.68,10.02,10.66,7.38,6.85,9.06,9.68,10.42,11.07,9.76,4.31,3.73,-,-,-
22,Return on Equity (ROE),-35.00%,-12.83%,-19.25%,-8.52%,-13.53%,-11.00%,-3.31%,-7.48%,-2.19%,-1.61%,7.83%,10.31%,-,-,-,-,
23,Return on Assets (ROA),-,-4.02%,-15.16%,-5.35%,-8.69%,-7.33%,-3.98%,-5.39%,-12.78%,-1.95%,4.39%,2.25%,-,-,-,-,
24,Return on Capital (ROIC),-21.98%,-4.61%,-17.14%,-6.04%,-9.76%,-8.23%,-4.49%,-6.04%,-14.25%,-2.19%,5.25%,3.12%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,4.48%,8.76%,10.20%,-,-,-
26,Earnings Yield,-1.15%,-1.18%,-0.97%,-1.32%,-0.95%,-0.74%,-0.65%,-0.31%,-0.10%,0.15%,0.67%,0.64%,-,-,-,-,-
27,FCF Yield,-,-0.98%,-1.54%,-1.04%,-1.18%,-2.03%,-1.78%,-1.42%,-2.50%,-1.73%,-0.77%,-,-,-,-,-,
28,Buyback Yield / Dilution,0.47%,2.34%,1.73%,-4.06%,1.81%,-7.96%,-2.51%,-14.88%,-10.10%,-8.29%,-7.03%,2.18%,0.95%,-,-,-,-
29,Total Shareholder Return,0.47%,2.34%,1.73%,-4.06%,1.81%,-7.96%,-2.51%,-14.88%,-10.10%,-8.29%,-7.03%,2.18%,0.95%,-,-,-,-
