,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1615,1143,861.22,998.31,1309,909.21,952.49,1102,1389,1073,1073,894.6,683.54,361.94,361.94
1,Other Revenue,-88.81,88.81,-,221.53,-104.86,104.86,-,143.2,-50.8,25.4,25.4,20.95,-,6.55,6.55
2,Revenue,1526,1232,861.22,1220,1204,1014,952.49,1246,1339,1099,1099,915.56,683.54,368.49,368.49
3,Revenue Growth (YoY),26.75%,21.52%,-9.58%,-2.07%,-10.02%,-7.72%,-13.32%,36.05%,95.82%,198.20%,198.20%,-,-,-,-
4,Cost of Revenue,1154,921.75,631.77,974.73,899.35,785.21,619.18,835.08,783.11,613.92,613.92,590.25,414.01,235.11,235.11
5,Gross Profit,372.35,310.51,229.45,245.12,305.02,228.86,333.31,410.56,555.39,484.93,484.93,325.31,269.53,133.38,133.38
6,"Selling, General & Admin",22.58,19.51,18.91,24.14,19.84,24.83,17.17,32.31,19.11,14.37,14.37,19.31,12.66,9.87,9.87
7,Research & Development,57.1,27.24,28.06,35.47,26.39,31.48,31.44,48.46,17.25,20.26,20.26,16.47,17.25,10.52,10.52
8,Other Operating Expenses,1.57,-14.68,5.24,7.44,10.5,-1.56,-7.88,15.03,1.67,0.22,0.22,3.04,2.75,1.82,1.82
9,Operating Expenses,103.55,42.78,36.3,133.2,13.9,78.19,30.07,77.32,68.47,30.93,30.93,53.82,64.28,25.02,25.02
10,Operating Income,268.8,267.74,193.15,111.92,291.11,150.66,303.24,333.23,486.92,454,454,271.49,205.25,108.35,108.35
11,Interest Expense,-16.56,-11.07,-10.41,-13.24,-6.98,-11.93,-13.17,-29.55,-24.96,-19.62,-19.62,-14.06,-7.62,-3.54,-3.54
12,Interest & Investment Income,1.46,1.1,5.35,6.06,1.91,4.11,6.45,0.13,0.18,0.1,0.1,0.08,0.29,0.1,0.1
13,Currency Exchange Gain (Loss),-0.12,0.12,-,-0.02,-0.02,0.02,-,0.02,-0,0,0,-0,-,-,-
14,Other Non Operating Income (Expenses),-1.84,0.28,-2.45,-3.22,-1.14,-0.16,-0.9,-1.67,-3.25,-0.78,-0.78,0.05,0.03,-0.24,-0.24
15,EBT Excluding Unusual Items,251.74,258.17,185.63,101.49,284.89,142.7,295.61,302.16,458.88,433.7,433.7,257.55,197.95,104.67,104.67
16,Gain (Loss) on Sale of Investments,-,-,-,-,0.04,-0.01,-0.03,-0.12,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-12.41,-9.04,-2.11,-15.71,-,-,-,-0.02,-0.81,0.41,0.41,-0,-0,0.11,0.11
18,Asset Writedown,22.31,-0.93,0.93,43.36,-43.17,14.41,-14.61,14.94,-13.93,-0.1,-0.1,-,-,-0.12,-0.12
19,Other Unusual Items,8.36,8.55,3.37,66.12,-39.37,39.37,-,-32.47,-4.54,2.27,2.27,-2.98,1.1,0.37,0.37
20,Pretax Income,269.99,256.74,187.82,195.26,202.4,196.47,280.98,284.5,439.6,436.28,436.28,254.57,199.05,105.03,105.03
21,Income Tax Expense,48.85,48.79,39.1,40.42,38.99,22.3,50.49,41.5,85.24,90.23,90.23,49.4,35.6,17.61,17.61
22,Net Income,221.14,207.96,148.72,154.84,163.41,174.17,230.49,243,354.36,346.05,346.05,205.17,163.45,87.43,87.43
23,Net Income to Common,221.14,207.96,148.72,154.84,163.41,174.17,230.49,243,354.36,346.05,346.05,205.17,163.45,87.43,87.43
24,Net Income Growth,35.33%,19.40%,-35.48%,-36.28%,-53.89%,-49.67%,-33.39%,18.44%,116.80%,295.81%,295.81%,-,-,-,-
25,Shares Outstanding (Basic),260,260,261,262,259,260,259,195,195,195,195,195,195,194,194
26,Shares Outstanding (Diluted),260,260,261,262,259,260,259,195,195,195,195,195,195,194,194
