,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,289.74,294.95,97.63,133.97,709.68,642.16,-,2151,139,159.11,159.11,120.95,-,58.4,58.4
1,Trading Asset Securities,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,290.44,294.95,97.63,133.97,709.68,642.16,2151,2151,139,159.11,159.11,120.95,58.4,58.4,58.4
3,Cash Growth,-59.07%,-54.07%,-95.46%,-93.77%,410.57%,303.61%,1251.78%,1678.25%,138.03%,172.46%,172.46%,-,-,-,-
4,Accounts Receivable,3114,2537,2538,2166,2788,2983,-,2450,2174,1536,1536,1782,-,648.16,648.16
5,Other Receivables,8.3,8.21,6.92,8.33,12.62,13.41,-,14.97,-,3.76,3.76,-,-,2.66,2.66
6,Receivables,3122,2932,2545,3387,2801,2996,-,2465,2174,1540,1540,1782,-,650.83,650.83
7,Inventory,1338,1215,1145,1092,1211,1411,-,1473,1163,912.31,912.31,430.83,-,318.6,318.6
8,Prepaid Expenses,-,-,-,-,-,-,-,54,-,19.25,19.25,-,-,-,-
9,Other Current Assets,214.17,166.27,1052,116.53,560.72,118.67,-,108.51,204.1,101.48,101.48,143.28,-,120.68,120.68
10,Total Current Assets,4965,4608,4839,4729,5282,5168,-,6251,3680,2732,2732,2477,-,1149,1149
11,"Property, Plant & Equipment",2695,2562,2396,2373,2338,2328,-,2289,2027,1735,1735,895.57,-,751.99,751.99
12,Long-Term Investments,0.35,0.33,0.27,0.29,0.34,0.36,-,0.4,0.52,-,-,-,-,-,-
13,Other Intangible Assets,280.01,281.26,282.15,211.27,212.58,213.66,-,215.69,216.89,218.09,218.09,157.33,-,159,159
14,Long-Term Deferred Tax Assets,46.67,46.17,45.07,53.51,44.46,50.79,-,48.26,35.1,26.1,26.1,27.64,-,14.89,14.89
15,Long-Term Deferred Charges,1.73,1.87,2.01,2.15,2.31,2.5,-,2.9,0.27,0.37,0.37,0.57,-,0.77,0.77
16,Other Long-Term Assets,160.4,107.94,82.45,48.42,45.16,13.62,-,63.58,140.47,217.26,217.26,114.59,-,43.58,43.58
17,Total Assets,8149,7608,7647,7418,7924,7777,-,8870,6101,4928,4928,3672,-,2119,2119
18,Accounts Payable,359.32,282,204.38,201.57,194.05,249.39,-,418,315.9,235.75,235.75,73.77,-,159.91,159.91
19,Accrued Expenses,35.79,49.57,23.22,118.72,25.26,60.46,-,53.82,63.82,39.5,39.5,42.73,-,25.53,25.53
20,Short-Term Debt,409.15,636.73,796.77,651.73,632.12,791.1,-,1688,1240,607.17,607.17,273.17,-,75.06,75.06
21,Current Portion of Long-Term Debt,104.93,6.07,92.73,4.51,-,0.39,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,66.3,-,107.46,191.46,200.12,-,237.74,240.95,167.31,167.31,125.49,-,-,-
23,Current Income Taxes Payable,51.71,33.89,96.51,45.72,131.81,17,-,63.99,86.69,129.79,129.79,64.79,-,24.07,24.07
24,Current Unearned Revenue,7.26,7.98,18.46,20.21,548.9,723.64,-,813.76,813.53,895.79,895.79,856.52,-,139.84,139.84
25,Other Current Liabilities,45.05,47.21,37.21,34.26,104.58,102.94,-,116.49,116.53,118.27,118.27,183.07,-,66.97,66.97
26,Total Current Liabilities,1013,1130,1269,1184,1828,2145,-,3392,2878,2194,2194,1620,-,491.37,491.37
27,Long-Term Debt,999.93,550.92,453.44,444.31,396.81,49.66,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,11.05,24.09,21.43,34.37,99.24,143.05,-,233.3,283.79,147.65,147.65,158.99,-,-,-
29,Long-Term Unearned Revenue,79.6,82.92,86.23,89.55,92.5,95.79,-,47.03,48.59,50.16,50.16,48.97,-,42.87,42.87
30,Long-Term Deferred Tax Liabilities,0.73,0.77,0.81,0.84,1.58,1.71,-,0.99,1.13,1.26,1.26,1.13,-,1.2,1.2
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,59.58,59.58
32,Total Liabilities,2105,1788,1831,1753,2418,2435,-,3673,3211,2393,2393,1829,-,595.01,595.01
33,Common Stock,260.96,260.96,260.75,260.76,260.76,259.77,-,259.77,194.83,194.83,194.83,194.83,-,194.83,194.83
34,Additional Paid-In Capital,3055,3052,3044,3041,3038,3012,-,3012,1013,1013,1013,1013,-,1013,1013
35,Retained Earnings,2758,2537,2537,2389,2234,2070,-,1925,1682,1328,1328,636,-,316.08,316.08
36,Treasury Stock,-29.96,-29.96,-26.11,-26.24,-26.24,-,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,6044,5819,5816,5664,5506,5342,5197,5197,2890,2536,2536,1844,1524,1524,1524
