,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,14611,13774,11268,7984,9549,12584,14628,17937,15337,-,-,-,-,-,-,-
1,Market Cap Growth,9.45%,9.45%,-22.97%,-55.49%,-37.74%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,15846,14763,12535,8594,10159,13126,14636,19563,16963,-,-,-,-,-,-,-
3,Last Close Price,55.99,52.78,43.22,30.11,36.01,47.45,55.37,66.88,57.18,-,-,-,-,-,-,-
4,PE Ratio,19.92,18.80,16.70,12.45,13.21,15.52,14.60,15.28,11.89,-,-,-,-,-,-,-
5,Forward PE,18.27,18.30,15.10,10.02,11.26,11.57,11.76,11.58,-,-,-,-,-,-,-,-
6,PS Ratio,3.02,2.85,2.49,1.86,2.17,2.85,3.21,3.87,3.21,-,-,-,-,-,-,-
7,PB Ratio,2.42,2.28,1.94,1.37,1.69,2.29,2.74,3.45,2.95,-,-,-,-,-,-,-
8,P/TBV Ratio,2.39,2.39,2.03,1.44,1.75,2.38,2.85,3.60,3.08,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-13.91,-8.20,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,22.23,-,-22.93,-10.03,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.27,3.05,2.77,2.00,2.31,2.97,3.22,4.22,3.55,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.61,13.49,11.55,8.93,9.76,10.56,10.16,11.45,9.16,-,-,-,-,-,-,-
13,EV/EBIT Ratio,19.35,17.54,14.51,11.51,11.85,12.17,11.49,12.40,9.82,-,-,-,-,-,-,-
14,EV/FCF Ratio,-21.92,-,-,-,-14.80,-8.56,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.25,0.25,0.22,0.23,0.22,0.24,0.22,0.42,0.42,0.61,0.36,0.36,0.30,0.05,0.05,0.05
16,Debt / EBITDA Ratio,1.31,1.15,0.96,1.34,1.76,1.02,1.40,1.62,1.43,0.85,0.48,0.48,0.47,0.08,0.17,0.17
17,Debt / FCF Ratio,-,-,-,-,-1.81,-0.86,-,-,-,-,-,-,-1.19,-,-,-
18,Asset Turnover,0.78,0.65,0.46,0.64,0.61,-,-,0.67,0.97,0.89,1.02,-,-,0.70,-,
19,Inventory Turnover,2.89,3.62,3.12,2.26,3.39,2.74,-,-,2.53,3.02,2.69,3.66,-,-,2.95,-
20,Quick Ratio,3.37,3.37,2.51,2.08,1.95,1.92,1.70,-,1.36,0.80,0.77,0.77,1.17,-,1.44,1.44
21,Current Ratio,4.90,4.90,4.08,3.81,3.99,2.89,2.41,-,1.84,1.28,1.25,1.25,1.53,-,2.34,2.34
22,Return on Equity (ROE),14.91%,14.30%,10.36%,11.09%,12.05%,13.22%,17.74%,24.04%,52.25%,54.59%,63.21%,48.74%,42.91%,22.95%,-,
23,Return on Assets (ROA),8.53%,8.78%,6.41%,3.65%,9.27%,-,-,11.13%,22.07%,23.03%,26.39%,-,-,12.78%,-,
24,Return on Capital (ROIC),9.16%,9.37%,6.86%,4.07%,10.90%,5.43%,10.31%,13.87%,30.01%,32.82%,38.74%,33.94%,32.09%,16.94%,-,
25,Return on Capital Employed (ROCE),11.48%,11.79%,13.34%,11.71%,13.75%,17.69%,22.62%,-,31.55%,51.69%,50.63%,38.00%,33.78%,-,13.32%,6.66%
26,Earnings Yield,5.01%,5.32%,5.99%,8.03%,7.57%,6.45%,6.85%,6.54%,8.41%,-,-,-,-,-,-,-
27,FCF Yield,-4.95%,-5.25%,-0.50%,-5.21%,-7.19%,-12.19%,-16.44%,-12.35%,-11.23%,-,-,-,-,-,-,-
28,Dividend Yield,1.45%,-,-,-,2.22%,-,-,-,1.75%,-,-,-,-,-,-,-
29,Payout Ratio,34.44%,8.25%,99.58%,3.86%,13.74%,3.12%,147.90%,0.62%,1.01%,0.97%,7.75%,7.75%,1.70%,2.39%,0.27%,0.27%
30,Buyback Yield / Dilution,-7.21%,-0.29%,0.01%,-0.75%,-34.68%,-33.22%,-33.27%,-32.84%,0.09%,0.07%,-0.35%,-0.35%,-,-,-,-
31,Total Shareholder Return,-5.76%,-0.29%,0.01%,-0.75%,-32.46%,-33.22%,-33.27%,-32.84%,1.83%,0.07%,-0.35%,-0.35%,-,-,-,-
