,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1224,1087,1017,1315,1473,1656,1017,1239,782.05
1,Revenue Growth (YoY),20.35%,-17.32%,-30.97%,-20.59%,44.79%,33.73%,30.07%,-,-
2,Cost of Revenue,995.33,874.75,811.78,1061,1214,1370,803.12,1018,610.58
3,Gross Profit,228.25,212.55,204.88,254.45,259.3,286.25,214.11,220.84,171.47
4,"Selling, General & Admin",186.06,192.27,184.94,173.46,174.13,173.99,147.33,122.09,119.95
5,Other Operating Expenses,-7.84,6.82,-16.15,12.01,-5.06,8.93,-3.79,5.45,-2.65
6,Operating Expenses,178.22,202.95,168.79,191.48,169.07,181.89,143.54,131.12,117.3
7,Operating Income,50.03,9.6,36.09,62.97,90.24,104.36,70.57,89.73,54.17
8,Interest Expense,-12.98,-12.21,-10.35,-8.73,-5.01,-3.91,-4.06,-5.95,-5.8
9,Interest & Investment Income,-,3.87,-,1.37,-,0.6,-,0.38,-
10,Earnings From Equity Investments,2.03,2.12,1.04,0.85,0.19,0.76,0.2,0.08,0.52
11,Currency Exchange Gain (Loss),-,-1.25,-,-0.53,-,0.4,-,-4.13,-
12,EBT Excluding Unusual Items,39.08,2.14,26.78,55.94,85.41,102.22,66.7,80.11,48.88
13,Gain (Loss) on Sale of Assets,-,-0.1,-,1.04,-,0.4,-,0.09,-
14,Other Unusual Items,-,43.55,-,5.38,-,0.67,-,-12.37,-
15,Pretax Income,39.08,45.59,26.78,62.35,85.41,103.28,66.7,67.83,48.88
16,Income Tax Expense,18.83,10.8,13.33,20.81,27.45,27.25,19.39,18.85,15.84
17,Earnings From Continuing Operations,20.25,34.79,13.45,41.54,57.97,76.03,47.32,48.98,33.04
18,Minority Interest in Earnings,-1.64,0.35,-0.32,-6.11,-6.77,-27.78,-12.15,-17.17,-9.32
19,Net Income,18.61,35.14,13.14,35.43,51.2,48.25,35.16,31.8,23.72
20,Net Income to Common,18.61,35.14,13.14,35.43,51.2,48.25,35.16,31.8,23.72
21,Net Income Growth,41.66%,-0.83%,-74.34%,-26.56%,45.61%,51.73%,48.24%,-,-
22,Shares Outstanding (Basic),293,293,293,268,271,257,251,-,-
23,Shares Outstanding (Diluted),293,293,293,268,271,257,251,-,-
24,Shares Change (YoY),-,9.08%,8.16%,4.59%,7.98%,-,-,-,-
25,EPS (Basic),0.06,0.12,0.04,0.13,0.19,0.19,0.14,-,-
26,EPS (Diluted),0.06,0.12,0.04,0.13,0.19,0.19,0.14,-,-
27,EPS Growth,41.66%,-9.08%,-76.28%,-29.79%,34.85%,-,-,-,-
28,Free Cash Flow,-17.56,38.88,36.87,1.58,91.83,104.2,46.67,142.49,39.22
29,Free Cash Flow Per Share,-0.06,0.13,0.13,0.01,0.34,0.41,0.19,-,-
30,Dividend Per Share,0.020,0.010,0.030,0.100,0.130,0.120,0.090,-,-
31,Dividend Growth,-33.33%,-90.00%,-76.92%,-16.67%,44.44%,-,-,-,-
32,Operating Margin,4.09%,0.88%,3.55%,4.79%,6.13%,6.30%,6.94%,7.24%,6.93%
33,Profit Margin,1.52%,3.23%,1.29%,2.69%,3.48%,2.91%,3.46%,2.57%,3.03%
34,Free Cash Flow Margin,-1.44%,3.58%,3.63%,0.12%,6.24%,6.29%,4.59%,11.50%,5.02%
35,EBITDA,64.75,23.94,53.95,77.94,103.95,115.06,80.44,98.23,61.54
36,D&A For EBITDA,14.71,14.34,17.86,14.97,13.72,10.7,9.86,8.5,7.38
37,EBIT,50.03,9.6,36.09,62.97,90.24,104.36,70.57,89.73,54.17
