,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,208.49,260.28,289.42,298.2,338.05,295.14,235.6,255.32,-
1,Short-Term Investments,25.09,22.21,16.19,7.88,-,-,-,-,-
2,Cash & Short-Term Investments,233.58,282.48,305.61,306.09,338.05,295.14,235.6,255.32,116.52
3,Cash Growth,-23.57%,-7.71%,-9.59%,3.71%,43.48%,15.60%,102.20%,-,-
4,Accounts Receivable,680.79,540,544.44,582.21,662.31,620.85,420.15,449.79,-
5,Other Receivables,97.4,73.42,72.65,59.92,73.85,66.43,56.48,45.96,-
6,Receivables,786.57,613.42,617.09,642.12,736.16,687.28,476.63,495.75,-
7,Other Current Assets,2.26,2.32,5.02,5.27,5.23,5.83,5.85,2.32,-
8,Total Current Assets,1022,898.23,927.71,953.48,1079,988.25,718.08,753.4,-
9,"Property, Plant & Equipment",245.49,253.55,263.17,257.11,224.07,226.67,254.47,235.2,-
10,Long-Term Investments,18.26,19.68,13.21,12.82,12.95,11.48,2.88,3.08,-
11,Goodwill,223.54,224.76,225.35,224.56,199.57,25.14,24.76,24.63,-
12,Other Intangible Assets,2.59,2.52,3.71,7.39,7.54,2.22,2.2,0.58,-
13,Long-Term Deferred Tax Assets,12.35,10.88,7.54,3.17,1.39,2.62,1.98,2.55,-
14,Other Long-Term Assets,-,-,4.94,0.38,28.05,14.49,-,25.17,-
15,Total Assets,1535,1415,1451,1464,1553,1271,1004,1045,-
16,Accounts Payable,304.34,236.12,240.1,266.92,325.71,376.9,216.82,255.55,-
17,Accrued Expenses,88.95,227.62,8.12,270,289.01,18.37,10.01,6.97,-
18,Short-Term Debt,0.08,0.07,0.03,0.05,0.05,0.02,-,0.04,-
19,Current Portion of Long-Term Debt,349.48,307.65,288.33,285.13,217.63,158.93,99.72,87.81,-
20,Current Portion of Leases,57,50.47,54.96,41.26,52.09,50.05,52.62,54.76,-
21,Current Income Taxes Payable,11.68,7.93,12.41,16.88,42.31,25.95,10.85,16.6,-
22,Current Unearned Revenue,34.79,7.8,12.98,7.03,8.73,9.68,2.64,1.73,-
23,Other Current Liabilities,47.85,63.61,341.9,73.41,108.71,86.1,52.29,59.5,-
24,Total Current Liabilities,894.16,901.27,958.82,960.69,1044,726,444.95,482.96,-
25,Long-Term Debt,3.23,13.23,11.62,1.72,1.96,2.65,0.88,0.91,-
26,Long-Term Leases,52.7,51.26,63.56,56.4,61.06,62.47,80.65,93.08,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,4.91,2.99,7.79,5.65,-
28,Other Long-Term Liabilities,12.04,24.1,23.7,23.17,-,-,-,-,-
29,Total Liabilities,973.85,1001,1067,1050,1120,806.36,545.32,595.4,-
30,Common Stock,2.34,2.15,2.15,2.15,2.15,2.15,1.99,1.95,-
31,Additional Paid-In Capital,385.17,238.29,245.56,273.17,308.05,364.74,230.58,194.47,-
32,Retained Earnings,228.04,209.34,174.78,161.53,125.45,72.61,145.54,146.99,-
33,Comprehensive Income & Other,-99.16,-86.74,-91.68,-84.58,-66.12,-36.39,-9.47,9.26,-
34,Total Common Equity,516.39,363.05,330.81,352.27,369.54,403.11,368.64,352.66,254.76
35,Minority Interest,44.8,50.45,52.84,61.61,63.77,61.41,90.41,96.54,-
36,Shareholders' Equity,561.19,413.5,383.65,413.89,433.3,464.52,459.05,449.2,362.97
37,Total Liabilities & Equity,1535,1415,1451,1464,1553,1271,1004,1045,-
38,Total Debt,462.48,422.68,418.5,384.56,332.78,274.12,233.86,236.59,329.16
39,Net Cash (Debt),-228.9,-140.19,-112.89,-78.47,5.27,21.03,1.74,18.73,-212.64
40,Net Cash Growth,-,-,-,-,202.24%,12.25%,-,-,-
41,Net Cash Per Share,-0.78,-0.48,-0.39,-0.29,0.02,0.08,0.01,-,-
42,Filing Date Shares Outstanding,300.49,276.1,276.1,276.1,276.1,276.1,255,250,-
43,Total Common Shares Outstanding,300.49,276.1,276.1,276.1,276.1,276.1,255,250,-
44,Working Capital,128.25,-3.05,-31.11,-7.21,35.21,262.25,273.13,270.44,-
45,Book Value Per Share,1.72,1.31,1.20,1.28,1.34,1.46,1.45,1.41,1.30
46,Tangible Book Value,290.26,135.76,101.76,120.32,162.43,375.74,341.67,327.45,231.71
47,Tangible Book Value Per Share,0.97,0.49,0.37,0.44,0.59,1.36,1.34,1.31,1.18
48,Machinery,-,243.09,-,226.51,-,154.58,-,105.94,-
49,Leasehold Improvements,-,54.06,-,52.74,-,52.47,-,54.47,-
