,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1025,1172,1679,2181,2316,2513,2789,2020,1050,-
1,Market Cap Growth,-46.27%,-46.27%,-27.53%,-13.19%,-16.93%,24.41%,165.58%,-,-,-
2,Enterprise Value,1298,1363,1844,2321,2375,2553,2877,2097,1371,-
3,Last Close Price,3.41,3.88,6.03,7.80,8.18,8.73,9.47,7.34,3.82,-
4,PE Ratio,18.57,21.80,34.77,44.91,26.74,25.26,33.43,30.16,18.91,-
5,PS Ratio,0.43,0.51,0.80,0.94,0.83,0.80,1.04,0.90,0.52,-
6,PB Ratio,1.98,2.09,4.06,5.69,5.60,5.80,6.00,4.40,2.34,-
7,P/TBV Ratio,4.04,4.04,12.36,21.44,19.25,15.47,7.42,5.91,3.21,-
8,P/FCF Ratio,48.05,-,22.16,56.74,24.80,12.82,18.48,10.68,5.78,-
9,P/OCF Ratio,29.81,-,16.79,23.25,14.22,10.57,14.62,8.24,4.75,-
10,EV/Sales Ratio,0.56,0.59,0.88,1.00,0.85,0.82,1.08,0.93,0.68,-
11,EV/EBITDA Ratio,8.52,15.36,23.68,17.60,13.06,11.66,14.72,11.74,8.58,-
12,EV/EBIT Ratio,24.89,22.85,40.37,23.43,15.50,13.12,16.45,13.08,9.53,-
13,EV/FCF Ratio,60.89,-,24.35,60.38,25.43,13.02,19.07,11.09,7.54,-
14,Debt / Equity Ratio,0.82,0.82,1.02,1.09,0.93,0.77,0.59,0.51,0.53,0.91
15,Debt / FCF Ratio,21.69,-,5.58,10.89,4.12,1.70,1.82,1.24,1.30,8.39
16,Return on Capital Employed (ROCE),7.49%,9.30%,8.90%,20.13%,30.44%,38.25%,32.11%,28.65%,25.62%,-
17,Earnings Yield,5.25%,4.59%,2.88%,2.23%,3.74%,3.96%,2.99%,3.32%,5.29%,-
18,FCF Yield,2.08%,1.82%,4.51%,1.76%,4.03%,7.80%,5.41%,9.37%,17.31%,-
19,Dividend Yield,1.17%,0.77%,0.66%,1.67%,2.81%,2.86%,2.22%,1.23%,-,-
20,Buyback Yield / Dilution,-4.34%,-,-9.08%,-8.16%,-4.59%,-7.98%,-,-,-,-
21,Total Shareholder Return,-3.17%,0.77%,-8.41%,-6.49%,-1.78%,-5.12%,2.22%,1.23%,-,-
