,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,407.53,252.69,237.5,247.6,314.65,220.1,195.19,186.72,241.31,160.7,127.98,142.17,195.16,119.75,144.17,46.83,223.67
1,Other Revenue,-,-0.06,0.06,-,0.8,-,-,-,0.24,-0.24,0.24,-,5.94,-5.94,5.94,-,4.63
2,Revenue,407.53,252.62,237.56,247.6,315.44,220.1,195.19,186.72,241.55,160.46,128.22,142.17,201.1,113.81,150.11,46.83,228.3
3,Revenue Growth (YoY),29.19%,14.77%,21.71%,32.61%,30.59%,37.17%,52.23%,31.34%,20.12%,40.99%,-14.58%,203.54%,-11.92%,-,-,-,-
4,Cost of Revenue,-334.88,122.36,110.42,102.1,140.79,87.17,84.42,76.18,84.97,64.78,54.58,58.5,80.63,47.48,65.97,17.8,81.84
5,Gross Profit,742.41,130.26,127.15,145.5,174.65,132.93,110.77,110.54,156.58,95.69,73.64,83.67,120.46,66.33,84.14,29.03,146.46
6,"Selling, General & Admin",-64.45,24.72,19.92,19.8,208.14,13.25,12.42,13.28,10.27,9.02,7.99,10.18,7.63,7.7,8.12,6.9,6.89
7,Research & Development,-57.91,24.89,19.4,13.62,15.27,24.71,21.05,11.88,14.91,17.05,17.36,12.64,14.85,9.41,12.71,15.17,19.48
8,Other Operating Expenses,694.85,-0.51,1.22,1.33,0.04,-0.68,0.98,0.57,20.24,-2.24,-4.6,-12.33,19.4,-5.57,-3.01,-23.62,-5.92
9,Operating Expenses,583.58,32.93,45.1,35.28,228.14,39.36,47.48,29.2,44.3,25.4,24.26,17.97,50.93,4.89,25,-5.82,27.33
10,Operating Income,158.83,97.33,82.04,110.22,-53.49,93.57,63.29,81.34,112.28,70.29,49.38,65.69,69.53,61.45,59.13,34.86,119.13
11,Interest Expense,-47.66,-6.49,-4.98,-3.32,-1.91,-0.4,-0.13,-,-,-0.01,-0.01,-0.75,-0.71,-0.59,-0.52,-0.55,-0.83
12,Interest & Investment Income,14.79,16.15,12.63,18.88,13.12,26.8,9.08,19.15,16.67,21.15,20.2,4.15,0.27,0.25,0.19,0.11,0.04
13,Other Non Operating Income (Expenses),-2.47,0.13,-0.13,-0.04,-0.16,0.23,4.93,0.09,2.68,-1,-0.36,-1.31,1.42,-0.12,-0.98,-0.38,-0.01
14,EBT Excluding Unusual Items,123.49,107.11,89.56,125.74,-42.44,120.19,77.17,100.58,131.64,90.43,69.21,67.78,70.52,60.98,57.82,34.04,118.32
15,Gain (Loss) on Sale of Investments,0.2,-1.45,2.38,-1.14,1.44,-12.75,15.65,0.94,4.32,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.06,0,-0.06,-0.01,1.12,-,-,-,-0.01,0.01,-0.01,-,-0.04,0,-0,-,-
17,Asset Writedown,-0.62,0.62,-0.06,0.06,0.67,-0.67,0.32,-0.32,-,-,-,-,-,-,-,-,-
18,Other Unusual Items,-7.47,-8.9,15.17,1.2,8.43,-12.22,12.2,-,14.57,-4.1,4.1,-,42.76,-8.39,8.39,-,-0.74
19,Pretax Income,115.67,97.39,106.99,125.86,-30.77,94.56,105.34,101.2,150.52,86.34,73.3,67.78,113.23,52.6,66.2,34.04,117.58
20,Income Tax Expense,-6.55,9.83,11.89,16.69,-25.34,10.74,11.76,13.75,16.92,10.57,8.58,8.49,14.92,6.58,8.24,3.16,15.59
21,Earnings From Continuing Operations,122.22,87.56,95.1,109.17,-5.44,83.82,93.58,87.45,133.6,75.77,64.71,59.29,98.31,46.02,57.96,30.88,101.99
22,Minority Interest in Earnings,-17.64,6.3,6.11,5.23,69.95,3.08,1.6,0.96,0.03,-,-,-,-,-,-,-,-
23,Net Income,104.58,93.86,101.21,114.4,64.52,86.9,95.19,88.41,133.63,75.77,64.71,59.29,98.31,46.02,57.96,30.88,101.99
24,Net Income to Common,104.58,93.86,101.21,114.4,64.52,86.9,95.19,88.41,133.63,75.77,64.71,59.29,98.31,46.02,57.96,30.88,101.99
25,Net Income Growth,62.11%,8.01%,6.32%,29.40%,-51.72%,14.68%,47.09%,49.11%,35.93%,64.64%,11.66%,92.01%,-3.61%,-,-,-,-
26,Shares Outstanding (Basic),194,195,193,195,196,193,197,193,84,250,139,146,147,145,146,145,147
27,Shares Outstanding (Diluted),194,195,193,195,196,193,197,193,84,250,139,146,147,145,146,145,147
28,Shares Change (YoY),-1.13%,1.16%,-2.06%,0.99%,133.19%,-22.63%,41.77%,32.93%,-42.84%,71.64%,-4.97%,0.04%,0.09%,-,-,-,-
29,EPS (Basic),0.54,0.48,0.52,0.59,0.33,0.45,0.48,0.46,1.59,0.30,0.47,0.41,0.67,0.32,0.40,0.21,0.69
30,EPS (Diluted),0.54,0.48,0.52,0.59,0.33,0.45,0.48,0.46,1.59,0.30,0.47,0.41,0.67,0.32,0.40,0.21,0.69
31,EPS Growth,63.96%,6.77%,8.56%,28.13%,-79.30%,48.21%,3.75%,12.17%,137.80%,-4.08%,17.50%,91.95%,-3.70%,-,-,-,-
32,Free Cash Flow,-,-36.65,50.77,-355.21,-2.8,-279.17,-52.62,-52.53,-18.89,-105.74,48.54,-76.17,32.44,6.7,50.86,4.43,-35.36
33,Free Cash Flow Per Share,-,-0.19,0.26,-1.82,-0.01,-1.45,-0.27,-0.27,-0.22,-0.42,0.35,-0.52,0.22,0.05,0.35,0.03,-0.24
34,Dividend Per Share,-,0.122,-,-,0.243,-,-,-,0.173,-,-,-,0.120,-,-,-,-
35,Dividend Growth,-,-,-,-,40.73%,-,-,-,43.95%,-,-,-,-,-,-,-,-
36,Gross Margin,182.17%,51.56%,53.52%,58.76%,55.37%,60.40%,56.75%,59.20%,64.82%,59.63%,57.43%,58.85%,59.90%,58.28%,56.05%,61.99%,64.15%
37,Operating Margin,38.97%,38.53%,34.54%,44.52%,-16.96%,42.51%,32.42%,43.56%,46.48%,43.80%,38.51%,46.21%,34.58%,53.99%,39.39%,74.43%,52.18%
38,Profit Margin,25.66%,37.15%,42.60%,46.20%,20.45%,39.48%,48.77%,47.35%,55.32%,47.22%,50.47%,41.71%,48.89%,40.44%,38.61%,65.93%,44.67%
39,Free Cash Flow Margin,-,-14.51%,21.37%,-143.46%,-0.89%,-126.83%,-26.96%,-28.13%,-7.82%,-65.90%,37.85%,-53.58%,16.13%,5.89%,33.88%,9.47%,-15.49%
40,EBITDA,163.62,102.12,90.73,115.01,-48.7,96.07,67.06,83.84,114.78,72.3,51.8,67.71,71.67,63.33,61.09,36.16,120.49
41,EBITDA Margin,40.15%,40.42%,38.19%,46.45%,-15.44%,43.65%,34.35%,44.90%,47.52%,45.06%,40.40%,47.63%,35.64%,55.65%,40.70%,77.21%,52.77%
42,D&A For EBITDA,4.79,4.79,8.68,4.79,4.79,2.5,3.77,2.5,2.5,2.02,2.42,2.02,2.14,1.88,1.96,1.3,1.36
43,EBIT,158.83,97.33,82.04,110.22,-53.49,93.57,63.29,81.34,112.28,70.29,49.38,65.69,69.53,61.45,59.13,34.86,119.13
44,EBIT Margin,38.97%,38.53%,34.54%,44.52%,-16.96%,42.51%,32.42%,43.56%,46.48%,43.80%,38.51%,46.21%,34.58%,53.99%,39.39%,74.43%,52.18%
45,Effective Tax Rate,-,10.10%,11.11%,13.26%,-,11.36%,11.16%,13.59%,11.24%,12.24%,11.71%,12.52%,13.18%,12.50%,12.45%,9.29%,13.26%
46,Revenue as Reported,-,252.62,237.56,247.6,315.44,220.1,195.19,186.72,241.55,160.46,270.38,-,201.1,113.81,150.11,46.83,228.3
