,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,693.86,480.92,768.77,1085,964.61,582,1352,879.55,755.75,346.77,336.66,131.39,102.13,75.98,-,25.2
1,Trading Asset Securities,-,2233,2341,1949,1820,1739,2309,1554,2070,2146,2643,2620,-,-,-,-,-
2,Cash & Short-Term Investments,2927,2927,2822,2718,2905,2704,2891,2906,2950,2902,2990,2957,131.39,102.13,75.98,25.2,25.2
3,Cash Growth,0.76%,8.25%,-2.40%,-6.45%,-1.53%,-6.82%,-3.29%,-1.73%,2145.20%,2741.36%,3834.95%,11634.17%,421.43%,-,-,-,-
4,Accounts Receivable,-,718.5,846.08,950.02,957.92,920.89,756.54,710.09,644.25,650.06,535.9,545.1,416.49,334.22,306.98,-,408.29
5,Other Receivables,-,4.89,4.82,5.25,2.42,1.74,1.11,1.08,5.65,6.22,5.07,4.12,9.61,2.26,1.41,-,5.81
6,Receivables,-,723.39,850.9,955.27,960.34,922.63,757.64,711.17,649.9,656.28,540.97,549.22,426.1,336.48,308.39,-,414.1
7,Inventory,-,242.77,198.97,187.97,125.12,89.71,68.1,55.41,43.76,45.64,50.54,33.64,34.16,48.83,23.64,-,10.21
8,Other Current Assets,-,47.78,34.15,25.52,20.49,13.68,5.3,2.85,2.82,4.46,3.4,7.26,15.46,9.47,8.58,-,5.44
9,Total Current Assets,-,3941,3906,3887,4011,3730,3722,3675,3646,3608,3585,3547,607.11,496.91,416.58,-,454.94
10,"Property, Plant & Equipment",-,1359,1181,1003,756.34,647.99,534.83,442.04,325.74,204.92,183.23,109.06,108.38,108.26,101.67,-,95.7
11,Long-Term Investments,-,40.14,41.06,42.54,42.54,33.5,33.5,23.5,13.5,-,-,-,-,-,-,-,-
12,Goodwill,-,-,-,-,-,76.32,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,129.4,108.18,109.36,110.8,56.89,48.69,49.08,45.84,45.94,46.24,46.35,46.69,46.96,47.31,-,5.65
14,Long-Term Deferred Tax Assets,-,75.39,71.85,67.75,63.8,14.17,9.28,7.5,6.5,5.8,4.95,5.04,3.91,2.86,2.61,-,3.43
15,Long-Term Deferred Charges,-,12.78,6.91,2.47,2.05,1.88,1.99,0.35,0.4,0.54,0.51,0.57,0.62,0.03,0.04,-,-
16,Other Long-Term Assets,-,122.15,163.95,211.99,175.59,188.11,176.11,177.44,181.05,16.14,8.57,8.59,1.68,2.47,4.47,-,2.5
17,Total Assets,-,5680,5479,5324,5162,4749,4527,4375,4219,3881,3828,3716,768.39,657.48,572.68,-,562.23
18,Accounts Payable,-,328.18,383.64,335.82,394.83,337.79,367.04,334.63,255.79,127.14,155.76,87.85,75.79,73.86,52.88,-,106.07
19,Accrued Expenses,-,15.92,14.3,9.72,34.35,8.54,15.45,5.21,28.51,6.72,12.6,4.04,20.22,11.85,17.47,-,22.18
20,Short-Term Debt,-,3.18,-,14.77,133.93,-,-,-,-,-,-,6.52,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,20.3,3.72,5.74,0.12,-,-,-,-,0.22,-,0.43,5,5,1,-,1
22,Current Portion of Leases,-,-,5.32,-,3.79,-,0.84,-,-,-,0.44,-,0.21,0.43,0.42,-,-
23,Current Income Taxes Payable,-,12.11,14.71,36.24,25.98,21.41,10.26,23.39,17.61,18.37,8.97,11.15,16.17,2.34,7.15,-,-
24,Current Unearned Revenue,-,31.64,18.32,15.4,14.72,9.51,7.12,6.38,3.8,7.72,5.5,4.1,1.41,12.24,0.15,-,0.92
25,Other Current Liabilities,-,5.06,3.48,4.15,5.57,5.25,3.08,5.3,2.47,3.81,3.18,2.99,3.88,6.53,6.46,-,30.5
26,Total Current Liabilities,-,416.4,443.5,421.82,613.3,382.5,403.79,374.91,308.18,163.99,186.45,117.08,122.68,112.24,85.53,-,160.66
27,Long-Term Debt,-,531.55,423.34,336.68,178.92,107.73,60.46,-,-,-,-,-,64,64.5,48.5,-,49
28,Long-Term Leases,-,107.87,84.81,85.38,6.25,6.18,0.22,0.45,-,-,-,-,0.22,0.22,0.44,-,-
29,Long-Term Unearned Revenue,-,50.11,53.3,55.65,49.78,45.94,47.21,46.88,45.97,46.9,46.81,45.85,45.55,42.89,46.6,-,49.79
30,Long-Term Deferred Tax Liabilities,-,3.98,4.25,4.11,4.36,3.8,5.8,3.5,3.45,-,-,-,-,-,-,-,-
31,Total Liabilities,-,1110,1009,903.65,852.6,546.15,517.48,425.75,357.59,210.89,233.26,162.94,232.45,219.85,181.06,-,259.45
32,Common Stock,-,194.69,194.69,139.07,139.07,139.07,139.07,93.33,93.33,93.33,93.33,66.67,50,50,50,-,50
