,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,18593,18126,18083,16222,17120,18866,24266,28161,23934,26600,25420,24547,16759,-,-,-,-,-
1,Market Cap Growth,-3.92%,-3.92%,-25.48%,-42.40%,-28.47%,-29.08%,-4.54%,14.72%,42.82%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,16432,15964,15875,14048,14692,16437,21491,25312,21033,23698,22431,21597,16697,-,-,-,-,-
3,Last Close Price,95.50,92.96,92.74,83.20,87.57,96.50,124.12,144.05,122.28,135.89,129.87,125.40,85.54,-,-,-,-,-
4,PE Ratio,44.84,43.78,48.35,44.20,47.42,56.31,60.04,71.66,66.02,79.78,85.28,91.48,64.07,-,-,-,-,-
5,Forward PE,28.26,29.26,29.70,26.42,29.27,31.63,43.46,55.14,52.44,67.84,70.02,72.52,-,-,-,-,-,-
6,PS Ratio,16.21,15.83,17.17,15.89,17.50,20.56,28.77,35.92,33.38,39.56,40.23,41.94,27.60,-,-,-,-,-
7,PB Ratio,4.16,3.97,3.96,3.63,3.87,4.38,5.77,7.02,6.06,6.89,6.93,6.83,4.72,-,-,-,-,-
8,P/TBV Ratio,4.18,4.18,4.17,3.80,4.07,4.61,6.21,7.21,6.23,7.08,7.01,6.92,4.78,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-27.66,-,-,-,-,-,-,-,2132.47,-,-,-,-,-,-
10,P/OCF Ratio,-,-,59.46,398.36,-,252.74,-,115.66,82.71,148.12,-,324.49,-,-,-,-,-,-
11,EV/Sales Ratio,14.35,13.94,15.07,13.76,15.02,17.92,25.48,32.29,29.34,35.24,35.50,36.90,27.50,-,-,-,-,-
12,EV/EBITDA Ratio,35.14,33.86,61.26,55.50,64.03,-,59.41,74.89,65.17,77.30,85.13,84.86,63.29,-,-,-,-,-
