,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,145.72,138.37,100.38,115.93,126.82,126.45,114.37,119.56,136.77,117.83,101.93,101.74,117.37,93.24,93.24
1,Other Revenue,-2.06,2.06,-,3.06,-1.79,1.79,-,4.19,-1.71,1.71,-,2.98,-1.53,0.76,0.76
2,Revenue,143.67,140.42,100.38,118.99,125.03,128.24,114.37,123.75,135.07,119.54,101.93,104.72,115.84,94,94
3,Revenue Growth (YoY),14.91%,9.50%,-12.24%,-3.84%,-7.43%,7.28%,12.20%,18.17%,16.60%,27.17%,8.44%,-,-,-,-
4,Cost of Revenue,86.6,78.43,63.18,68.72,71.51,74.69,66.5,68.06,77.73,68.75,57.51,56.79,63.79,51.09,51.09
5,Gross Profit,57.07,61.99,37.2,50.28,53.52,53.55,47.88,55.7,57.34,50.79,44.42,47.93,52.05,42.91,42.91
6,"Selling, General & Admin",19.3,13.7,10.86,8.7,13.65,13.63,9.84,15.07,9.41,7.75,6.18,7.52,9.62,6.83,6.83
7,Research & Development,15.99,17.68,12.53,23.11,16.46,16.69,16.08,16.07,16.33,14.09,12.4,16.61,7.04,9.57,9.57
8,Other Operating Expenses,0.65,0.88,-0.15,-1.87,0.36,1.9,-7.6,2.19,-0.58,0.37,0.25,3.13,-1.28,0.51,0.51
9,Operating Expenses,35.94,33.52,22.6,29.88,29.94,32.95,18.48,35.96,23.5,23.47,19.24,28.26,14.49,17.35,17.35
10,Operating Income,21.13,28.47,14.59,20.39,23.58,20.61,29.4,19.74,33.84,27.32,25.18,19.66,37.56,25.56,25.56
11,Interest Expense,-,-0.28,-,-0.27,-,-,-,-0.14,-,-,-,-,-1.75,-,-
12,Interest & Investment Income,3.02,9.97,-,7.9,7.81,15.05,0.02,4.76,4.11,0.13,0.18,2.44,-,0.83,0.83
13,Currency Exchange Gain (Loss),-0.63,0.63,-,0.13,-1.05,1.05,-,2.78,-1.75,1.75,-,-1.6,-0.75,0.38,0.38
14,Other Non Operating Income (Expenses),0.32,-6.56,6.24,-1.11,0.56,-6.63,5.88,-0.87,0.34,0.14,-0.49,-0.94,2.27,-1.14,-1.14
15,EBT Excluding Unusual Items,23.83,32.24,20.83,27.04,30.9,30.08,35.3,26.25,36.53,29.35,24.88,19.56,37.34,25.62,25.62
16,Gain (Loss) on Sale of Investments,-0.38,-0.07,-0.61,-0.6,-0.3,-0.44,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,-0.09,-0,6.35,-0.01,-0.05,17.34,-0.03,0.02,-0.48,0.07,-0.01,-0.12,0.05,0.05
18,Asset Writedown,-0.4,-,-,0.16,-0.16,-,-,1.76,-1.76,0.02,-0.02,1.71,-1.71,-,-
19,Other Unusual Items,0.45,0.15,0.24,-0.66,-,-,-,2.06,-,-,-,2.84,-0,0,0
20,Pretax Income,23.5,32.23,20.46,32.3,30.42,29.6,52.64,30.05,34.79,28.88,24.93,24.09,35.5,25.67,25.67
21,Income Tax Expense,1.89,2.52,1.78,2.83,3.02,2.06,5.62,0.02,2.7,2.29,1.69,1.25,4.21,2.61,2.61
22,Earnings From Continuing Operations,21.61,29.72,18.67,29.47,27.4,27.54,47.02,30.03,32.09,26.59,23.24,22.84,31.29,23.06,23.06
23,Minority Interest in Earnings,-0.72,-0.75,-0.5,-0.51,-0.62,-0.57,0.52,0.12,-0.03,0.01,-0.01,0.04,-0.05,-0.04,-0.04
24,Net Income,20.89,28.96,18.18,28.96,26.78,26.97,47.54,30.15,32.06,26.6,23.23,22.88,31.24,23.03,23.03
25,Net Income to Common,20.89,28.96,18.18,28.96,26.78,26.97,47.54,30.15,32.06,26.6,23.23,22.88,31.24,23.03,23.03
26,Net Income Growth,-22.01%,7.39%,-61.76%,-3.93%,-16.47%,1.41%,104.69%,31.75%,2.62%,15.50%,0.86%,-,-,-,-
27,Shares Outstanding (Basic),110,112,107,108,111,109,111,110,82,85,81,84,82,82,82
28,Shares Outstanding (Diluted),110,112,107,108,111,109,111,110,82,85,81,84,82,82,82
29,Shares Change (YoY),-1.12%,3.45%,-3.28%,-2.56%,35.45%,27.66%,36.48%,32.05%,-0.19%,3.43%,-1.50%,-,-,-,-
30,EPS (Basic),0.19,0.26,0.17,0.27,0.24,0.25,0.43,0.27,0.39,0.31,0.29,0.27,0.38,0.28,0.28
31,EPS (Diluted),0.19,0.26,0.17,0.27,0.24,0.25,0.43,0.27,0.39,0.31,0.29,0.27,0.38,0.28,0.28
32,EPS Growth,-21.13%,3.81%,-60.47%,-1.41%,-38.33%,-20.56%,49.98%,-0.23%,2.81%,11.67%,2.39%,-,-,-,-
33,Free Cash Flow,-15.46,-16.06,-32.59,-30.32,-42.83,20.23,-42.93,-23.91,-16.99,-6.1,-9.16,-21.09,15.85,-21.08,-21.08
34,Free Cash Flow Per Share,-0.14,-0.14,-0.30,-0.28,-0.39,0.19,-0.39,-0.22,-0.21,-0.07,-0.11,-0.25,0.19,-0.26,-0.26
35,Dividend Per Share,-,0.200,-,0.300,-,-,-,0.333,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-9.99%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,39.72%,44.14%,37.06%,42.25%,42.81%,41.76%,41.86%,45.01%,42.45%,42.49%,43.58%,45.77%,44.93%,45.65%,45.65%
38,Operating Margin,14.71%,20.28%,14.54%,17.14%,18.86%,16.07%,25.70%,15.95%,25.06%,22.86%,24.70%,18.78%,32.43%,27.19%,27.19%
39,Profit Margin,14.54%,20.63%,18.11%,24.34%,21.42%,21.03%,41.57%,24.36%,23.74%,22.25%,22.79%,21.85%,26.97%,24.50%,24.50%
40,Free Cash Flow Margin,-10.76%,-11.43%,-32.46%,-25.48%,-34.26%,15.78%,-37.54%,-19.32%,-12.58%,-5.10%,-8.99%,-20.14%,13.68%,-22.43%,-22.43%
41,EBITDA,26.85,35.73,20.31,26.11,28.14,26.48,33.96,24.3,37.37,31.64,28.71,23.19,40.79,28.78,28.78
42,EBITDA Margin,18.69%,25.45%,20.23%,21.94%,22.51%,20.65%,29.69%,19.64%,27.67%,26.47%,28.17%,22.15%,35.21%,30.62%,30.62%
43,D&A For EBITDA,5.72,7.26,5.72,5.72,4.56,5.87,4.56,4.56,3.53,4.32,3.53,3.53,3.23,3.23,3.23
44,EBIT,21.13,28.47,14.59,20.39,23.58,20.61,29.4,19.74,33.84,27.32,25.18,19.66,37.56,25.56,25.56
45,EBIT Margin,14.71%,20.28%,14.54%,17.14%,18.86%,16.07%,25.70%,15.95%,25.06%,22.86%,24.70%,18.78%,32.43%,27.19%,27.19%
46,Effective Tax Rate,8.04%,7.81%,8.71%,8.76%,9.94%,6.95%,10.67%,0.07%,7.76%,7.94%,6.79%,5.18%,11.86%,10.16%,10.16%
47,Revenue as Reported,143.67,140.42,100.38,118.99,125.03,128.24,114.37,123.75,135.07,119.54,101.93,104.72,303.84,-,-
