,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1017,1097,1163,1206,1287,1332,1349,1378,1410,47.46,-,88.19,-,-,-
1,Trading Asset Securities,40,-,-,-,-,-,-,-,-,40,-,-,-,-,-
2,Cash & Short-Term Investments,1057,1097,1163,1206,1287,1332,1349,1378,1410,87.46,88.19,88.19,-,-,145.69
3,Cash Growth,-17.82%,-17.58%,-13.73%,-12.43%,-8.78%,1422.45%,1429.14%,1462.26%,-,-,-39.47%,-,-,-,-
4,Accounts Receivable,187.53,185.74,172.18,183.79,176.11,169.33,181.26,159.56,120.66,149.42,-,117.84,-,-,-
5,Other Receivables,1.66,3.39,2.74,5.15,1.94,9.86,11.11,4.91,43.14,1,-,2.18,-,-,-
6,Receivables,189.19,189.13,174.92,188.94,178.06,179.18,192.37,164.47,163.8,150.42,-,120.01,-,-,-
7,Inventory,122.45,125.37,117.64,104.78,96.01,93.99,106.95,110.24,104.07,105,-,84.36,-,-,-
8,Other Current Assets,12.18,5.83,6.74,2.4,3.95,3.65,3.3,6.33,9.55,5.6,-,7.54,-,-,-
9,Total Current Assets,1381,1418,1463,1503,1565,1608,1651,1659,1688,348.48,-,300.1,-,-,-
10,"Property, Plant & Equipment",469.76,410.82,362.02,350.35,301.33,289.39,269.47,253.49,199.98,159.99,-,118.4,-,-,-
11,Long-Term Investments,5.49,5.69,5.73,6.18,6.69,3.71,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,91.76,92.47,92.57,92.18,90.25,90.82,91.28,48.01,41.97,42.26,-,42.53,-,-,-
13,Long-Term Deferred Tax Assets,2.53,2.64,2.66,3.28,1.6,1.42,1.25,4.13,1.02,1.02,-,0.7,-,-,-
14,Long-Term Deferred Charges,10.33,7.51,3.18,3.12,4.17,5.6,5.66,1.54,1.11,1.72,-,2.51,-,-,-
15,Other Long-Term Assets,29.88,71.58,86.91,60.26,59.05,21.78,15.91,42.78,14.42,10.54,-,17.69,-,-,-
16,Total Assets,1991,2008,2016,2018,2028,2021,2035,2009,1946,564.02,-,481.93,-,-,-
17,Accounts Payable,53.86,63.33,48.94,54.94,50.54,61.77,66.32,78.95,68.72,44.02,-,33.52,-,-,-
18,Accrued Expenses,11.93,13.75,10.91,21.11,11,12.57,11.92,22.74,9.23,20.58,-,21.8,-,-,-
19,Short-Term Debt,1.25,8.57,1.51,2,1.19,-,-,0.72,10,10,-,10,-,-,-
20,Current Portion of Long-Term Debt,-,-,30.45,3.93,13.45,3.93,13.08,3.73,-,2.04,-,-,-,-,-
21,Current Portion of Leases,3.9,3.67,-,7.97,-,10.72,-,10.22,7.51,5.41,-,5.3,-,-,-
22,Current Income Taxes Payable,3.71,1.55,0.81,2.77,4.78,0.33,1.45,1.36,6.48,2.76,-,2.67,-,-,-
23,Current Unearned Revenue,3.7,3.52,3.88,2.48,3.83,3.46,2.74,2.16,3.03,4.43,-,2.38,-,-,-
24,Other Current Liabilities,2.26,1.98,3.62,2.18,1.64,11.07,11.68,2,4.99,8.96,-,2.4,-,-,-
25,Total Current Liabilities,80.62,96.37,100.11,97.37,86.42,103.86,107.18,121.87,109.95,98.2,-,78.07,-,-,-
26,Long-Term Debt,-,-,-,21.97,21.97,23.94,23.94,26.1,27.79,14.27,-,-,-,-,-
27,Long-Term Leases,0.87,2.19,2.29,3.45,4.72,5.98,8.59,9.97,-,5.64,-,8.41,-,-,-
28,Long-Term Unearned Revenue,1.71,1.81,1.88,1.94,2,2.07,0.56,0.58,0.6,0.62,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,2.4,2.65,3.09,3.54,2.25,2.31,2.44,5.44,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,5.2,-,-,-,-,-,-
31,Total Liabilities,85.6,103.02,107.37,128.27,117.37,138.16,142.71,163.96,143.54,118.73,-,86.48,-,-,-
32,Common Stock,109.89,109.89,109.89,109.89,109.89,109.89,73.26,73.26,73.26,54.94,-,54.94,-,-,-
33,Additional Paid-In Capital,1413,1413,1413,1413,1413,1413,1449,1449,1450,142.55,-,142.55,-,-,-
