,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5186,4367,4020,4723,5380,5355,6257,6117,5905,4517,-,-,-,-,-,-
1,Market Cap Growth,-18.45%,-18.45%,-35.76%,-22.78%,-8.88%,18.54%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4151,3299,2905,3491,4148,4081,4966,4752,4540,4453,-,-,-,-,-,-
3,Last Close Price,47.62,40.10,36.69,42.40,48.30,48.07,56.17,54.58,52.69,40.80,-,-,-,-,-,-
4,PE Ratio,53.59,45.03,39.07,46.81,41.31,40.74,45.77,44.86,52.71,43.12,-,-,-,-,-,-
5,Forward PE,51.76,23.86,22.10,23.08,28.38,27.82,35.51,36.74,38.38,35.06,-,-,-,-,-,-
6,PS Ratio,10.33,8.67,8.29,9.99,11.06,10.90,12.48,12.41,12.29,9.79,-,-,-,-,-,-
7,PB Ratio,2.74,2.29,2.11,2.47,2.85,2.80,3.32,3.23,3.20,2.51,-,-,-,-,-,-
8,P/TBV Ratio,2.43,2.43,2.24,2.62,3.02,2.96,3.52,3.42,3.31,2.57,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-98.38,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,36.59,36.59,32.41,30.65,39.24,34.71,47.37,65.78,57.81,76.46,-,-,-,-,-,-
11,EV/Sales Ratio,8.24,6.55,5.99,7.39,8.52,8.30,9.90,9.64,9.45,9.65,-,-,-,-,-,-
12,EV/EBITDA Ratio,36.34,30.27,26.34,34.55,36.17,36.15,40.67,37.33,37.21,36.83,-,-,-,-,-,-
13,EV/EBIT Ratio,53.54,39.01,33.38,44.10,44.14,43.73,47.94,43.08,42.80,42.01,-,-,-,-,-,-
14,EV/FCF Ratio,-43.96,-,-,-,-,-,-78.08,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.08,0.06,0.06,-,-,0.04
16,Debt / EBITDA Ratio,0.05,0.06,0.09,0.42,0.27,0.37,0.35,0.34,0.40,0.30,0.27,0.21,0.21,-,-,0.10
17,Debt / FCF Ratio,-,-,-,-,-,-,-0.70,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.29,0.28,0.20,0.24,0.25,0.25,0.23,0.25,0.43,-,-,-,-,-,-,
19,Inventory Turnover,2.72,2.80,2.58,2.27,2.74,3.01,2.97,2.45,2.54,2.97,-,-,-,-,-,-
20,Quick Ratio,15.46,15.46,13.35,13.37,14.33,16.95,14.55,14.38,12.65,14.32,2.42,-,2.67,-,-,-
21,Current Ratio,17.13,17.13,14.71,14.61,15.43,18.10,15.49,15.41,13.61,15.35,3.55,-,3.84,-,-,-
22,Return on Equity (ROE),4.54%,6.23%,3.93%,6.20%,5.78%,5.84%,10.07%,6.59%,11.42%,25.30%,23.51%,-,-,-,-,
23,Return on Assets (ROA),2.64%,3.54%,1.81%,2.52%,2.91%,2.54%,3.64%,2.50%,6.74%,-,-,-,-,-,-,
24,Return on Capital (ROIC),2.76%,3.69%,1.88%,2.63%,3.04%,2.67%,3.83%,2.64%,7.26%,15.15%,15.02%,-,-,-,-,
25,Return on Capital Employed (ROCE),4.06%,4.43%,4.55%,4.13%,4.89%,4.81%,5.40%,5.72%,5.62%,5.77%,23.56%,-,26.82%,-,-,-
26,Earnings Yield,1.87%,2.22%,2.56%,2.14%,2.42%,2.45%,2.18%,2.23%,1.90%,2.32%,-,-,-,-,-,-
27,FCF Yield,-1.82%,-2.16%,-3.03%,-1.81%,-1.78%,-1.67%,-1.02%,-1.47%,-0.95%,-1.18%,-,-,-,-,-,-
28,Dividend Yield,0.80%,-,1.36%,-,0.62%,-,-,-,0.63%,-,-,-,-,-,-,-
29,Payout Ratio,56.80%,94.89%,120.19%,1.35%,0.93%,1.01%,136.85%,0.62%,0.19%,0.31%,0.37%,0.42%,0.17%,0.16%,0.55%,0.55%
30,Buyback Yield / Dilution,0.82%,1.12%,-3.45%,3.28%,2.56%,-35.45%,-27.66%,-36.48%,-32.05%,0.19%,-3.43%,1.50%,-,-,-,-
31,Total Shareholder Return,1.63%,1.12%,-2.09%,3.28%,3.18%,-35.45%,-27.66%,-36.48%,-31.42%,0.19%,-3.43%,1.50%,-,-,-,-
