,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,65.54,447.18,270.25,538.15,409.49,85.55,113.82,87.15,-,-,-
1,Short-Term Investments,-,3,-,3,-,-,-,-,-,-,-
2,Trading Asset Securities,539,259,470,250,365,60,20,80,-,-,-
3,Cash & Short-Term Investments,604.54,709.18,740.25,791.15,774.49,145.55,133.82,167.15,-,-,175.25
4,Cash Growth,-21.94%,387.24%,453.18%,373.31%,-,-,-23.64%,-,-,-,-
5,Accounts Receivable,73.52,102.77,77.13,103.31,80.49,95.81,62.31,64.41,-,-,-
6,Other Receivables,27.94,1.92,-,-,-,1.7,1.88,-,-,-,-
7,Receivables,101.46,104.68,77.13,103.31,80.49,97.51,64.19,64.41,-,-,-
8,Inventory,96.03,108.62,89.6,72.59,71.3,81.13,83.91,84.35,-,-,-
9,Other Current Assets,51.85,2.02,8.65,6.51,12.86,11.12,10.43,8.23,-,-,-
10,Total Current Assets,853.87,924.5,915.62,973.55,939.14,335.31,292.34,324.13,-,-,-
11,"Property, Plant & Equipment",221.29,209.37,190.98,185.4,177.04,164.65,158.78,148.77,-,-,-
12,Long-Term Investments,70.29,60,30,-,-,10.08,-,-,-,-,-
13,Other Intangible Assets,31.32,13.89,14.07,13.3,13.47,13.57,13.68,10.42,-,-,-
14,Long-Term Deferred Tax Assets,4.92,4.58,2.34,2.37,2.91,2.57,2.53,2.22,-,-,-
15,Long-Term Deferred Charges,1.3,1.11,1.08,0.99,1.06,0.78,0.44,0.47,-,-,-
16,Other Long-Term Assets,16.49,7.61,6.11,1.55,2.83,4.02,2.15,4.01,-,-,-
17,Total Assets,1199,1221,1160,1177,1136,530.99,469.91,490.03,-,-,-
18,Accounts Payable,126.48,165.27,110.96,101.13,114.75,156.35,66.85,85.09,-,-,-
19,Accrued Expenses,9.25,12.22,5.77,13.9,7.33,10.9,7.51,16.38,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,0.13,1.36,1.31,2.17,-,-,-
21,Current Portion of Leases,0.14,0.14,0.13,0.13,-,0.12,-,0.03,-,-,-
22,Current Income Taxes Payable,5.04,3.57,0.53,3.86,3.24,3.19,4.07,8.34,-,-,-
23,Current Unearned Revenue,18.13,15.87,9.68,8.95,6.05,16.89,17.91,14.74,-,-,-
24,Other Current Liabilities,5.77,0.37,1.69,25.87,5.56,0.39,31.15,30.92,-,-,-
25,Total Current Liabilities,164.82,197.44,128.76,153.85,137.06,189.21,128.8,157.68,-,-,-
26,Long-Term Debt,-,-,-,-,-,24.46,24.63,24.33,-,-,-
27,Long-Term Leases,0.39,0.42,0.46,0.49,0.53,0.56,0.57,-,-,-,-
28,Long-Term Unearned Revenue,15.8,16.11,16.41,16.71,17.02,17.31,17.59,17.88,-,-,-
29,Long-Term Deferred Tax Liabilities,0.95,0.92,1.06,1.01,1.15,1.2,1.24,1.19,-,-,-
30,Other Long-Term Liabilities,5.81,5.63,5.71,5.55,5.25,5.16,4.65,4.48,-,-,-
31,Total Liabilities,187.76,220.53,152.4,177.61,161.01,237.89,177.49,205.55,-,-,-
32,Common Stock,58.52,58.52,58.52,58.52,58.52,43.89,43.89,43.89,-,-,-
33,Additional Paid-In Capital,745.5,745.36,745.22,745.08,-,102.75,102.48,102.02,-,-,-
34,Retained Earnings,220.8,196.66,204.06,195.97,172.07,146.46,146.06,138.57,-,-,-
35,Treasury Stock,-13.1,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-,-,-,744.85,-,-,-,-,-,-
37,Shareholders' Equity,1012,1001,1008,999.56,975.43,293.1,292.42,284.48,-,-,232.28
38,Total Liabilities & Equity,1199,1221,1160,1177,1136,530.99,469.91,490.03,-,-,-
39,Total Debt,0.53,0.56,0.59,0.62,0.65,26.51,26.51,26.53,-,-,8.75
40,Net Cash (Debt),604.01,708.62,739.65,790.53,773.84,119.04,107.31,140.62,-,-,166.5
41,Net Cash Growth,-21.95%,495.26%,589.27%,462.19%,-,-,-35.55%,-,-,-,-
42,Net Cash Per Share,10.25,11.89,12.79,13.48,14.60,2.70,2.44,3.13,-,-,3.86
43,Filing Date Shares Outstanding,58.08,58.52,58.52,58.52,58.52,43.89,43.89,43.89,43.78,44.12,43.14
44,Total Common Shares Outstanding,58.08,58.52,58.52,58.52,58.52,43.89,43.89,43.89,43.78,44.12,43.14
45,Working Capital,689.05,727.07,786.86,819.71,802.08,146.11,163.54,166.46,-,-,-
46,Book Value Per Share,17.42,17.10,17.22,17.08,16.67,6.68,6.66,6.48,-,-,5.29
47,Tangible Book Value,980.4,986.65,993.73,986.27,961.97,279.52,278.74,274.05,-,-,221.74
48,Tangible Book Value Per Share,16.88,16.86,16.98,16.85,16.44,6.37,6.35,6.24,-,-,5.05
49,Buildings,-,61.37,-,58.84,-,58.22,-,48.34,-,-,-
50,Machinery,-,163.28,-,148.19,-,125.72,-,69.16,-,-,-
51,Construction In Progress,-,39.99,-,25.06,-,20.19,-,65.93,-,-,-
