,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2232,2188,2258,2404,3179,3920,-,-,-,-,-,-
1,Market Cap Growth,-44.19%,-44.19%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1628,1479,1518,1630,2405,3801,-,-,-,-,-,-
3,Last Close Price,38.42,37.39,38.58,40.60,53.69,66.21,-,-,-,-,-,-
4,PE Ratio,28.73,27.84,28.20,27.31,36.37,44.55,-,-,-,-,-,-
5,Forward PE,23.28,20.32,20.97,17.52,25.15,33.58,-,-,-,-,-,-
6,PS Ratio,3.88,3.76,4.00,4.22,5.73,7.41,-,-,-,-,-,-
7,PB Ratio,2.21,2.16,2.26,2.39,3.18,4.02,-,-,-,-,-,-
8,P/TBV Ratio,2.23,2.23,2.29,2.42,3.22,4.07,-,-,-,-,-,-
9,P/FCF Ratio,-,-,225.58,-,158.92,-,-,-,-,-,-,-
10,P/OCF Ratio,35.85,35.85,31.57,-,37.88,44.55,-,-,-,-,-,-
11,EV/Sales Ratio,2.80,2.54,2.69,2.86,4.33,7.18,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.64,17.59,17.98,16.28,23.84,37.24,-,-,-,-,-,-
13,EV/EBIT Ratio,23.99,21.48,21.42,18.50,26.55,40.68,-,-,-,-,-,-
14,EV/FCF Ratio,-60.72,-,151.67,-,120.23,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,-,-,0.04
16,Debt / EBITDA Ratio,0.01,0.00,0.01,0.02,0.01,0.01,0.18,0.65,0.23,-,-,0.39
17,Debt / FCF Ratio,-,-,0.06,-,0.03,-,0.81,-,-5.00,-,-,-
18,Asset Turnover,0.56,0.56,0.32,0.52,0.72,1.38,0.67,-,-,-,-,
19,Inventory Turnover,5.13,4.71,5.15,3.48,6.11,5.58,5.89,2.84,-,-,-,-
20,Quick Ratio,4.28,4.28,4.12,6.35,5.81,6.24,1.28,1.54,1.47,-,-,-
21,Current Ratio,5.18,5.18,4.68,7.11,6.33,6.85,1.77,2.27,2.06,-,-,-
22,Return on Equity (ROE),9.60%,8.94%,3.23%,9.68%,16.15%,41.53%,10.38%,-,-,-,-,
23,Return on Assets (ROA),5.22%,3.27%,1.26%,4.78%,8.18%,16.38%,4.36%,-,-,-,-,
24,Return on Capital (ROIC),6.28%,3.87%,1.47%,5.59%,10.53%,25.67%,6.64%,-,-,-,-,
25,Return on Capital Employed (ROCE),6.56%,6.65%,6.92%,8.54%,8.85%,9.35%,26.67%,22.64%,21.93%,-,-,-
26,Earnings Yield,3.52%,3.59%,3.55%,3.66%,2.75%,2.24%,-,-,-,-,-,-
27,FCF Yield,-1.20%,-1.23%,0.44%,1.41%,0.63%,0.70%,-,-,-,-,-,-
28,Dividend Yield,1.32%,-,-,-,0.95%,-,-,-,-,-,-,-
29,Payout Ratio,37.98%,-,132.99%,-,-,0.45%,99.64%,3.20%,1.15%,1.18%,112.44%,2.13%
30,Buyback Yield / Dilution,-26.39%,-11.21%,-35.29%,-31.33%,-30.72%,-21.05%,0.12%,-2.08%,-,-,-,-
31,Total Shareholder Return,-25.06%,-11.21%,-35.29%,-31.33%,-29.77%,-21.05%,0.12%,-2.08%,-,-,-,-
