,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,168.59,167.6,94.88,150.2,150.76,172.75,80.87,124.27,135.13,125.1,63.16
1,Other Revenue,-0.27,0.27,-,0.41,-0.17,0.17,-,0.43,-0.24,0.24,-
2,Revenue,168.32,167.87,94.88,150.61,150.58,172.92,80.87,124.69,134.88,125.34,63.16
3,Revenue Growth (YoY),11.78%,-2.92%,17.33%,20.79%,11.64%,37.96%,28.04%,-,-,-,-
4,Cost of Revenue,120.61,127.72,70.64,109.96,106.34,121.59,59.79,86.09,97.67,98.3,50.46
5,Gross Profit,47.71,40.15,24.24,40.65,44.24,51.33,21.08,38.6,37.21,27.04,12.7
6,"Selling, General & Admin",11.45,12.08,9.42,10.93,10.34,11.09,7.72,7.25,7.65,4.15,5.45
7,Research & Development,13.01,11.08,8.96,8.12,6.35,6.53,5.1,4.12,4.01,3.83,3.35
8,Other Operating Expenses,-1.92,0.64,-0.08,-0.71,0.27,0.56,0.33,2.82,-0.42,-0.52,0.13
9,Operating Expenses,22.43,24.6,18.33,18.54,16.95,18.55,12.71,13.6,12.2,8.19,8.67
10,Operating Income,25.28,15.55,5.91,22.11,27.29,32.78,8.37,25,25.01,18.85,4.03
11,Interest Expense,-0.01,-0.01,-0.01,-,-0.12,-0.29,-0.05,-0.04,-0.05,-0.57,-0
12,Interest & Investment Income,2.53,6.54,2.31,5.83,2.5,0.41,0.83,1.09,0.7,-,1.05
13,Currency Exchange Gain (Loss),0.42,-0.42,-,0.14,0.38,-0.38,-,3.44,1.93,-1.93,-
14,Other Non Operating Income (Expenses),-0.63,0.61,0.12,-0.35,-0.85,1.47,-0.8,-3.71,-0.14,4.09,-0.33
15,EBT Excluding Unusual Items,27.6,22.28,8.34,27.73,29.2,34,8.35,25.78,27.46,20.44,4.75
16,Gain (Loss) on Sale of Investments,-,-,-,0.36,-0.33,-0.03,-,-,-,0.19,-0.19
17,Gain (Loss) on Sale of Assets,-0.14,-,-,0.39,-,-,-,-,-,-,-
18,Asset Writedown,-0.76,0.15,-0.19,0.1,-0.3,-0.13,-0.25,0.06,-0.07,-0.06,0.06
19,Other Unusual Items,-0.27,2.39,0.1,-0.42,-,-,-,2.64,-,-,-
20,Pretax Income,26.44,24.82,8.24,28.16,28.57,33.84,8.11,28.47,27.39,20.57,4.62
21,Income Tax Expense,2.29,2.38,0.15,4.26,2.96,3.44,0.62,3.97,3.77,2.63,0.3
22,Net Income,24.14,22.44,8.1,23.9,25.61,30.4,7.49,24.5,23.61,17.94,4.31
23,Net Income to Common,24.14,22.44,8.1,23.9,25.61,30.4,7.49,24.5,23.61,17.94,4.31
24,Net Income Growth,-5.73%,-26.18%,8.16%,-2.45%,8.46%,69.47%,73.53%,-,-,-,-
25,Shares Outstanding (Basic),59,60,58,59,53,44,44,45,44,44,43
26,Shares Outstanding (Diluted),59,60,58,59,53,44,44,45,44,44,43
27,Shares Change (YoY),11.21%,35.29%,31.33%,30.72%,21.05%,-0.12%,2.08%,-,-,-,-
28,EPS (Basic),0.41,0.38,0.14,0.41,0.48,0.69,0.17,0.55,0.54,0.41,0.10
29,EPS (Diluted),0.41,0.38,0.14,0.41,0.48,0.69,0.17,0.55,0.54,0.41,0.10
30,EPS Growth,-15.23%,-45.43%,-17.65%,-25.38%,-10.40%,69.67%,70.00%,-,-,-,-
31,Free Cash Flow,-38.23,20.4,-18.62,9.64,-1.42,44.36,-32.58,17.27,3.6,18.01,-44.18
32,Free Cash Flow Per Share,-0.65,0.34,-0.32,0.16,-0.03,1.01,-0.74,0.38,0.08,0.41,-1.02
33,Dividend Per Share,-,-,-,0.510,-,-,-,-,-,-,-
34,Gross Margin,28.35%,23.92%,25.55%,26.99%,29.38%,29.69%,26.07%,30.95%,27.59%,21.57%,20.10%
35,Operating Margin,15.02%,9.26%,6.23%,14.68%,18.12%,18.96%,10.35%,20.05%,18.54%,15.04%,6.38%
36,Profit Margin,14.34%,13.37%,8.53%,15.87%,17.01%,17.58%,9.26%,19.65%,17.51%,14.31%,6.83%
37,Free Cash Flow Margin,-22.71%,12.15%,-19.62%,6.40%,-0.94%,25.65%,-40.29%,13.85%,2.67%,14.37%,-69.96%
38,EBITDA,28.84,20.11,9.47,25.67,29.16,35.81,10.23,26.86,26.64,20.43,5.66
39,EBITDA Margin,17.13%,11.98%,9.98%,17.05%,19.36%,20.71%,12.66%,21.54%,19.75%,16.30%,8.96%
40,D&A For EBITDA,3.56,4.56,3.56,3.56,1.86,3.03,1.86,1.86,1.63,1.58,1.63
41,EBIT,25.28,15.55,5.91,22.11,27.29,32.78,8.37,25,25.01,18.85,4.03
42,EBIT Margin,15.02%,9.26%,6.23%,14.68%,18.12%,18.96%,10.35%,20.05%,18.54%,15.04%,6.38%
43,Effective Tax Rate,8.67%,9.58%,1.79%,15.13%,10.37%,10.17%,7.68%,13.95%,13.78%,12.81%,6.60%
44,Revenue as Reported,168.32,167.87,94.88,150.61,150.58,172.92,80.87,124.69,134.88,125.34,63.16
