,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,68,73,103,156,125,163,173,234,154,185,331,Upgrade
1,Market Cap Growth,-52.83%,-52.83%,-17.65%,-4.50%,-27.97%,-30.19%,12.38%,26.19%,-53.33%,-51.54%,-8.16%,Upgrade
2,Enterprise Value,59,66,80,155,12,161,-14,242,199,283,445,Upgrade
3,Last Close Price,0.05,0.05,0.07,0.11,0.09,0.11,0.12,0.16,0.10,0.13,0.23,Upgrade
4,PE Ratio,-,-0.53,-,-,-,-,-,20.72,-,-,-,Upgrade
5,PS Ratio,10.12,10.99,62.33,4.90,3.75,191.00,-,4.48,-,847.99,-,Upgrade
6,PB Ratio,0.14,0.16,0.22,0.25,0.19,0.21,0.22,0.28,0.19,0.21,0.37,Upgrade
7,P/TBV Ratio,0.16,0.16,0.22,0.25,0.19,0.21,0.22,0.28,0.19,0.24,0.41,Upgrade
8,P/FCF Ratio,6.71,6.71,11.86,-,-4.76,-,-,-,-,9.98,-,Upgrade
9,P/OCF Ratio,6.71,6.71,11.86,-,-4.77,-,-,-,-,9.98,-,Upgrade
10,EV/Sales Ratio,8.79,9.90,48.42,4.87,0.36,188.34,-,4.64,-,1294.09,-,Upgrade
11,EV/FCF Ratio,6.04,6.04,9.21,-,-0.45,-,-,-,-,15.23,-,Upgrade
12,Debt / Equity Ratio,0.06,0.06,0.02,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,Upgrade
13,Debt / FCF Ratio,2.68,2.68,0.95,-,-0.28,-,-,-,-,0.04,-,Upgrade
14,Earnings Yield,-206.98%,-190.43%,-146.91%,-52.32%,-66.55%,-1.40%,-,4.83%,-,-1.41%,-,Upgrade
15,FCF Yield,14.91%,14.91%,8.43%,5.58%,-20.99%,-22.51%,-,-6.14%,-,10.02%,-,Upgrade
