,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,7.89,3.74,6.09,6.56,6.7,7.08,6.65,2.34,2.33,7.63,Upgrade
1,Short-Term Investments,16.56,0.55,21.63,0.2,92.24,0.2,155.87,0.2,49.12,0.13,Upgrade
2,Cash & Short-Term Investments,24.45,4.29,27.72,6.76,98.94,7.28,162.51,2.54,51.45,7.76,Upgrade
3,Cash Growth,-11.78%,-36.58%,-71.99%,-7.21%,-39.12%,186.96%,215.84%,-67.29%,1443.31%,-94.80%,Upgrade
4,Accounts Receivable,7.04,2.19,13.17,13.56,0.3,0.3,-,-,14.62,14.34,Upgrade
5,Other Receivables,-,18.78,-,41.05,-,129.85,3.59,150.72,-,60.04,Upgrade
6,Receivables,7.04,22.07,13.17,55.7,0.3,140.37,3.59,163.97,14.62,89.2,Upgrade
7,Inventory,73.07,207.2,176.95,175.58,131.29,129.27,-,-,-,-,Upgrade
8,Restricted Cash,37.78,42.51,42.21,41.86,41.51,77.1,76.44,75.83,81.26,80.54,Upgrade
9,Other Current Assets,-,12.35,78.88,73.8,100.52,100.52,96.05,142.07,370.61,367.58,Upgrade
10,Total Current Assets,142.34,288.41,338.92,353.69,372.56,454.54,338.59,384.41,517.94,545.08,Upgrade
11,"Property, Plant & Equipment",18.5,0.48,0.81,1.01,1.33,1.53,50.33,27.41,64.53,65.25,Upgrade
12,Long-Term Investments,19.22,19.22,22.22,28.17,31.85,31.85,34.88,34.88,52.74,52.74,Upgrade
13,Long-Term Deferred Tax Assets,-,-,0.03,0.03,0.03,0.03,0.03,0.03,0.85,0.84,Upgrade
14,Other Long-Term Assets,462.31,324.58,366.08,366.08,395.33,395.33,416.4,451.4,416.83,332.5,Upgrade
15,Total Assets,642.37,632.69,728.07,748.98,801.1,883.28,840.24,898.13,1053,996.41,Upgrade
16,Accounts Payable,150.48,149.83,108.58,116.14,90.97,150.44,72.33,65.8,65.63,69.86,Upgrade
17,Short-Term Debt,9.04,7.28,7.18,5.93,0.46,2.56,1.74,2.15,-,5.22,Upgrade
18,Current Portion of Leases,1.16,0.04,0.25,0.55,0.79,0.76,0.98,0.68,0.5,0.75,Upgrade
19,Current Income Taxes Payable,1.49,1.49,1.48,1.48,1.56,1.49,1.59,1.53,1.55,1.61,Upgrade
20,Current Unearned Revenue,-,-,-,-,10.49,10.49,10.49,65.89,81.75,92.71,Upgrade
21,Other Current Liabilities,38.17,50.77,41.41,51.25,46.35,64.21,62.54,77.36,94.47,18.49,Upgrade
22,Total Current Liabilities,200.33,209.4,158.9,175.35,150.62,229.96,149.67,213.4,243.9,188.63,Upgrade
23,Long-Term Leases,17.08,0.18,0.21,0.03,0.05,0.19,0.49,-,0.1,0.26,Upgrade
