,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,10675,13294,11552,-,9980,-,10912,10388,5783,6359,Upgrade
1,Revenue Growth (YoY),-7.59%,-,15.75%,-,-8.54%,-,88.67%,63.35%,20.39%,-0.71%,Upgrade
2,Cost of Revenue,9626,11693,9758,-,7562,-,9183,9081,4580,4985,Upgrade
3,Gross Profit,1049,1602,1793,-,2418,-,1729,1307,1203,1374,Upgrade
4,"Selling, General & Admin",674.88,798.44,800.36,-,638.25,-,994.8,767.39,648.36,676.17,Upgrade
5,Research & Development,410.12,445.11,459.36,-,365.7,-,451.01,285.37,232.38,240.36,Upgrade
6,Other Operating Expenses,-155.64,-87.56,-95.47,-,-100.79,-,-103.69,-182.46,-75.24,16.75,Upgrade
7,Operating Expenses,1502,1112,1198,-,943.89,-,1368,1486,805.49,933.27,Upgrade
8,Operating Income,-453.15,490.03,595.39,-,1474,-,360.63,-178.64,397.84,441.01,Upgrade
9,Interest Expense,-435.38,-401.57,-475.58,-,-295.06,-,-275.73,-260.64,-344.36,-374.04,Upgrade
10,Interest & Investment Income,77.46,73.84,92.57,-,98.14,-,186.48,73.22,77.07,199.8,Upgrade
11,Earnings From Equity Investments,-39.32,-0.13,3.38,-,8.27,-,-1.31,-23.72,3.14,72.56,Upgrade
12,Currency Exchange Gain (Loss),29.13,-61.73,187.51,-,91.71,-,-78.84,-142.21,21.61,59.97,Upgrade
13,Other Non Operating Income (Expenses),-214.48,-578.59,-238,-,-952.69,-,-587.45,-53.67,11.13,9.96,Upgrade
14,EBT Excluding Unusual Items,-1036,-478.15,165.26,-,424.67,-,-396.21,-585.66,166.43,409.28,Upgrade
15,Impairment of Goodwill,-,-,-,-,-,-,-,-35.32,-146.35,-54,Upgrade
16,Gain (Loss) on Sale of Investments,-47.57,-60.53,3.1,-,-3.51,-,14.56,530.04,-525.05,-415.8,Upgrade
17,Gain (Loss) on Sale of Assets,8.3,2.33,-0.46,-,0.37,-,197.26,-13.21,4.77,20.69,Upgrade
18,Asset Writedown,-619.75,-88.52,12.11,-,-0.16,-,-22.1,442.99,-131.85,33.74,Upgrade
19,Other Unusual Items,-,-,-,-,-,-,-5.4,-4.24,-,-,Upgrade
20,Pretax Income,-1695,-624.87,180.01,-,421.38,-,-211.88,334.62,-632.05,-6.1,Upgrade
21,Income Tax Expense,-167.82,0.6,9.99,-,356.86,-,160.67,445.72,-44.87,206.63,Upgrade
22,Earnings From Continuing Operations,-1527,-625.46,170.01,-,64.52,-,-372.56,-111.1,-587.19,-212.73,Upgrade
23,Earnings From Discontinued Operations,-,-,-,-,141.57,-,6.75,-,-,-,Upgrade
24,Net Income to Company,-1527,-625.46,170.01,-,206.1,-,-365.81,-111.1,-587.19,-212.73,Upgrade
25,Minority Interest in Earnings,31.21,-152.53,-342.56,-,-159.37,-,-215.38,-138.4,-57.63,-24.97,Upgrade
26,Net Income,-1496,-777.99,-172.54,-,46.72,-,-581.19,-249.49,-644.81,-237.7,Upgrade
27,Net Income to Common,-1496,-777.99,-172.54,-,46.72,-,-581.19,-249.49,-644.81,-237.7,Upgrade
28,Shares Outstanding (Basic),637,573,530,-,401,-,394,394,394,394,Upgrade
29,Shares Outstanding (Diluted),637,573,530,-,401,-,394,394,394,394,Upgrade
30,Shares Change (YoY),20.08%,-,32.26%,-,1.82%,-,-,-0.10%,-0.16%,-0.10%,Upgrade
31,EPS (Basic),-2.35,-1.36,-0.33,-,0.12,-,-1.48,-0.63,-1.64,-0.60,Upgrade
32,EPS (Diluted),-2.35,-1.36,-0.33,-,0.12,-,-1.48,-0.63,-1.65,-0.60,Upgrade
33,Free Cash Flow,-2211,32.68,-1714,-,-1002,-,-400.5,-404.89,700.87,1359,Upgrade
34,Free Cash Flow Per Share,-3.47,0.06,-3.23,-,-2.50,-,-1.02,-1.03,1.78,3.45,Upgrade
35,Operating Margin,-4.24%,3.69%,5.15%,-,14.77%,-,3.31%,-1.72%,6.88%,6.94%,Upgrade
36,Profit Margin,-14.01%,-5.85%,-1.49%,-,0.47%,-,-5.33%,-2.40%,-11.15%,-3.74%,Upgrade
37,Free Cash Flow Margin,-20.71%,0.25%,-14.84%,-,-10.04%,-,-3.67%,-3.90%,12.12%,21.36%,Upgrade
38,EBITDA,-19.82,857.7,924.46,-,1752,-,639.37,95.63,681.83,737.9,Upgrade
39,D&A For EBITDA,433.33,367.67,329.08,298.77,277.48,305.09,278.75,274.26,283.99,296.89,Upgrade
40,EBIT,-453.15,490.03,595.39,-,1474,-,360.63,-178.64,397.84,441.01,Upgrade
41,Advertising Expenses,29.03,-,11.94,-,8.48,-,7.4,-,17.51,-,Upgrade
