,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,171.74,105.99,66.11,54.4,280.92,182.6,117.94,45.34,69.25,65.64,177.16,213.11,290.7,325.74,326.39,127.59,266.54,266.54,109.04,109.04
1,Other Revenue,-,-0,0,-,1.32,-0.36,0.36,-,1.24,-0.85,0.85,-,5.07,-0.63,0.63,-,0.37,0.37,1.44,1.44
2,Revenue,171.74,105.99,66.12,54.4,282.24,182.23,118.31,45.34,70.49,64.79,178,213.11,295.78,325.11,327.01,127.59,266.9,266.9,110.48,110.48
3,Revenue Growth (YoY),-39.15%,-41.84%,-44.11%,19.99%,300.42%,181.27%,-33.54%,-78.72%,-76.17%,-80.07%,-45.57%,67.02%,10.82%,21.81%,195.99%,15.49%,-,-,-,-
4,Cost of Revenue,-120.36,72.36,25.18,22.82,195.78,62.37,57.72,11.6,64.2,43.12,125.72,127.07,192.66,203.04,206.1,88,164.07,164.07,55.46,55.46
5,Gross Profit,292.1,33.63,40.94,31.58,86.47,119.86,60.59,33.74,6.28,21.67,52.29,86.04,103.12,122.07,120.91,39.59,102.83,102.83,55.02,55.02
6,"Selling, General & Admin",-326.32,110.09,105.66,110.58,138.29,96.69,95.76,94.36,113.93,121.39,121.18,123.72,188.57,131.58,144.28,141.58,284.38,161.2,91.27,91.27
7,Research & Development,-289.14,72.58,117.68,98.87,176.04,116.5,102.18,95.83,130.72,173.77,152.57,103.27,161.89,107.43,135.84,129,166.92,166.92,122.12,122.12
8,Other Operating Expenses,1072,-19.74,8.21,-12.78,30.99,-28.1,3.91,-5.4,36.83,-17.02,-16.51,-17.45,88.01,-78.1,-12.07,-8.4,-1.03,-1.03,-0.53,-0.53
9,Operating Expenses,435.63,153.09,262.26,196.43,402.1,175.46,242.76,185.43,387.89,289.01,279.66,202.39,439.09,173.57,286.37,267.23,462.35,339.16,218.37,218.37
10,Operating Income,-143.52,-119.47,-221.33,-164.85,-315.63,-55.6,-182.17,-151.69,-381.61,-267.33,-227.38,-116.35,-335.97,-51.5,-165.46,-227.64,-359.52,-236.33,-163.35,-163.35
11,Interest Expense,-27.61,-2.8,-4.13,-4.1,-4.06,-5.04,-4.6,-4.52,-9.03,-7.89,-6.27,-3.65,-3.36,-5.5,-3.5,-1.99,-1.62,-1.62,-1.76,-1.76
12,Interest & Investment Income,11.03,3.87,19.13,4.62,6.22,6.45,8.2,8.23,2.92,16.14,4.16,3.69,9.49,6.52,5.79,6.77,9.9,9.9,12.09,12.09
13,Currency Exchange Gain (Loss),-,-,-,-,0,-0,0,-,0.01,-0.01,0.01,-,-0.01,0.01,-0.01,-,-0.03,-0.03,0.01,0.01
14,Other Non Operating Income (Expenses),3.96,0.6,-0.18,-0.25,-1.18,-0.27,-0.39,0.96,10.56,-14.75,13.41,-0.63,-6.53,3.23,-5.41,-0.07,-0.08,-0.08,-0.08,-0.08
15,EBT Excluding Unusual Items,-156.15,-117.8,-206.5,-164.59,-314.65,-54.47,-178.96,-147.02,-377.14,-273.85,-216.07,-116.94,-336.38,-47.24,-168.59,-222.94,-351.35,-228.16,-153.08,-153.08
16,Gain (Loss) on Sale of Investments,0.5,-0.55,0.26,-0.21,0.02,0.2,0.68,-,2.57,3.94,0.37,-,-4.26,0.85,0.85,2.56,0.23,0.23,0.61,0.61
17,Gain (Loss) on Sale of Assets,0.77,-1.23,-0.17,0.63,-0.01,0,0,0.01,0.55,-3.14,-0.07,-0.17,0.56,1.66,0,0.01,-,-,-,-
18,Asset Writedown,22.3,-22.3,-0.14,0.14,33.44,-33.44,1.48,-1.48,3.21,-3.21,1.21,-1.21,8.83,-8.83,1.84,-1.84,-0,-,-0.01,-0.01
19,Other Unusual Items,-,-12.41,11.9,0.52,39.5,-10.03,10.02,-,63.58,-,-,-,111.63,-,-,-,16.73,16.73,3.33,3.33
20,Pretax Income,-132.59,-154.28,-194.66,-163.51,-241.7,-97.74,-166.77,-148.49,-307.23,-276.26,-214.56,-118.32,-219.61,-53.56,-165.9,-222.21,-334.38,-211.2,-149.16,-149.16
21,Income Tax Expense,-9.34,0.62,0.29,0.72,2.69,2.62,-,1.8,-0.04,-0.08,0.09,-,2.78,-,0.05,-,0.02,0.02,-,-
22,Earnings From Continuing Operations,-123.25,-154.9,-194.95,-164.22,-244.38,-100.35,-166.77,-150.29,-307.19,-276.18,-214.65,-118.32,-222.4,-53.56,-165.95,-222.21,-334.4,-211.22,-149.16,-149.16
23,Minority Interest in Earnings,-5.45,2.62,-0.72,3.55,2.11,0.69,4.84,6.35,27.66,12.14,5.11,2.51,3.51,6.16,12.68,9.64,9.69,9.2,6.06,6.06
24,Net Income,-128.7,-152.29,-195.68,-160.67,-242.27,-99.66,-161.93,-143.95,-279.53,-264.04,-209.54,-115.81,-218.89,-47.4,-153.27,-212.57,-324.71,-202.02,-143.1,-143.1
25,Net Income to Common,-128.7,-152.29,-195.68,-160.67,-242.27,-99.66,-161.93,-143.95,-279.53,-264.04,-209.54,-115.81,-218.89,-47.4,-153.27,-212.57,-324.71,-202.02,-143.1,-143.1
26,Shares Outstanding (Basic),1065,1018,1025,1071,1065,1009,1050,1028,1060,1023,969,853,875,864,916,850,889,889,853,853
27,Shares Outstanding (Diluted),1065,1018,1025,1071,1065,1009,1050,1028,1060,1023,969,853,875,864,916,850,889,889,853,853
28,Shares Change (YoY),-0.01%,0.92%,-2.34%,4.18%,0.52%,-1.43%,8.34%,20.47%,21.10%,18.46%,5.79%,0.38%,-1.50%,-2.78%,7.42%,-0.27%,-,-,-,-
29,EPS (Basic),-0.12,-0.15,-0.19,-0.15,-0.23,-0.10,-0.15,-0.14,-0.26,-0.26,-0.22,-0.14,-0.25,-0.05,-0.17,-0.25,-0.37,-0.23,-0.17,-0.17
30,EPS (Diluted),-0.12,-0.15,-0.19,-0.15,-0.23,-0.10,-0.15,-0.14,-0.26,-0.26,-0.22,-0.14,-0.25,-0.05,-0.17,-0.25,-0.37,-0.23,-0.17,-0.17
31,Free Cash Flow,-,-64.67,-89.66,-135.08,-78.6,-184.49,-77.39,-110.61,-110.41,-181.08,-176.55,-218.21,63.94,-103.61,-258.69,-297.12,-71.76,-71.76,-249.62,-249.62
32,Free Cash Flow Per Share,-,-0.06,-0.09,-0.13,-0.07,-0.18,-0.07,-0.11,-0.10,-0.18,-0.18,-0.26,0.07,-0.12,-0.28,-0.35,-0.08,-0.08,-0.29,-0.29
33,Gross Margin,170.08%,31.73%,61.92%,58.05%,30.64%,65.77%,51.21%,74.42%,8.91%,33.45%,29.37%,40.37%,34.86%,37.55%,36.97%,31.03%,38.53%,38.53%,49.80%,49.80%
34,Operating Margin,-83.57%,-112.72%,-334.75%,-303.01%,-111.83%,-30.51%,-153.98%,-334.57%,-541.39%,-412.61%,-127.74%,-54.60%,-113.59%,-15.84%,-50.60%,-178.41%,-134.70%,-88.55%,-147.86%,-147.86%
35,Profit Margin,-74.94%,-143.68%,-295.96%,-295.33%,-85.84%,-54.69%,-136.87%,-317.48%,-396.57%,-407.53%,-117.72%,-54.35%,-74.00%,-14.58%,-46.87%,-166.59%,-121.66%,-75.69%,-129.53%,-129.53%
36,Free Cash Flow Margin,-,-61.01%,-135.60%,-248.28%,-27.85%,-101.24%,-65.42%,-243.95%,-156.64%,-279.48%,-99.18%,-102.40%,21.62%,-31.87%,-79.11%,-232.87%,-26.89%,-26.89%,-225.94%,-225.94%
37,EBITDA,-135.65,-111.6,-206.38,-156.98,-307.76,-27.43,-175.37,-123.52,-353.43,-237.94,-198.36,-86.96,-306.58,-21.5,-136.09,-197.64,-302.11,-216.56,-141.95,-141.95
38,EBITDA Margin,-78.99%,-105.29%,-,-288.55%,-109.04%,-15.05%,-148.24%,-272.43%,-,-,-111.44%,-40.81%,-103.65%,-6.61%,-41.62%,-154.90%,-113.19%,-81.14%,-128.48%,-128.48%
39,D&A For EBITDA,7.87,7.87,14.95,7.87,7.87,28.17,6.8,28.17,28.17,29.39,29.01,29.39,29.39,30,29.37,30,57.4,19.77,21.4,21.4
40,EBIT,-143.52,-119.47,-221.33,-164.85,-315.63,-55.6,-182.17,-151.69,-381.61,-267.33,-227.38,-116.35,-335.97,-51.5,-165.46,-227.64,-359.52,-236.33,-163.35,-163.35
41,EBIT Margin,-83.57%,-112.72%,-,-,-111.83%,-30.51%,-153.98%,-,-,-,-127.74%,-54.60%,-113.59%,-15.84%,-50.60%,-178.41%,-134.70%,-88.55%,-147.86%,-147.86%
42,Revenue as Reported,-,105.99,66.12,54.4,282.24,182.23,118.31,45.34,70.49,64.79,178,213.11,295.78,325.11,454.61,-,266.9,266.9,110.48,110.48
