,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,18748,12547,11987,11728,13335,17483,15284,18182,35056,11340,12332,18369,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-28.23%,-28.23%,-21.57%,-35.50%,-61.96%,54.17%,23.94%,-1.02%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,17998,11797,11176,10825,12333,16480,14075,16892,33972,10255,10866,18068,-,-,-,-,-,-,-,-,-
3,Last Close Price,18.08,12.10,11.56,11.31,12.86,16.86,14.74,17.30,33.81,10.94,11.89,17.71,-,-,-,-,-,-,-,-,-
4,PS Ratio,47.43,31.51,23.56,20.05,20.93,27.83,36.71,60.82,97.75,21.54,16.41,18.15,-,-,-,-,-,-,-,-,-
5,PB Ratio,14.65,11.88,11.35,10.21,10.27,12.44,9.62,11.08,19.79,6.00,5.68,7.65,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,10.99,10.99,10.50,9.59,9.72,11.58,8.86,10.26,18.56,5.69,5.52,7.48,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,-,-,-,-,-,-72.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,45.19,29.62,21.97,18.51,19.35,26.24,33.80,56.51,94.73,19.48,14.46,17.85,-,-,-,-,-,-,-,-,-
9,Debt / Equity Ratio,0.36,0.36,0.36,0.37,0.48,0.43,0.42,0.45,0.57,0.49,0.53,0.49,0.62,0.48,-,-,0.14,0.14,0.14,0.07,0.07
10,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.81,-,-,-,-,-,-,-
11,Asset Turnover,-,0.20,0.11,0.08,0.40,0.25,0.15,0.05,0.08,0.06,0.22,0.37,-,-,-,-,0.43,0.43,0.18,-,
12,Inventory Turnover,-,-,3.67,1.26,1.27,8.59,2.16,1.94,0.37,1.84,1.15,3.41,2.77,-,-,-,-,3.65,4.56,2.04,-
13,Quick Ratio,-,-,1.93,2.01,1.86,1.99,1.97,2.11,2.05,2.25,1.90,2.17,1.57,1.62,-,-,-,2.24,2.21,3.79,3.79
14,Current Ratio,-,-,2.11,2.19,2.01,2.10,2.19,2.27,2.19,2.40,2.18,2.31,1.85,1.87,-,-,-,2.54,2.54,4.28,4.28
15,Return on Equity (ROE),-46.69%,-56.22%,-63.73%,-48.58%,-65.32%,-24.86%,-39.10%,-32.84%,-60.53%,-48.32%,-51.35%,-48.37%,-,-,-,-59.25%,-89.16%,-50.35%,-32.15%,-,
16,Return on Assets (ROA),-,-13.88%,-22.99%,-15.37%,-28.11%,-4.73%,-14.29%,-11.18%,-25.94%,-16.45%,-17.67%,-12.78%,-,-,-,-,-36.08%,-24.01%,-16.80%,-,
17,Return on Capital (ROIC),-25.06%,-19.90%,-31.66%,-20.93%,-37.05%,-6.00%,-17.64%,-13.57%,-31.07%,-19.38%,-22.30%,-19.21%,-,-,-,-33.30%,-52.59%,-31.98%,-20.56%,-,
18,Earnings Yield,-3.40%,-5.08%,-6.26%,-5.95%,-4.98%,-3.71%,-4.48%,-4.67%,-2.56%,-7.66%,-6.55%,-3.22%,-,-,-,-,-,-,-,-,-
19,FCF Yield,-,-3.07%,-4.16%,-3.57%,-2.58%,-3.16%,-2.64%,-1.65%,-6.05%,-4.15%,-2.37%,-,-,-,-,-,-,-,-,-,
20,Buyback Yield / Dilution,-0.67%,0.01%,-0.92%,2.34%,-4.18%,-0.52%,1.43%,-8.34%,-20.47%,-21.10%,-18.46%,-5.79%,-0.38%,1.50%,2.78%,-7.42%,0.27%,-,-,-,-
21,Total Shareholder Return,-0.67%,0.01%,-0.92%,2.34%,-4.18%,-0.52%,1.43%,-8.34%,-20.47%,-21.10%,-18.46%,-5.79%,-0.38%,1.50%,2.78%,-7.42%,0.27%,-,-,-,-
