,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,741.83,852.32,1099,1207,1296,1377,1747,1432,1247,1404,729.79,852.04,-,-,-,999.4,999.4,959.5,959.5
1,Short-Term Investments,-,110.37,109.47,108.57,117.96,-,10.11,-,60.91,-,152.91,-,101.99,-,-,-,-,-,-,-
2,Trading Asset Securities,-,50.22,50.03,100.09,100.07,150.36,350.68,340.81,721.31,821.27,910.37,-,-,-,-,-,240.46,240.46,401.22,401.22
3,Cash & Short-Term Investments,902.42,902.42,1012,1308,1425,1446,1738,2088,2215,2068,2467,729.79,954.03,-,-,1240,1240,1240,1361,1361
4,Cash Growth,-36.67%,-37.60%,-41.79%,-37.36%,-35.66%,-30.09%,-29.56%,186.13%,132.13%,-,-,-41.14%,-23.05%,-,-,-8.88%,-,-,-,-
5,Accounts Receivable,-,644.39,590.49,661.29,722.8,726.05,665.15,697.17,703.88,821.02,866.59,880.24,782.55,-,-,-,492.81,492.81,380.32,380.32
6,Other Receivables,-,16.86,16.85,18.62,18.16,19.57,20.32,19.7,21.07,22.38,25.76,25.88,22.53,-,-,-,32.4,12.91,17.68,17.68
7,Receivables,-,661.24,607.34,679.91,740.95,745.62,685.47,716.87,724.96,843.4,892.35,906.13,805.08,-,-,-,525.2,505.72,398.01,398.01
8,Inventory,-,78.21,79.66,79.65,63.83,118.5,113,124.99,125.6,153.71,145.98,148.93,217.67,-,-,-,179.63,179.63,108.52,108.52
9,Prepaid Expenses,-,-,-,-,0.38,-,0.02,-,1.28,-,-,-,0.48,-,-,-,-,-,-,-
10,Other Current Assets,-,63.62,65.04,79.93,57.03,132.56,77.89,70.45,65.01,269.44,73.58,144.77,57.93,-,-,-,62.18,81.66,121.2,121.2
11,Total Current Assets,-,1705,1764,2147,2287,2443,2615,3000,3131,3335,3579,1930,2035,-,-,-,2007,2007,1988,1988
12,"Property, Plant & Equipment",-,128.94,146.46,165.72,183.95,107.63,83.33,51.43,60.83,72.81,95.63,121.16,138.82,-,-,-,181.48,181.48,210.97,210.97
13,Long-Term Investments,-,126.32,126.42,125.39,122.17,224.79,218.82,198.75,106.51,393.23,388.26,53.6,1.83,-,-,-,170,170,120,120
14,Other Intangible Assets,-,137.71,147.39,148.33,112.99,79.12,83.59,92.5,101.8,111.02,109.56,111.17,107.34,-,-,-,82.54,82.54,48.81,48.81
15,Long-Term Deferred Tax Assets,-,1.44,2.32,3.08,4.25,-,-,-,6.38,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Charges,-,1.09,6,7.71,9.43,11.26,13.59,15.29,17.76,17.93,21.83,24.96,29.47,-,-,-,50.25,50.25,62.99,62.99
17,Other Long-Term Assets,-,4.88,6.08,17.01,28.61,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Total Assets,-,2106,2199,2615,2749,2866,3014,3358,3425,3930,4195,2241,2313,-,-,-,2491,2491,2431,2431
19,Accounts Payable,-,242.04,81,226.5,270.97,237.79,85.7,171.78,188.37,201.21,110.26,265.92,341.48,-,-,-,335.34,335.34,234.61,234.61
20,Accrued Expenses,-,45.47,214.08,69.31,138.61,28.21,167.27,66.12,121.45,46.73,191.92,112.33,152.83,-,-,-,119.84,119.84,62.95,62.95
21,Short-Term Debt,-,366.49,406.32,606.26,578.67,628.03,661.2,923.72,827.22,1071,1065,504.49,433.7,-,-,-,208.8,208.8,130,130
22,Current Portion of Long-Term Debt,-,-,-,-,-,20.76,10.01,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,6.29,14.79,19.04,21,-,18.15,16.76,20.86,19.46,22.07,-,20.38,-,-,-,-,-,-,-
24,Current Income Taxes Payable,-,5.98,0,3.06,0,5.16,-,1.99,-,3.62,-,1.84,2.76,-,-,-,0.04,0.04,-,-
25,Current Unearned Revenue,-,86.81,68.7,73.01,59.43,67.65,149.69,64.31,135.39,53.94,126.32,42.59,125.4,-,-,-,75.29,75.29,30.11,30.11
26,Other Current Liabilities,-,55.54,21.6,72.38,20.18,125.71,57.35,126.4,10.84,134.57,31.82,116.81,12.14,-,-,-,50.28,50.28,6.65,6.65
