,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,234.61,239.33,76.81,56.78,-,94.64,-,60.76,-,106.56,106.56,231.75
1,Cash & Short-Term Investments,234.61,239.33,76.81,56.78,-,94.64,60.76,60.76,106.56,106.56,106.56,231.75
2,Cash Growth,-,152.88%,26.43%,-6.54%,-,-11.18%,-42.98%,-73.78%,-,-,-,-
3,Accounts Receivable,232.75,232.93,226.84,254.74,-,195.9,-,188.73,-,221.11,221.11,162.85
4,Other Receivables,10.95,5.61,3.57,0.94,-,0.96,-,3.01,-,1.38,1.38,5.42
5,Receivables,243.7,238.54,230.41,255.68,-,196.86,-,191.74,-,222.49,222.49,168.27
6,Inventory,238.61,213.11,173.42,154.28,-,126.72,-,153.71,-,157.53,157.53,189.26
7,Prepaid Expenses,-,4.47,-,6.23,-,5.75,-,2.83,-,1.98,1.98,-
8,Other Current Assets,16.16,13.48,15.71,12.27,-,17.49,-,13.39,-,2,2,20.97
9,Total Current Assets,733.08,708.92,496.36,485.23,-,441.47,-,422.43,-,490.56,490.56,610.25
10,"Property, Plant & Equipment",635.7,556.85,536.08,468.47,-,450.65,-,454.26,-,425.06,425.06,390.79
11,Other Intangible Assets,84.42,83.71,85.93,85.32,-,84.64,-,84.96,-,85.82,85.82,86.31
12,Long-Term Accounts Receivable,0.44,0.65,-,3.36,-,3.6,-,3.47,-,3.43,3.43,3.38
13,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,0.82,0.82,1.22
14,Long-Term Deferred Charges,9.23,9.9,10.13,10.43,-,12.49,-,13.28,-,14,14,13
15,Other Long-Term Assets,92,74.79,65.81,69.86,-,51.58,-,41.16,-,45.82,45.82,14.06
16,Total Assets,1555,1435,1194,1123,-,1044,-,1020,-,1066,1066,1119
17,Accounts Payable,603.46,496.95,550.72,503.74,-,403.11,-,374.92,-,464.58,464.58,451.45
18,Accrued Expenses,12.72,18.02,10.43,12.44,-,19.35,-,24.86,-,23.3,23.3,24.84
19,Short-Term Debt,129.74,87.23,112.54,86.07,-,78.06,-,86.46,-,60.76,60.76,141.63
20,Current Portion of Leases,11.33,11.8,17.35,20.09,-,-,-,23.01,-,26.85,26.85,31.16
21,Current Income Taxes Payable,5.8,-,2.1,7.36,-,2.43,-,-,-,1.1,1.1,1.15
22,Current Unearned Revenue,9.26,15.33,11.09,8.69,-,6.9,-,6.99,-,8.84,8.84,7.75
23,Other Current Liabilities,10.18,56.85,20.98,20.13,-,104.52,-,93.27,-,94.54,94.54,98.99
24,Total Current Liabilities,782.49,686.17,725.23,658.52,-,614.38,-,609.51,-,679.97,679.97,756.98
25,Long-Term Leases,9.66,12.9,15.43,18.75,-,27.38,-,38.79,-,50.33,50.33,55.81
26,Long-Term Deferred Tax Liabilities,0.06,0.14,0.46,0.22,-,0.6,-,1.7,-,-,-,-
27,Other Long-Term Liabilities,0.39,0.39,0.16,0.16,-,0.3,-,0.52,-,4.47,4.47,10.77
28,Total Liabilities,792.61,699.62,741.28,677.65,-,642.67,-,650.52,-,734.77,734.77,823.56
29,Common Stock,148,148,111,111,-,111,-,111,-,111,111,111
30,Additional Paid-In Capital,368.43,368.43,98.23,98.23,-,98.23,-,98.23,-,98.23,98.23,98.23
31,Retained Earnings,238.24,223.64,248.15,236.78,-,194.59,-,162.11,-,125.16,125.16,89.81
32,Comprehensive Income & Other,7.59,-4.86,-4.35,-0.99,-,-2.06,-,-2.3,-,-3.65,-3.65,-3.6
33,Shareholders' Equity,762.27,735.2,453.04,445.02,-,401.76,369.19,369.04,330.75,330.75,330.75,295.44
34,Total Liabilities & Equity,1555,1435,1194,1123,-,1044,-,1020,-,1066,1066,1119
35,Total Debt,150.73,111.93,145.33,124.91,-,105.44,148.26,148.26,137.94,137.94,137.94,228.61
36,Net Cash (Debt),83.88,127.4,-68.51,-68.13,-,-10.8,-87.5,-87.5,-31.38,-31.38,-31.38,3.14
37,Net Cash Per Share,0.55,0.96,-0.64,-0.61,-,-0.10,-0.77,-0.79,-0.28,-0.28,-0.28,0.03
38,Filing Date Shares Outstanding,148,148,111,111,112.22,111,114.17,111,111,111,111,111
39,Total Common Shares Outstanding,148,148,111,111,112.22,111,114.17,111,111,111,111,111
40,Working Capital,-49.42,22.75,-228.87,-173.28,-,-172.91,-,-187.09,-,-189.41,-189.41,-146.73
41,Book Value Per Share,5.15,4.97,4.08,4.01,-,3.62,3.33,3.32,2.98,2.98,2.98,2.66
42,Tangible Book Value,677.84,651.5,367.1,359.7,-,317.12,284.23,284.08,244.92,244.92,244.92,209.13
43,Tangible Book Value Per Share,4.58,4.40,3.31,3.24,-,2.86,2.56,2.56,2.21,2.21,2.21,1.88
44,Land,-,15.82,-,16.81,-,16.49,-,16.33,-,-,-,15.5
45,Buildings,-,184.56,-,197.01,-,143.94,-,141.61,-,88.08,88.08,88.06
46,Machinery,-,474.24,-,449.99,-,442.1,-,423.96,-,378.17,378.17,365.23
47,Construction In Progress,-,149.07,-,52,-,76.28,-,81,-,133.46,133.46,103.37
