,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,267.64,247.37,222.72,268.46,227.93,273.24,195.16,672.56,-473.27,273.79,273.79,648.34
1,Other Revenue,-,-,-,-,-,-,-,209.59,-,-,-,231.66
2,Revenue,267.64,247.37,222.72,268.46,227.93,273.24,195.16,882.14,-473.27,273.79,273.79,880
3,Revenue Growth (YoY),17.43%,-9.47%,14.12%,-69.57%,-,-0.20%,-28.72%,0.24%,-,-,-,-
4,Cost of Revenue,218.99,212.87,192.56,222.06,185.05,233.76,163.66,817.64,-467.83,233.92,233.92,810.02
5,Gross Profit,48.66,34.5,30.16,46.4,42.88,39.48,31.5,64.5,-5.43,39.87,39.87,69.98
6,"Selling, General & Admin",15.75,23.02,10.14,11.19,10.76,10.43,7.58,41.05,-23.27,11.64,11.64,42.19
7,Research & Development,7.64,9.04,6.8,8.09,6.94,8.27,6.19,29.6,-17.49,8.75,8.75,29.91
8,Other Operating Expenses,1.19,0.48,0.46,0.52,-0.28,1.47,0.25,-77.57,71.98,-1.75,-1.75,-69
9,Operating Expenses,25.46,35.34,15.94,21.99,19.18,21.98,13.83,-6.77,28.96,19.76,19.76,3.16
10,Operating Income,23.2,-0.84,14.23,24.4,23.7,17.49,17.67,71.27,-34.4,20.11,20.11,66.82
11,Interest Expense,-0.82,-0.47,-0.34,-0.22,-1.25,-1.55,-1.69,-7.84,-1.37,-2.14,-2.14,-3.22
12,Interest & Investment Income,1.2,1.24,0.55,0.74,0.66,0.62,0.56,2.26,4.28,0.68,0.68,4.52
13,Currency Exchange Gain (Loss),-2.01,2.01,-,-,-4.3,4.3,-,9.99,-2.76,1.38,1.38,-2.43
14,Other Non Operating Income (Expenses),-2.19,-0.68,0.29,-1.31,4.62,2.21,-2.69,-0.86,0.41,-0.22,-0.22,-0.61
15,EBT Excluding Unusual Items,19.39,1.25,14.73,23.61,23.42,23.07,13.86,74.82,-33.83,19.81,19.81,65.07
16,Gain (Loss) on Sale of Investments,-0.14,-0.2,-0.24,0.54,-0.75,-1.67,0.36,-1.15,0.08,-0.04,-0.04,-
17,Gain (Loss) on Sale of Assets,0.14,-,-,-,0.02,-,-,0.02,-0.02,0.01,0.01,-0.22
18,Asset Writedown,-0.13,0.13,-0.13,2.32,-2.98,0.45,-0.45,-,-,-,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-0.9,0.9,-0.45,-0.45,-1.05
20,Other Unusual Items,-3.06,3.06,0,0.81,-,-,-,0,-,-,-,7.1
21,Pretax Income,16.19,4.24,14.36,27.28,19.72,21.84,13.77,72.78,-32.88,19.33,19.33,70.9
22,Income Tax Expense,1.58,-0.84,1.42,3.04,1.77,2.08,1.21,5.73,-2.78,1.65,1.65,6.81
23,Net Income,14.61,5.09,12.94,24.24,17.95,19.76,12.56,67.06,-30.1,17.68,17.68,64.1
24,Net Income to Common,14.61,5.09,12.94,24.24,17.95,19.76,12.56,67.06,-30.1,17.68,17.68,64.1
25,Net Income Growth,-18.63%,-74.27%,3.03%,-63.85%,-,11.80%,-28.96%,4.61%,-,-,-,-
26,Shares Outstanding (Basic),151,133,108,111,112,109,114,111,111,111,111,111
27,Shares Outstanding (Diluted),151,133,108,111,112,109,114,111,111,111,111,111
28,Shares Change (YoY),34.76%,21.86%,-5.55%,-,1.10%,-2.04%,2.86%,-,-,-,-,-
29,EPS (Basic),0.10,0.04,0.12,0.22,0.16,0.18,0.11,0.60,-0.27,0.16,0.16,0.58
30,EPS (Diluted),0.10,0.04,0.12,0.22,0.16,0.18,0.11,0.60,-0.27,0.16,0.16,0.57
31,EPS Growth,-39.61%,-78.88%,9.09%,-63.76%,-,14.12%,-30.93%,5.02%,-,-,-,-
32,Free Cash Flow,-52.44,-88.07,2.9,-,33.38,37.3,37.82,-,-,14.76,14.76,-
33,Free Cash Flow Per Share,-0.35,-0.66,0.03,-,0.30,0.34,0.33,-,-,0.13,0.13,-
34,Dividend Per Share,-,-,-,0.200,-,-,-,-,-,-,-,-
35,Gross Margin,18.18%,13.95%,13.54%,17.28%,18.81%,14.45%,16.14%,7.31%,-,14.56%,14.56%,7.95%
36,Operating Margin,8.67%,-0.34%,6.39%,9.09%,10.40%,6.40%,9.05%,8.08%,-,7.34%,7.34%,7.59%
37,Profit Margin,5.46%,2.06%,5.81%,9.03%,7.87%,7.23%,6.44%,7.60%,-,6.46%,6.46%,7.28%
38,Free Cash Flow Margin,-19.59%,-35.60%,1.30%,-,14.64%,13.65%,19.38%,-,-,5.39%,5.39%,-
39,EBITDA,32.96,9.55,23.99,33.71,32.63,27.5,26.6,80.04,-26.16,28.35,28.35,72.86
40,EBITDA Margin,12.32%,3.86%,10.77%,12.56%,14.32%,10.06%,13.63%,9.07%,-,10.35%,10.35%,8.28%
41,D&A For EBITDA,9.77,10.39,9.77,9.31,8.93,10,8.93,8.77,8.24,8.24,8.24,6.04
42,EBIT,23.2,-0.84,14.23,24.4,23.7,17.49,17.67,71.27,-34.4,20.11,20.11,66.82
43,EBIT Margin,8.67%,-0.34%,6.39%,9.09%,10.40%,6.40%,9.05%,8.08%,-,7.34%,7.34%,7.59%
44,Effective Tax Rate,9.78%,-,9.91%,11.14%,9.00%,9.53%,8.80%,7.87%,-,8.56%,8.56%,9.60%
45,Revenue as Reported,267.64,247.37,222.72,268.46,227.93,273.24,195.16,-,-,-,-,-
