,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2154,2032,2431,1909,2411,2512,3103,3426,-,-,-,-
1,Market Cap Growth,-19.12%,-19.12%,-21.65%,-44.27%,-,-,-,-,-,-,-,-
2,Enterprise Value,1509,1571,2097,1538,2041,1800,2360,3248,-,-,-,-
3,Last Close Price,38.98,36.77,44.00,34.13,43.11,44.91,55.48,60.10,-,-,-,-
4,PE Ratio,69.38,67.76,69.90,74.68,68.56,55.01,-,40.74,-,-,-,-
5,PS Ratio,10.69,10.44,12.74,10.41,11.04,11.66,12.84,12.15,-,-,-,-
6,PB Ratio,2.08,1.89,2.26,1.75,2.23,2.35,2.93,3.04,-,-,-,-
7,P/TBV Ratio,1.99,1.99,2.39,1.85,2.35,2.48,3.10,3.21,-,-,-,-
8,P/FCF Ratio,-,-,426.33,489.20,-,-762.72,36.98,-,-,-,-,-
9,P/OCF Ratio,101.77,101.77,61.67,50.37,-,87.00,29.90,-,-,-,-,-
10,EV/Sales Ratio,7.75,8.07,10.99,8.39,9.34,8.35,9.77,11.52,-,-,-,-
11,EV/EBITDA Ratio,52.74,47.93,56.01,52.29,39.01,27.56,-,26.25,-,-,-,-
12,EV/EBIT Ratio,199.73,207.98,-,-,90.69,55.76,-,38.25,-,-,-,-
13,EV/FCF Ratio,-90.62,-,367.70,394.25,-,-546.70,28.13,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,-,0.02,0.02
15,Debt / EBITDA Ratio,0.25,0.22,0.63,0.20,0.06,0.11,-,0.06,0.05,-,0.05,0.04
16,Debt / FCF Ratio,-,-,1.36,1.03,-,-1.74,0.08,-,-,-,0.13,0.38
17,Asset Turnover,0.16,0.15,0.12,0.24,0.15,0.12,0.31,-,-,-,-,
18,Inventory Turnover,5.32,5.59,5.72,4.73,7.48,3.80,4.47,7.59,-,-,-,-
19,Quick Ratio,13.21,13.21,11.35,11.48,9.98,10.50,17.91,12.01,4.55,-,4.21,-
20,Current Ratio,14.69,14.69,11.88,13.95,10.43,12.61,18.53,12.27,4.90,-,4.64,-
21,Return on Equity (ROE),0.98%,1.66%,2.84%,6.81%,3.00%,-1.99%,8.88%,-,-,25.59%,-,
22,Return on Assets (ROA),0.25%,-0.32%,-0.42%,2.13%,0.57%,-1.62%,4.82%,-,-,-,-,
23,Return on Capital (ROIC),0.27%,-0.34%,-0.44%,2.26%,0.60%,-1.73%,5.37%,-,-,16.26%,-,
24,Return on Capital Employed (ROCE),0.69%,0.69%,-,-,2.05%,2.97%,-,7.42%,20.79%,-,14.57%,-
25,Earnings Yield,1.39%,1.48%,1.43%,1.34%,1.46%,1.82%,1.74%,2.45%,-,-,-,-
26,FCF Yield,-0.77%,-0.82%,0.23%,0.20%,-0.23%,-0.13%,2.70%,3.52%,-,-,-,-
27,Dividend Yield,0.90%,-,-,-,0.84%,-,-,-,-,-,-,-
28,Payout Ratio,84.35%,-,550.31%,11.05%,24.66%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-4.99%,15.40%,-1.23%,-32.79%,-16.92%,-35.27%,-28.28%,0.13%,-,-,-,-
30,Total Shareholder Return,-4.09%,15.40%,-1.23%,-32.79%,-16.08%,-35.27%,-28.28%,0.13%,-,-,-,-
