,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,46.34,42.95,35.56,67.14,42.52,35.42,70.76,66.12,68.11,76.26,95.49
1,Other Revenue,-1.28,1.28,-,2.65,-1.24,1.24,-,0.66,-0.64,0.64,-
2,Revenue,45.06,44.23,35.56,69.79,41.28,36.66,70.76,66.78,67.47,76.9,95.49
3,Revenue Growth (YoY),9.17%,20.65%,-49.75%,4.52%,-38.82%,-52.33%,-25.89%,-,-,-,-
4,Cost of Revenue,34.02,34.26,26.76,47.34,25.6,24.29,42.05,38.25,37.65,35.64,40.43
5,Gross Profit,11.04,9.97,8.8,22.46,15.67,12.37,28.71,28.53,29.83,41.27,55.06
6,"Selling, General & Admin",8.32,8.08,7.7,8.39,8.8,15.12,6.99,4.85,7.9,4.83,7.98
7,Research & Development,4.5,3.79,4.67,4.27,4.22,5.46,5.05,5.5,5.34,7.04,5.9
8,Other Operating Expenses,-2.69,0.64,-1.65,0.4,-2.81,-0.8,-0.9,-1.17,-0.98,0.14,-2.5
9,Operating Expenses,9.88,11.44,10.72,12.67,13.09,19.97,10.98,8.96,11.51,11.98,11.49
10,Operating Income,1.15,-1.46,-1.92,9.78,2.58,-7.6,17.73,19.57,18.31,29.29,43.57
11,Interest Expense,-,-0.06,-0.06,-0.29,-,-0.1,-0.04,-0.35,-,-0.16,-0.03
12,Interest & Investment Income,4.03,5.87,8.8,6.76,5.39,5.72,3.36,4.77,2.72,3.46,2.8
13,Currency Exchange Gain (Loss),0,-0,-,-0.02,0.02,-0.02,-,0,0,-0,-
14,Other Non Operating Income (Expenses),0.58,-1.22,0.99,0.42,2.35,-2.98,-0.01,-0.59,0.8,-0.34,-0.02
15,EBT Excluding Unusual Items,5.76,3.13,7.82,16.64,10.33,-4.98,21.05,23.4,21.85,32.24,46.31
16,Gain (Loss) on Sale of Investments,-,-,-,0.31,-0.31,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0,-0.09,-,0.06,0.18,-0.24,-0,-0.03,-0.04,0.39,-
18,Asset Writedown,-0.3,-0.06,0.06,1.24,-1.52,0.11,-0.11,1.67,-1.67,-0.2,0.2
19,Other Unusual Items,-2.13,3.08,-,0.51,-,-,-,8.56,-,-,-
20,Pretax Income,3.33,6.06,7.88,18.76,8.69,-5.11,20.93,33.6,20.14,32.44,46.51
21,Income Tax Expense,0.71,1.56,0.16,0.44,0.72,0.33,2.76,4.65,2.4,4.14,5.82
22,Earnings From Continuing Operations,2.63,4.5,7.72,18.32,7.97,-5.43,18.17,28.95,17.74,28.29,40.69
23,Minority Interest in Earnings,-0.62,-0.8,-0.01,-1.74,-1.17,-0.08,-0.86,-1.88,-2.47,-3.86,-4.31
24,Net Income,2,3.7,7.7,16.58,6.8,-5.52,17.31,27.07,15.26,24.43,36.38
25,Net Income to Common,2,3.7,7.7,16.58,6.8,-5.52,17.31,27.07,15.26,24.43,36.38
26,Net Income Growth,-70.55%,-,-55.50%,-38.75%,-55.47%,-,-52.42%,-,-,-,-
27,Shares Outstanding (Basic),59,54,55,46,70,53,41,39,44,41,41
28,Shares Outstanding (Diluted),59,54,55,46,70,53,41,39,52,41,41
29,Shares Change (YoY),-15.40%,1.23%,32.79%,16.92%,35.27%,28.28%,-0.13%,-,-,-,-
30,EPS (Basic),0.03,0.07,0.14,0.36,0.10,-0.10,0.42,0.69,0.35,0.59,0.88
31,EPS (Diluted),0.03,0.07,0.14,0.36,0.10,-0.10,0.42,0.69,0.30,0.59,0.88
32,EPS Growth,-65.19%,-,-66.49%,-47.61%,-67.08%,-,-52.35%,-,-,-,-
33,Free Cash Flow,-6.87,5.37,5.69,-20.84,15.49,3.57,-3.8,-18.55,102.67,40.08,21.23
34,Free Cash Flow Per Share,-0.12,0.10,0.10,-0.45,0.22,0.07,-0.09,-0.47,1.99,0.97,0.51
35,Dividend Per Share,-,-,-,0.360,-,-,-,1.077,-,-,-
36,Dividend Growth,-,-,-,-66.57%,-,-,-,-,-,-,-
37,Gross Margin,24.49%,22.55%,24.75%,32.17%,37.97%,33.75%,40.57%,42.72%,44.21%,53.66%,57.66%
38,Operating Margin,2.56%,-3.31%,-5.40%,14.02%,6.25%,-20.72%,25.06%,29.30%,27.14%,38.08%,45.63%
39,Profit Margin,4.44%,8.36%,21.66%,23.75%,16.47%,-15.05%,24.47%,40.53%,22.62%,31.77%,38.10%
40,Free Cash Flow Margin,-15.24%,12.14%,16.00%,-29.86%,37.52%,9.74%,-5.36%,-27.78%,152.17%,52.12%,22.23%
41,EBITDA,8.05,3.07,4.98,16.68,12.71,-4.94,27.86,29.7,26.8,39.38,52.05
42,EBITDA Margin,17.86%,6.95%,14.00%,23.90%,30.79%,-13.48%,39.37%,44.47%,39.71%,51.20%,54.51%
43,D&A For EBITDA,6.9,4.54,6.9,6.9,10.13,2.65,10.13,10.13,8.48,10.09,8.48
44,EBIT,1.15,-1.46,-1.92,9.78,2.58,-7.6,17.73,19.57,18.31,29.29,43.57
45,EBIT Margin,2.56%,-3.31%,-5.40%,14.02%,6.25%,-20.72%,25.06%,29.30%,27.14%,38.08%,45.63%
46,Effective Tax Rate,21.22%,25.74%,2.06%,2.33%,8.30%,-,13.21%,13.84%,11.93%,12.78%,12.51%
47,Revenue as Reported,45.06,44.23,35.56,69.79,41.28,36.66,70.76,66.78,67.47,76.9,95.49
