,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,95.22,313.74,137.25,87.86,234.11,678.46,790.24,227.22,-,148.82,-
1,Short-Term Investments,104.11,-,55.32,147.69,-,-,-,-,-,-,-
2,Trading Asset Securities,492.22,193.33,184.31,193.65,182,79,-,-,-,10,-
3,Cash & Short-Term Investments,691.55,507.07,376.88,429.2,416.11,757.46,790.24,227.22,-,158.82,156.9
4,Cash Growth,66.19%,-33.06%,-52.31%,88.89%,-,376.93%,403.67%,-,-,-,-
5,Accounts Receivable,128.17,134.51,141.9,163.36,141.59,147.07,152.03,145.6,-,179.61,-
6,Other Receivables,1.09,0.88,1.39,1.2,1.57,1.96,1.16,1.04,-,1.33,-
7,Receivables,129.26,135.39,143.29,164.57,143.16,149.03,153.19,146.65,-,180.94,-
8,Inventory,24.46,24.22,23.69,21.56,29.05,24.85,18.58,25.74,-,33.6,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0.36,-
10,Other Current Assets,67.36,5.91,88.08,5.81,83.49,6.62,1.53,2.53,-,0.91,-
11,Total Current Assets,912.63,672.58,631.94,621.13,671.81,937.97,963.55,402.14,-,374.63,-
12,"Property, Plant & Equipment",116.76,102.03,77.1,83.92,76.98,78.85,80.47,90.4,-,110.91,-
13,Long-Term Investments,20.77,20.33,20.31,18.48,19.06,18,22.89,21.23,-,18.76,-
14,Other Intangible Assets,18.09,18.23,18.26,18.4,18.53,18.67,18.8,18.94,-,-,-
15,Long-Term Deferred Tax Assets,6.71,7.31,7.55,8.17,8.79,9.85,9.45,11.35,-,12.97,-
16,Long-Term Deferred Charges,0.98,1.29,0.82,1.18,0.37,0.31,0.39,0.47,-,0.63,-
17,Other Long-Term Assets,76.65,324.7,393.69,406.57,345.54,64.28,127.54,70.21,-,62.93,-
18,Total Assets,1153,1146,1150,1158,1141,1128,1223,614.75,-,580.83,-
19,Accounts Payable,34.57,26.91,15.45,17.65,14.72,11.4,12.94,10.09,-,10.59,-
20,Accrued Expenses,9.36,12.22,6.65,17.78,10.22,15,7.79,30,-,32.38,-
21,Current Portion of Leases,2.68,2.57,1.1,1.95,1.9,2.82,2.78,2.91,-,3.06,-
22,Current Income Taxes Payable,4.9,2.49,6.89,5.69,6.14,4.07,7.34,13.96,-,11.1,-
23,Current Unearned Revenue,4.48,7.66,7.8,9.03,9.68,9.56,7.43,12.48,-,9.85,-
24,Other Current Liabilities,6.12,4.76,7.42,7.42,10.62,7.78,40.26,12.66,-,13.71,-
25,Total Current Liabilities,62.12,56.6,45.31,59.53,53.27,50.63,78.54,82.11,-,80.69,-
26,Long-Term Leases,4.5,5.18,2.92,3.07,3.81,3.77,3.69,3.55,-,4.9,-
27,Long-Term Unearned Revenue,1.98,2.3,2.63,2.98,2.04,0.61,0.71,0.89,-,1.86,-
28,Long-Term Deferred Tax Liabilities,7.91,8.93,9.51,10.69,12.61,13.79,14.24,16.94,-,20.43,-
29,Total Liabilities,76.52,73.01,60.37,76.27,71.74,68.79,97.17,103.48,-,107.88,-
30,Common Stock,55.25,55.25,55.25,55.25,55.25,55.25,42.5,31.88,-,31.88,-
31,Additional Paid-In Capital,680.09,680.09,680.09,680.09,680.09,680.09,692.84,104.23,-,104.23,-
32,Retained Earnings,301.22,299.22,315.41,307.7,294.12,284.29,349.31,332.04,-,289.71,-
33,Total Common Equity,1037,1035,1051,1043,1029,1020,1085,468.14,-,425.81,365
34,Minority Interest,39.51,38.89,38.55,38.54,39.88,39.51,41.26,43.12,-,47.14,-
35,Shareholders' Equity,1076,1073,1089,1082,1069,1059,1126,511.26,-,472.95,411.3
36,Total Liabilities & Equity,1153,1146,1150,1158,1141,1128,1223,614.75,-,580.83,-
37,Total Debt,7.18,7.75,4.02,5.01,5.72,6.59,6.47,6.46,-,7.95,8.14
38,Net Cash (Debt),684.36,499.32,372.86,424.18,410.39,750.88,783.78,220.76,-,150.87,148.76
39,Net Cash Growth,66.76%,-33.50%,-52.43%,92.15%,-,397.71%,426.88%,-,-,-,-
40,Net Cash Per Share,11.61,9.32,6.78,9.24,5.89,14.19,18.92,5.62,-,3.66,3.59
41,Filing Date Shares Outstanding,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.25,43.52,41.44,41.49
42,Total Common Shares Outstanding,55.25,55.25,55.25,55.25,55.25,55.25,55.25,41.44,43.52,41.44,41.49
43,Working Capital,850.5,615.98,586.63,561.61,618.53,887.34,885.01,320.03,-,293.94,-
44,Book Value Per Share,18.76,18.73,19.02,18.88,18.63,18.45,19.63,11.30,-,10.28,8.81
45,Tangible Book Value,1018,1016,1032,1025,1011,1001,1066,449.2,-,425.81,365
46,Tangible Book Value Per Share,18.43,18.40,18.69,18.55,18.30,18.12,19.29,10.84,-,10.28,8.81
47,Machinery,-,231.2,-,232.77,-,223.89,-,234.1,-,174.09,-
48,Construction In Progress,-,44.62,-,18.86,-,4.13,-,0.56,-,2.52,-
