,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,164972,143046,72219,107050,119882,150056,161069,190337,291296,336494,244128,182217,135381,129402,111237,115181,139074,173684,164558,154417,Upgrade
1,Short-Term Investments,595000,550000,555000,540000,465000,440000,415000,335000,255000,190000,140000,125000,125000,115000,140000,200000,165000,165000,110000,80000,Upgrade
2,Cash & Short-Term Investments,759972,693046,627219,647050,584882,590056,576069,525337,546296,526494,384128,307217,260381,244402,251237,315181,304074,338684,274558,234417,Upgrade
3,Cash Growth,29.94%,17.45%,8.88%,23.17%,7.06%,12.07%,49.97%,71.00%,109.81%,115.42%,52.89%,-2.53%,-14.37%,-27.84%,-8.49%,34.45%,21.55%,15.21%,-22.22%,-41.39%,Upgrade
4,Accounts Receivable,294444,272941,175459,219157,210945,183806,207505,272271,260983,242214,208073,208835,189826,210916,143703,159568,151498,135306,165402,168091,Upgrade
5,Other Receivables,17934,11797,11546,15565,15737,11809,13310,12754,17042,4673,9908,6954,8136,3866,3933,3471,2689,4018,6291,6626,Upgrade
6,Receivables,312378,284737,187005,234722,226682,195615,220815,285025,278025,246887,217981,215789,197963,214781,147636,163040,154187,139324,171693,174717,Upgrade
7,Inventory,308521,364917,395626,366392,344587,392237,378349,381775,390557,382441,372583,342693,285439,256013,259667,235113,235534,248140,255843,283210,Upgrade
8,Prepaid Expenses,13062,4342,4970,1001,3323,5062,4253,3006,5760,8002,4266,1695,2672,3466,2856,4384,4568,3940,4001,1378,Upgrade
9,Other Current Assets,56876,67701,55879,54464,65265,59444,59812,52814,52465,57561,67413,68338,65103,63573,61760,61982,56719,47154,50624,47922,Upgrade
10,Total Current Assets,1450810,1414744,1270700,1303629,1224738,1242413,1239298,1247957,1273102,1221386,1046371,935733,811559,782236,723155,779700,755082,777241,756719,741644,Upgrade
11,"Property, Plant & Equipment",55954,60067,65741,78057,91954,96659,107365,121196,132782,140449,151256,162076,163789,173627,148694,156165,154798,164116,141697,152790,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10000,-,-,-,-,-,Upgrade
13,Other Intangible Assets,1756,1756,1756,1756,1756,1929,2016,2102,2253,2434,2620,2806,3080,3110,3318,3566,3885,2449,2644,2838,Upgrade
14,Long-Term Deferred Tax Assets,9961,10929,10832,12858,11803,10794,9775,8781,8176,6506,6071,4862,4083,3299,2707,2139,1585,1046,1.17,0.5,Upgrade
15,Other Long-Term Assets,319295,322357,324754,325656,328943,332076,335140,338383,339699,342757,347019,350365,353275,356193,359337,357487,360947,362991,365119,367722,Upgrade
16,Total Assets,1837776,1809852,1673783,1721955,1659195,1683871,1693594,1718419,1756013,1713531,1553337,1455842,1335785,1328465,1247212,1299057,1276297,1307844,1266180,1264995,Upgrade
17,Accounts Payable,36384,38682,52709,32288,49246,23448,55481,23100,106977,160863,137541,96835,49698,54077,51721,78912,33524,61382,49188,17808,Upgrade
18,Accrued Expenses,101237,105638,76360,95199,92783,82104,65610,63854,103503,73061,54473,100790,62959,55815,71440,70617,57827,65615,67208,77537,Upgrade
19,Short-Term Debt,76753,74205,45896,100916,55983,92828,80859,126380,58261,36497,40742,54025,65331,75947,51371,29246,11952,15182,27675,83085,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,8125,16250,24375,16250,25.38,43573,33056,44075,8681,9183,Upgrade
21,Current Income Taxes Payable,27868,26554,7051,37500,31374,17819,15708,10294,50440,42563,25828,12526,23820,13030,7092,12976,12420,14204,9098,18578,Upgrade
22,Other Current Liabilities,75890,13365,5833,19826,5658,5661,15083,65875,14391,78386,41373,15707,13855,13221,8032,7186,24014,21403,9015,11096,Upgrade
23,Total Current Liabilities,318132,258445,187849,285728,235044,221861,232741,289502,333573,391370,308082,296132,240039,228341,189681,242510,172793,221862,170865,217287,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16250,52137,73673,73673,111960,111960,Upgrade
25,Total Liabilities,318132,258445,187849,285728,235044,221861,232741,289502,333573,391370,308082,296132,240039,228341,205931,294647,246466,295535,282826,329247,Upgrade
26,Common Stock,1104999,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,442000,Upgrade
27,Additional Paid-In Capital,-,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,Upgrade
