,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Market Capitalization,4530496,4270822,3049800,2864160,1812200,1905020,1522690,1211080,1339260,1779050,1975740,2762500,1880710,2333760,1286220,1356940,1286220,1197820,928200,782340,950300,Upgrade
1,Market Cap Growth,124.19%,124.19%,100.29%,136.50%,35.31%,7.08%,-22.93%,-56.16%,-28.79%,-23.77%,53.61%,103.58%,46.22%,94.83%,38.57%,73.45%,35.35%,14.83%,-27.34%,-42.35%,-23.08%,Upgrade
2,Enterprise Value,3934712,3702695,2517997,2364503,1330174,1472954,1087094,890917,923667,1346643,1683681,2560240,1737124,2207933,1127680,1192839,1126877,1021764,830614,780377,914145,Upgrade
3,Last Close Price,41000.00,38650.00,26600.00,24980.87,15805.80,16615.36,12745.21,9824.11,10535.67,13995.40,15542.72,21068.08,14343.15,17798.31,9453.24,9973.01,9453.24,8488.00,6418.92,5290.01,6425.72,Upgrade
4,PE Ratio,20.82,20.39,16.50,17.04,9.84,10.46,6.47,4.03,4.25,5.12,6.93,12.17,10.05,15.15,8.13,8.86,7.92,6.46,4.50,3.71,4.29,Upgrade
5,PS Ratio,2.44,2.41,1.83,1.85,1.14,1.16,0.84,0.60,0.64,0.83,1.03,1.57,1.19,1.67,0.94,1.04,0.96,0.85,0.63,0.50,0.61,Upgrade
6,PB Ratio,3.03,2.81,1.97,1.93,1.26,1.34,1.04,0.83,0.94,1.25,1.49,2.22,1.62,2.13,1.17,1.30,1.28,1.16,0.92,0.80,1.02,Upgrade
7,P/TBV Ratio,2.92,2.92,2.03,2.00,1.31,1.38,1.09,0.87,0.99,1.32,1.57,2.30,1.68,2.19,1.20,1.34,1.32,1.20,0.95,0.82,1.05,Upgrade
8,P/FCF Ratio,21.68,23.33,16.19,16.59,5.84,9.06,9.52,4.31,-,4.67,5.34,15.46,22.15,35.62,-,9.15,5.36,5.33,5.20,20.36,-6.14,Upgrade
