,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,507753,480504,351247,431326,407712,357787,391617,485581,574486,561649,482535,521640,356078,403713,295339,344347,325455,341017,328595,420486,Upgrade
1,Revenue Growth (YoY),24.54%,34.30%,-10.31%,-11.17%,-29.03%,-36.30%,-18.84%,-6.91%,61.34%,39.12%,63.38%,51.49%,9.41%,18.38%,-10.12%,-18.11%,-16.17%,-17.66%,-4.31%,-0.11%,Upgrade
2,Cost of Revenue,365584,347197,254318,332544,314967,263208,269869,384205,391469,359703,308704,382711,274654,295733,211666,259736,239707,241689,234183,296979,Upgrade
3,Gross Profit,142169,133307,96929,98782,92744,94579,121748,101376,183017,201946,173831,138930,81423,107980,83672,84612,85747,99329,94412,123508,Upgrade
4,"Selling, General & Admin",50544,44993,39772,44677,38003,39660,37741,51171,41656,34455,36139,43898,34178,32833,34425,37514,33172,33028,33821,36009,Upgrade
5,Other Operating Expenses,-,879.39,846.52,-4505,-,1979,1228,-9711,-,9711,-,-7323,-,3776,3547,-,-,-,-,-,Upgrade
6,Operating Expenses,50544,45872,40619,40172,38003,41640,38969,41461,41656,44165,36139,36576,34178,36609,37971,37514,33172,33028,33821,36009,Upgrade
7,Operating Income,91625,87434,56311,58609,54741,52939,82780,59915,141361,157781,137692,102354,47245,71371,45701,47097,52575,66301,60591,87498,Upgrade
8,Interest Expense,-592.59,-332.77,-574.39,-652.32,-849.29,-1229,-1517,-1233,-529.5,-537.73,-627.31,-1041,-1024,-1149,-1895,-2468,-2862,-3310,-3900,-4189,Upgrade
