,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters
0,Interest and Dividend Income,6917,6917,-28081,40798,73126,44133,39434,48735,51603,37468,50991,57530,-,27796,22450,-43655,16909,13652,14931,22314,Upgrade
1,Total Interest Expense,9162,9162,6260,8521,7959,8053,7964,8543,9312,12193,12652,19637,-,13597,7466,4194,5190,6609,10223,12664,Upgrade
2,Net Interest Income,-2245,-2245,-34341,32278,65167,36080,31470,40192,42291,25275,38338,37893,-,14199,14984,-47849,11720,7043,4708,9650,Upgrade
3,Brokerage Commission,4711,4711,5394,5739,5076,8534,7361,5655,8757,16708,20002,31224,-,27396,25033,14329,8128,8050,5830,7706,Upgrade
4,Underwriting & Investment Banking Fee,437.38,437.38,430.52,449.87,1151,436.53,547.56,459.59,1260,634.24,83813,85577,-,67497,36977,459.29,454.87,448.27,491.9,596.66,Upgrade
5,Gain on Sale of Investments (Rev),57787,57787,201799,3928,35589,83536,15671,6900,90697,31509,186352,122247,-,111676,95323,64570,52534,63010,68945,24992,Upgrade
6,Other Revenue,188.6,188.6,-119269,323.07,5795,83.53,472.6,113.17,15231,1229,2092,10629,-,17782,9116,62170,-,114.41,95.25,1103,Upgrade
7,Revenue,60880,60880,54013,42717,112778,128670,55523,53320,158236,75355,330597,287569,-,238550,181433,93678,72837,78667,80070,44048,Upgrade
8,Revenue Growth (YoY),-46.02%,-52.69%,-2.72%,-19.88%,-28.73%,70.75%,-83.21%,-81.46%,-,-68.41%,82.21%,206.98%,-,203.24%,126.59%,112.67%,57.70%,140.67%,145.56%,47.36%,Upgrade
9,Cost of Services Provided,26164,26164,24595,23379,29381,28526,25995,25417,23074,40385,135700,55675,-,87605,58347,25593,16551,17182,16162,23113,Upgrade
10,Other Operating Expenses,10659,10659,-333.36,-1888,-7374,3081,4270,4610,-2626,-3161,4897,17446,-,1585,1255,-,-,-,-,-,Upgrade
11,Total Operating Expenses,36824,36824,24261,21491,22007,31607,30266,30027,20448,37224,140598,73122,-,89190,59602,25593,16551,17182,16162,23113,Upgrade
12,Operating Income,24056,24056,29752,21227,90772,97064,25257,23293,137788,38130,190000,214447,-,149360,121831,68085,56286,61485,63909,20935,Upgrade
