,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters
0,Market Capitalization,1038244,939364,1087684,1203045,1433765,1384325,1664486,1359605,937304,1297805,1957008,2842811,3811015,2016013,1992013,858006,522003,390003,432003,540004,570004,Upgrade
1,Market Cap Growth,-32.14%,-32.14%,-34.65%,-11.52%,52.97%,6.67%,-14.95%,-52.17%,-75.41%,-35.63%,-1.76%,231.33%,630.07%,416.92%,361.11%,58.89%,-8.42%,-35.00%,-28.71%,-,-,Upgrade
2,Last Close Price,6300.00,5700.00,6600.00,7300.00,8700.00,8400.00,10100.00,8250.00,5687.50,7875.00,11875.00,17250.00,23125.00,20000.00,20750.00,8937.50,5437.50,4062.50,4500.00,5625.00,5937.50,Upgrade
3,PE Ratio,60.44,-,-,12.73,16.27,36.76,14.67,-14.98,-,17.09,-,11.57,17.12,-,8.09,5.45,9.12,145.81,44.47,-,-,Upgrade
4,PS Ratio,4.75,4.30,4.02,3.56,4.22,3.95,4.21,3.97,1.52,1.52,2.82,3.32,5.39,-,3.40,2.01,1.60,1.41,1.74,2.66,3.66,Upgrade
5,PB Ratio,0.53,0.48,0.55,0.61,0.73,0.71,0.85,0.72,0.50,0.68,-,1.43,-,-,2.09,-,0.67,0.53,0.60,0.76,0.79,Upgrade
6,P/FCF Ratio,23.70,21.44,67.91,-,-,-427.51,-41.09,-,-,-,-,-,-8.78,-,-,-,1.45,-,-13.29,-10.97,-,Upgrade
7,P/OCF Ratio,19.94,19.94,61.24,-,-,-495.14,-41.46,-,-,-,-,-,-8.90,-,-,-,1.44,-,-14.12,-11.01,-,Upgrade
8,Debt / Equity Ratio,0.13,0.13,0.13,0.14,0.16,0.16,0.14,0.15,0.16,0.18,-,0.29,-,-,0.80,-,0.07,0.33,0.29,0.44,0.73,Upgrade
9,Debt / FCF Ratio,5.70,5.70,15.61,-,-,-94.44,-6.89,-,-,-,-,-,-,-,-,-,0.14,-,-6.51,-6.35,-,Upgrade
10,Asset Turnover,0.10,0.10,0.09,0.07,0.19,0.22,0.10,-,-,-,-,-,-,-,-,0.39,0.29,0.29,0.26,-,Upgrade,
11,Quick Ratio,4.70,4.70,4.70,4.92,5.00,5.63,6.40,5.72,5.15,4.40,-,3.56,-,-,2.09,-,9.63,3.45,3.60,2.38,2.23,Upgrade
12,Current Ratio,4.83,4.83,4.83,5.02,5.10,5.74,6.44,5.76,5.18,4.48,-,3.72,-,-,2.11,-,9.64,3.46,3.61,2.38,2.24,Upgrade
13,Return on Equity (ROE),-1.52%,-1.51%,3.45%,3.07%,0.91%,12.06%,2.25%,-,-,-,-,-,-,-,-,24.41%,4.06%,8.39%,-6.32%,-,Upgrade,
14,Return on Assets (ROA),-1.21%,-1.21%,2.79%,2.52%,0.76%,10.14%,1.85%,-,-,-,-,-,-,-,-,19.34%,2.93%,5.57%,-3.71%,-,Upgrade,
15,Earnings Yield,1.65%,1.83%,2.67%,7.86%,6.15%,2.72%,6.82%,-6.68%,1.13%,5.85%,-0.22%,8.64%,5.84%,-,12.36%,18.37%,10.96%,0.69%,2.25%,-1.68%,1.42%,Upgrade
16,FCF Yield,4.22%,4.66%,1.47%,-1.97%,2.26%,-0.23%,-2.43%,-23.98%,-32.48%,-,5.43%,-,-11.39%,-,-29.78%,-20.54%,69.05%,27.02%,-7.53%,-9.12%,-,Upgrade
