,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,196.02,224.28,82.69,164.12,149.7,157.28,-
1,Short-Term Investments,486.15,384.93,519.95,119.65,-,-,-
2,Trading Asset Securities,884.54,964.97,868.34,626.86,709.74,926.34,-
3,Cash & Short-Term Investments,1567,1574,1471,910.63,859.43,1084,-
4,Cash Growth,6.51%,72.87%,71.16%,-15.96%,-,-,-
5,Accounts Receivable,83.8,65.44,65.68,57.61,47,42.17,-
6,Other Receivables,27.38,25.88,14.36,14.26,84.99,5.35,-
7,Receivables,111.18,91.33,80.04,71.87,133.32,47.51,-
8,Inventory,258.35,231.38,228.54,185.23,167.94,133.74,-
9,Restricted Cash,10.59,10.45,10.3,10.28,10.27,10.25,-
10,Other Current Assets,28.97,28.57,42.8,69.77,30.6,34.35,-
11,Total Current Assets,1976,1936,1833,1248,1202,1309,-
12,"Property, Plant & Equipment",914.34,954.26,871.6,859.87,801.72,785.84,-
13,Long-Term Investments,0.29,0.3,0.05,0.05,-,0.07,-
14,Goodwill,217.53,217.53,213.3,196.29,191.54,194.27,-
15,Other Intangible Assets,71.98,79.98,83.52,83.29,85.75,90.25,-
16,Long-Term Deferred Tax Assets,35.79,42.11,39.62,44.17,47.29,35.02,-
17,Other Long-Term Assets,194,71.93,70.72,63.95,60.68,62.38,-
18,Total Assets,3410,3302,3111,2495,2389,2477,-
19,Accounts Payable,19.46,21.42,13.28,7.86,29.3,15.44,-
20,Accrued Expenses,205.79,239.49,201.61,199.61,85.47,217.22,-
21,Current Portion of Long-Term Debt,6.36,-,-,-,-,-,-
22,Current Portion of Leases,176.96,169.34,162.86,150.98,155.43,163.18,-
23,Current Income Taxes Payable,40.75,48.53,34.2,33.97,26.03,31.88,-
24,Current Unearned Revenue,1498,1493,1425,1408,1388,1348,-
25,Other Current Liabilities,148.36,80.72,154.01,108.58,155.98,78.35,-
26,Total Current Liabilities,2096,2052,1991,1909,1840,1854,-
27,Long-Term Debt,56.7,-,-,-,-,-,-
28,Long-Term Leases,361.46,393.78,366.96,374.52,358.33,352.28,-
29,Long-Term Deferred Tax Liabilities,24.6,21.98,13.15,8.65,10.03,8.74,-
30,Total Liabilities,2539,2468,2371,2292,2208,2215,-
31,Common Stock,0.01,0.01,0.01,0.01,0.01,-,-
32,Additional Paid-In Capital,460.95,467.77,472.97,84.36,84.36,-,-
33,Retained Earnings,332.21,317.94,214.11,102.28,87.05,191.92,-
34,Treasury Stock,-,-6.82,-4.06,-,-,-,-
35,Comprehensive Income & Other,36.33,22.99,30.99,2.1,-7.21,65.44,-
36,Total Common Equity,829.5,801.9,714.02,188.75,164.21,257.36,-
37,Minority Interest,41.54,32.34,26.39,14.36,16.25,5.17,-
38,Shareholders' Equity,871.04,834.23,740.41,203.11,180.46,262.54,-
39,Total Liabilities & Equity,3410,3302,3111,2495,2389,2477,-
40,Total Debt,601.48,563.12,529.83,525.5,513.76,515.46,-
41,Net Cash (Debt),965.23,1011,941.15,385.13,345.68,568.16,-
42,Net Cash Growth,2.56%,162.53%,172.26%,-32.22%,-,-,-
43,Net Cash Per Share,4.20,4.37,4.11,1.92,1.73,2.85,-
44,Filing Date Shares Outstanding,235.8,235.8,227.18,236.66,206.19,199.6,199.6
45,Total Common Shares Outstanding,235.8,235.8,227.18,103.09,206.19,199.6,199.6
46,Working Capital,-120.13,-116.11,-158.29,-661.33,-638.16,-544.27,-
47,Book Value Per Share,3.52,3.40,3.14,1.83,0.80,1.29,-
48,Tangible Book Value,539.99,504.39,417.2,-90.83,-113.08,-27.16,-
49,Tangible Book Value Per Share,2.29,2.14,1.84,-0.88,-0.55,-0.14,-
50,Land,78.02,78.02,78.02,78.02,78.02,78.02,-
51,Buildings,40.82,40.82,40.82,40.82,40.82,40.82,-
52,Machinery,317.96,309.68,254.11,243.6,206.05,208.48,-
53,Construction In Progress,22.53,18.94,17.24,15.96,23.8,5.58,-
54,Leasehold Improvements,528.82,518.78,500.73,460.81,388.92,376.38,-
