,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1138,1108,1037,901.1,734.32,943.91,836.83
1,Revenue Growth (YoY),9.72%,22.98%,41.20%,-4.54%,-12.25%,-,-
2,Cost of Revenue,603.49,609.2,558.76,497.28,420.29,499.08,447.88
3,Gross Profit,534.2,499,478.11,403.81,314.03,444.84,388.95
4,"Selling, General & Admin",370.81,363.77,332.76,287.89,287.5,309.74,262.17
5,Research & Development,16.26,16.89,17.18,16.2,14.99,10.28,7.75
6,Other Operating Expenses,-6.27,-4.45,-17.97,-8.93,-15.51,-4.95,-10
7,Operating Expenses,380.92,375.99,332.13,295.36,286.75,315.82,260.47
8,Operating Income,153.28,123,145.98,108.45,27.28,129.01,128.48
9,Interest Expense,-14.35,-12.52,-12.29,-12.67,-12.05,-11.89,-12.33
10,Interest & Investment Income,11.77,11.56,10.28,2.06,1.04,0.68,0.61
11,Earnings From Equity Investments,-,-0.05,-,-,-,-,-
12,Currency Exchange Gain (Loss),-0.7,-0.26,0.58,3.62,0.41,-0.1,-0.13
13,Other Non Operating Income (Expenses),-,-0.85,-,-0.18,-,-,-
14,EBT Excluding Unusual Items,150,120.89,144.54,101.28,16.69,117.7,116.63
15,Gain (Loss) on Sale of Investments,10.84,14.05,9.79,10.87,9.83,12.57,10.84
16,Gain (Loss) on Sale of Assets,-0.35,-0.13,-0.88,-0.44,-0.47,-2.45,-0.19
17,Other Unusual Items,-,-,-,-7.28,-,-,-
18,Pretax Income,160.49,134.81,153.46,104.44,26.04,127.82,127.28
19,Income Tax Expense,34.42,25.79,32.34,13.75,6.19,24.59,22.18
20,Earnings From Continuing Operations,126.07,109.02,121.12,90.68,19.85,103.23,105.11
21,Minority Interest in Earnings,-10.65,-5.19,-9.29,-2.7,-4.73,-6.71,-8.16
22,Net Income,115.42,103.83,111.83,87.99,15.12,96.53,96.95
23,Net Income to Common,115.42,103.83,111.83,87.99,15.12,96.53,96.95
24,Net Income Growth,3.21%,18.00%,639.47%,-8.85%,-84.40%,-,-
25,Shares Outstanding (Basic),230,230,227,200,200,200,200
26,Shares Outstanding (Diluted),230,231,229,200,200,200,200
27,Shares Change (YoY),0.36%,15.40%,14.58%,0.43%,0.06%,-,-
28,EPS (Basic),0.50,0.45,0.49,0.44,0.08,0.48,0.49
29,EPS (Diluted),0.50,0.45,0.49,0.44,0.08,0.48,0.48
30,EPS Growth,2.04%,2.47%,547.12%,-9.15%,-84.39%,-,-
31,Free Cash Flow,134.62,292.63,173.64,163.67,77.54,331.86,204.9
32,Free Cash Flow Per Share,0.59,1.26,0.76,0.82,0.39,1.66,1.03
33,Operating Margin,13.47%,11.10%,14.08%,12.04%,3.72%,13.67%,15.35%
34,Profit Margin,10.15%,9.37%,10.79%,9.76%,2.06%,10.23%,11.59%
35,Free Cash Flow Margin,11.83%,26.41%,16.75%,18.16%,10.56%,35.16%,24.49%
36,EBITDA,213.27,184.02,202.32,163.33,78.68,178.89,177.38
37,D&A For EBITDA,59.99,61.01,56.33,54.88,51.4,49.88,48.9
38,EBIT,153.28,123,145.98,108.45,27.28,129.01,128.48
