,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,4277,3796,2613,5604,-,-,-,-
1,Market Cap Growth,-32.26%,-32.26%,-,-,-,-,-,-
2,Enterprise Value,3285,2718,1624,5185,-,-,-,-
3,Last Close Price,18.14,15.63,10.76,23.01,-,-,-,-
4,PE Ratio,17.77,16.11,11.00,25.96,-,-,-,-
5,Forward PE,16.20,12.16,7.50,18.38,-,-,-,-
6,PS Ratio,1.73,1.57,1.11,2.68,-,-,-,-
7,PB Ratio,4.80,4.06,2.84,7.01,-,-,-,-
8,P/TBV Ratio,6.54,6.54,4.70,12.43,-,-,-,-
9,P/FCF Ratio,9.32,8.27,5.09,15.38,-,-,-,-
10,P/OCF Ratio,5.65,5.65,3.79,10.91,-,-,-,-
11,EV/Sales Ratio,1.36,1.13,0.69,2.48,-,-,-,-
12,EV/EBITDA Ratio,5.01,6.37,3.82,13.12,-,-,-,-
13,EV/EBIT Ratio,11.07,9.16,5.48,18.86,-,-,-,-
14,EV/FCF Ratio,7.16,5.92,3.16,14.23,-,-,-,-
15,Debt / Equity Ratio,0.69,0.69,0.68,0.72,2.59,2.85,1.96,-
16,Debt / FCF Ratio,1.41,1.41,1.21,1.57,2.18,1.25,0.96,-
17,Return on Capital Employed (ROCE),21.03%,21.03%,21.52%,22.71%,23.15%,28.48%,41.29%,-
18,Earnings Yield,5.51%,6.21%,9.09%,3.85%,-,-,-,-
19,FCF Yield,10.73%,12.09%,19.66%,6.50%,-,-,-,-
20,Buyback Yield / Dilution,-7.39%,-0.36%,-15.40%,-14.58%,-0.43%,-0.06%,-,-
21,Total Shareholder Return,-4.80%,-0.36%,-15.40%,-14.58%,-0.43%,-0.06%,-,-
