,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Operating Revenue,980.85,885.75,928.32,766.49,966.28,864.97,880.02,692.73,1107
1,Other Revenue,-19.71,19.71,-,58.7,-20.62,20.62,-,45.93,-
2,Revenue,961.14,905.46,928.32,825.19,945.66,885.6,880.02,738.66,1107
3,Revenue Growth (YoY),1.64%,2.24%,5.49%,11.71%,-14.59%,-,-,-,-
4,Operations & Maintenance,-0.31,0.31,-,3.41,-0.85,0.85,-,3.18,-
5,"Selling, General & Admin",57.36,84.69,60.2,47.21,82.85,79.23,78.22,71.91,75.89
6,Provision for Bad Debts,21.81,-92.88,26.96,15.74,31.19,-6.43,26.52,15.01,-3.2
7,Other Operating Expenses,533.28,577.96,504.5,546.89,509.36,468.41,430.41,525.59,700.86
8,Total Operating Expenses,641.96,613.59,620.21,645.31,659.55,572.37,564.24,643.46,808.82
9,Operating Income,319.18,291.87,308.1,179.88,286.1,313.23,315.78,95.19,298.44
10,Interest Expense,-92.32,-92.26,-103.54,-91.1,-106.04,-97.97,-103.64,-95.63,-67.51
11,Interest Income,31.97,42.2,21.63,20.41,22.84,26.87,36.29,27.95,18.51
12,Net Interest Expense,-60.35,-50.06,-81.91,-70.69,-83.2,-71.11,-67.35,-67.68,-49.01
13,Other Non-Operating Income (Expenses),18.58,-18.57,-0.03,-22.63,32.32,-18.44,-0.41,5.6,-1.27
14,EBT Excluding Unusual Items,277.41,223.24,226.16,86.56,235.22,223.68,248.02,33.11,248.16
15,Gain (Loss) on Sale of Assets,-0.08,-0,-,0.01,0.07,-0.07,-,-0,0.04
16,Insurance Settlements,-,-,-,13.32,-13.17,13.17,-,1.47,-
17,Other Unusual Items,-21.01,21.01,-,6.73,0.01,-0.01,-,8.7,-
18,Pretax Income,256.33,244.25,226.16,106.62,222.13,236.78,248.02,43.28,248.2
19,Income Tax Expense,28.69,22.68,18.51,31.96,11.84,4.51,16.72,-0.09,13.45
20,Earnings From Continuing Ops.,227.63,221.57,207.66,74.66,210.28,232.27,231.3,43.37,234.75
21,Minority Interest in Earnings,-1.26,-3.12,-4.1,-2.75,-0.93,-3.05,-6.95,-1.69,0.06
22,Net Income,226.37,218.45,203.56,71.91,209.36,229.22,224.35,41.69,234.81
23,Net Income to Common,226.37,218.45,203.56,71.91,209.36,229.22,224.35,41.69,234.81
24,Net Income Growth,8.13%,-4.70%,-9.27%,72.49%,-10.84%,-,-,-,-
25,Shares Outstanding (Basic),906,910,848,739,748,764,748,1324,757
26,Shares Outstanding (Diluted),906,910,848,739,748,764,748,1324,757
27,Shares Change (YoY),21.14%,19.13%,13.42%,-44.17%,-1.24%,-,-,-,-
28,EPS (Basic),0.25,0.24,0.24,0.10,0.28,0.30,0.30,0.03,0.31
29,EPS (Diluted),0.25,0.24,0.24,0.10,0.28,0.30,0.30,0.03,0.31
30,EPS Growth,-10.74%,-20.00%,-20.00%,208.96%,-9.72%,-,-,-,-
31,Free Cash Flow,448.67,301.55,198.09,46.09,348.1,216.58,-140.57,-257.9,-
32,Free Cash Flow Per Share,0.50,0.33,0.23,0.06,0.47,0.28,-0.19,-0.19,-
33,Dividend Per Share,-,-,-,0.520,-,-,-,-,-
34,Profit Margin,23.55%,24.13%,21.93%,8.71%,22.14%,25.88%,25.49%,5.64%,21.21%
35,Free Cash Flow Margin,46.68%,33.30%,21.34%,5.59%,36.81%,24.46%,-15.97%,-34.91%,-
36,EBITDA,528.3,514.33,517.22,389,435.03,513.06,464.71,244.12,389.84
37,EBITDA Margin,54.97%,56.80%,55.72%,47.14%,46.00%,57.93%,52.81%,33.05%,35.21%
38,D&A For EBITDA,209.12,222.46,209.12,209.12,148.93,199.83,148.93,148.93,91.4
39,EBIT,319.18,291.87,308.1,179.88,286.1,313.23,315.78,95.19,298.44
40,EBIT Margin,33.21%,32.23%,33.19%,21.80%,30.25%,35.37%,35.88%,12.89%,26.95%
41,Effective Tax Rate,11.19%,9.28%,8.18%,29.98%,5.33%,1.91%,6.74%,-,5.42%
42,Revenue as Reported,961.14,905.46,928.32,3536,945.66,885.6,880.02,3293,-
