,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,1972,2120,3250,705.09,874.55,786.36,-,2249,-
1,Short-Term Investments,-,533.62,-,-,-,-,-,-,-
2,Accounts Receivable,1882,1674,1518,1476,1375,1308,-,1029,-
3,Other Receivables,334.57,343.4,334.48,380.64,411.37,766.1,-,62.85,-
4,Inventory,77.65,77.52,74.04,79.63,94.69,88.3,-,75.66,-
5,Prepaid Expenses,-,-,-,-,-,1.14,-,-,-
6,Other Current Assets,946.34,427.38,419.83,420.8,378.29,40.49,-,356.74,-
7,Total Current Assets,5212,5176,5596,3062,3134,2990,-,3772,-
8,"Property, Plant & Equipment",12422,12535,12873,12950,13044,13098,-,13157,-
9,Other Intangible Assets,5798,5883,5951,6009,6081,6157,-,6277,-
10,Long-Term Investments,669.11,652.67,1158,1149,1137,1122,-,758.83,-
11,Long-Term Deferred Tax Assets,86,85.84,97.12,90.99,110.83,109.58,-,101.84,-
12,Long-Term Deferred Charges,47.9,51.27,45.98,50.64,34.59,21.33,-,27.34,-
13,Other Long-Term Assets,457.06,486.58,508.99,559.11,633.04,651.45,-,723.88,-
14,Total Assets,24691,24870,26231,23870,24175,24149,-,24818,-
15,Accounts Payable,2464,339,2718,233.41,3105,3220,-,398.03,-
16,Accrued Expenses,178.93,169.37,118.99,200.47,156.05,142.04,-,198,-
17,Short-Term Debt,947.34,1154,1533,1326,-,1490,-,1497,-
18,Current Portion of Long-Term Debt,1140,919.5,929.23,939.52,-,712.94,-,658.77,-
19,Current Unearned Revenue,19.05,13.56,6.52,5.87,21.83,9.26,-,1.26,-
20,Current Portion of Leases,-,5.21,-,4.57,-,4.46,-,4.52,-
21,Current Income Taxes Payable,87.74,15.33,47.09,14.63,71.27,13.1,-,21.28,-
22,Other Current Liabilities,128.59,2416,118.29,3028,2499,365.31,-,3587,-
23,Total Current Liabilities,4966,5031,5471,5753,5853,5957,-,6366,-
24,Long-Term Debt,8741,9072,9740,9637,9882,9946,-,9723,-
25,Long-Term Leases,7.07,8.14,9.98,8.89,9.98,10.98,-,12.72,-
26,Long-Term Unearned Revenue,436.97,447.06,455.19,465.04,474.31,484.19,-,503.67,-
27,Long-Term Deferred Tax Liabilities,9,9.35,9.83,9.62,8.56,8.78,-,10.74,-
28,Other Long-Term Liabilities,52.07,51.04,50.04,49.05,48.08,47.13,-,44.61,-
29,Total Liabilities,14212,14619,15736,15922,16275,16454,-,16661,-
30,Common Stock,900,900,900,750,750,750,-,750,-
31,Additional Paid-In Capital,8073,8073,8073,5892,5892,5892,-,5892,-
32,Retained Earnings,1338,1111,1361,1157,1085,876.05,-,1360,-
33,Comprehensive Income & Other,14.07,13.82,10.47,2.55,28.42,34.76,-,23.3,-
34,Total Common Equity,10325,10098,10344,7802,7756,7553,8025,8025,-
35,Minority Interest,154.83,153.57,150.44,146.34,143.59,142.66,-,132.67,-
36,Shareholders' Equity,10479,10251,10495,7948,7899,7695,8158,8158,-
37,Total Liabilities & Equity,24691,24870,26231,23870,24175,24149,-,24818,-
38,Total Debt,10835,11158,12212,11916,9892,12164,11896,11896,-
39,Net Cash (Debt),-8863,-8505,-8962,-11211,-9017,-11378,-9648,-9648,-
40,Net Cash Per Share,-9.78,-9.34,-10.57,-15.16,-12.05,-14.89,-12.90,-7.29,-
41,Filing Date Shares Outstanding,900,900,900,750,750,750,747.83,750,757.45
42,Total Common Shares Outstanding,900,900,900,750,750,750,747.83,750,757.45
43,Working Capital,246.05,144.34,124.97,-2691,-2718,-2967,-,-2594,-
44,Book Value Per Share,11.47,11.22,11.49,10.40,10.34,10.07,10.70,10.70,-
45,Tangible Book Value,4527,4215,4393,1793,1675,1396,1748,1748,-
46,Tangible Book Value Per Share,5.03,4.68,4.88,2.39,2.23,1.86,2.33,2.33,-
47,Buildings,-,5740,-,5901,5877,4576,-,4546,-
48,Machinery,-,7942,-,7907,7903,7107,-,7042,-
49,Construction In Progress,-,21.36,-,30.96,20.86,2039,-,1954,-
