,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Market Capitalization,12843,13644,14571,12555,-,-,-,-,-,-
1,Enterprise Value,21861,22302,23684,23912,-,-,-,-,-,-
2,PE Ratio,16.86,18.94,20.72,17.58,-,-,-,-,-,-
3,PS Ratio,3.35,3.77,4.04,3.50,-,-,-,-,-,-
4,PB Ratio,1.24,1.30,1.42,1.20,-,-,-,-,-,-
5,P/FCF Ratio,12.92,13.72,16.30,15.52,-,-,-,-,-,-
6,P/OCF Ratio,8.44,8.44,8.12,6.62,-,-,-,-,-,-
7,EV/Sales Ratio,6.04,6.16,6.57,6.67,-,-,-,-,-,-
8,EV/EBITDA Ratio,10.47,11.44,12.76,12.90,-,-,-,-,-,-
9,EV/EBIT Ratio,20.49,20.29,22.22,21.99,-,-,-,-,-,-
10,EV/FCF Ratio,21.98,22.43,26.50,29.56,-,-,-,-,-,-
11,Debt / Equity Ratio,1.03,1.03,1.09,1.16,1.50,1.25,1.58,1.46,1.46,-
12,Debt / EBITDA Ratio,5.19,5.13,5.40,5.90,7.58,5.68,5.90,6.40,11.99,-
13,Debt / FCF Ratio,10.90,10.90,12.48,15.10,25.34,59.51,-66.88,-,-,-
14,Quick Ratio,0.84,0.84,0.93,0.93,0.45,0.45,0.48,-,0.52,-
15,Current Ratio,1.05,1.05,1.03,1.02,0.53,0.54,0.50,-,0.59,-
16,Asset Turnover,0.16,0.14,0.15,0.14,0.16,-,-,-,-,
17,Return on Equity (ROE),8.78%,8.54%,9.01%,3.77%,10.79%,11.72%,11.34%,-,-,
18,Return on Assets (ROA),3.22%,2.86%,3.07%,1.87%,2.96%,-,-,-,-,
19,Return on Capital (ROIC),3.74%,3.31%,3.62%,2.39%,3.80%,3.92%,3.94%,-,-,
20,Return on Capital Employed (ROCE),5.41%,5.57%,5.37%,5.24%,6.04%,5.51%,5.62%,-,2.13%,-
21,Earnings Yield,5.61%,5.28%,4.83%,5.69%,-,-,-,-,-,-
22,Earnings Yield,5.61%,5.28%,4.83%,5.69%,-,-,-,-,-,-
23,FCF Yield,7.74%,7.29%,6.13%,6.44%,-,-,-,-,-,-
24,Payout Ratio,117.85%,21.83%,261.53%,49.52%,177.09%,69.38%,450.27%,48.72%,282.26%,-
25,Buyback Yield / Dilution,5.03%,-21.14%,-19.13%,-13.42%,44.17%,1.24%,-,-,-,-
26,Total Shareholder Return,8.69%,-21.14%,-19.13%,-13.42%,44.17%,1.24%,-,-,-,-
