,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,227.33,197.48,164.84,180.09,177.81,154.45,119.16,129.65,140.41,112.23,113.51,127.47,128.04,115.63,91.93,107.01,97.45,80.49,68.15,104.01
1,Other Revenue,-3.79,3.79,-,5.81,-2.61,2.61,-,3.3,-1.51,1.51,-,2.41,-0.53,0.53,-,1.15,-0.45,0.45,-,1.25
2,Revenue,223.55,201.26,164.84,185.91,175.21,157.05,119.16,132.95,138.9,113.74,113.51,129.87,127.51,116.16,91.93,108.16,97.01,80.94,68.15,105.26
3,Revenue Growth (YoY),27.59%,28.15%,38.33%,39.83%,26.14%,38.08%,4.98%,2.37%,8.93%,-2.08%,23.48%,20.08%,31.45%,43.52%,34.89%,2.75%,-,-,-,-
4,Cost of Revenue,121.89,118.68,98.98,116.33,104.2,96.92,75.66,84.38,94.85,77.57,75.15,86.62,80.44,74.77,56.94,67.69,55.51,50.69,42.54,24.84
5,Gross Profit,101.66,82.58,65.86,69.57,71.01,60.13,43.51,48.57,44.05,36.18,38.36,43.25,47.07,41.39,34.99,40.47,41.49,30.25,25.61,80.42
6,"Selling, General & Admin",47.94,41.79,37.09,41.73,36.08,31.04,23.56,27.7,21.09,15.84,15.13,18.92,18.1,10.01,10.78,11.36,8.54,6.33,6.36,38.04
7,Research & Development,10.21,8.1,7.2,8.44,6.27,6.12,4.73,3.86,4.98,5.32,4.95,4.89,5.31,4.06,3.8,4.11,3.2,2.96,2.92,15.02
8,Other Operating Expenses,1.52,2.68,0.11,2.73,0.25,-0.85,-0.04,4.41,-0.77,-0.08,0.06,7,0.21,-4,-0.25,2.39,0.25,-0.11,0.05,2.99
9,Operating Expenses,59.63,53.99,44.25,52.3,43.52,37.03,28.39,35.3,25.84,21.47,20.42,29.65,24.92,9.92,14.81,18.09,12.57,9.27,9.43,56.06
10,Operating Income,42.02,28.59,21.61,17.27,27.49,23.1,15.12,13.28,18.21,14.71,17.95,13.6,22.15,31.47,20.18,22.38,28.93,20.98,16.18,24.36
11,Interest & Investment Income,4.81,5.58,4.32,3.63,4.09,6.37,2.1,4.23,3.19,3.29,4.18,1.01,9.02,0.86,1.39,0.7,0.43,0.77,0.52,1.89
12,Currency Exchange Gain (Loss),-1.41,1.41,-,4.37,-4.45,4.45,-,10.23,-6.93,6.93,-,-1.86,0.94,-0.94,-,-3.99,-0.08,0.08,-,0.7
13,Other Non Operating Income (Expenses),-5.03,-0.26,0.01,-4.65,4.49,-0.17,0,-12.26,12.38,-0.49,-0,1.54,-1.19,0.26,-0.88,0.02,-1.9,-0.31,1.69,-0.37
14,EBT Excluding Unusual Items,40.39,35.33,25.94,20.62,31.62,33.75,17.22,15.48,26.86,24.44,22.12,14.29,30.93,31.64,20.69,19.11,27.38,21.53,18.39,26.58
15,Gain (Loss) on Sale of Assets,0.03,0.01,-,0,-,-,-,0.01,-0,0.02,-0.01,-0.01,-0.75,-0.04,-0.11,-0.03,-0.11,-,-,-0.01
16,Asset Writedown,-3.01,-,-,-,-1.65,-,-,-,-,-,-,-,-,-,-,1.49,-1.52,-,-,-
17,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2
18,Other Unusual Items,-0.49,0.49,-,-0.55,-,-,-,1.91,-,-,-,5.65,-,-,-,3.72,-,-,-,3.11
19,Pretax Income,36.91,35.84,25.94,20.07,29.97,33.75,17.22,17.4,26.85,24.46,22.11,19.93,30.18,31.6,20.58,24.29,25.75,21.53,18.39,27.68
20,Income Tax Expense,5,4.13,2.64,2.17,3.75,4.72,2.39,2.58,2.64,3.27,2.58,2.45,3.66,4.17,2.52,3.2,3.54,2.96,2.43,3.75
21,Earnings From Continuing Operations,31.92,31.71,23.3,17.9,26.22,29.04,14.83,14.82,24.21,21.19,19.53,17.48,26.52,27.44,18.06,21.09,22.21,18.57,15.97,23.94
22,Minority Interest in Earnings,-,-,-,-2.61,1.36,2.62,1.79,1.78,0.51,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,31.92,31.71,23.3,15.29,27.58,31.65,16.62,16.6,24.72,21.19,19.53,17.48,26.52,27.44,18.06,21.09,22.21,18.57,15.97,23.94
24,Net Income to Common,31.92,31.71,23.3,15.29,27.58,31.65,16.62,16.6,24.72,21.19,19.53,17.48,26.52,27.44,18.06,21.09,22.21,18.57,15.97,23.94
25,Net Income Growth,15.73%,0.17%,40.22%,-7.90%,11.55%,49.40%,-14.93%,-5.04%,-6.79%,-22.78%,8.15%,-17.10%,19.39%,47.74%,13.14%,-11.90%,-,-,-,-
26,Shares Outstanding (Basic),188,187,192,182,183,192,194,192,181,198,182,183,185,193,186,143,140,140,142,141
27,Shares Outstanding (Diluted),188,187,192,193,183,192,194,192,181,198,195,183,185,193,186,143,140,140,142,141
28,Shares Change (YoY),2.65%,-2.52%,-1.02%,0.29%,0.99%,-2.72%,-0.74%,4.88%,-2.35%,2.37%,4.79%,28.45%,32.03%,38.16%,31.00%,1.14%,-,-,-,-
29,EPS (Basic),0.17,0.17,0.12,0.08,0.15,0.16,0.09,0.09,0.14,0.11,0.11,0.10,0.14,0.14,0.10,0.15,0.16,0.13,0.11,0.17
30,EPS (Diluted),0.17,0.17,0.12,0.08,0.15,0.16,0.09,0.09,0.14,0.11,0.10,0.10,0.14,0.14,0.10,0.15,0.16,0.13,0.11,0.17
31,EPS Growth,12.75%,2.75%,41.66%,-8.17%,10.46%,53.58%,-14.30%,-9.46%,-4.55%,-24.57%,3.20%,-35.46%,-9.57%,6.94%,-13.64%,-12.89%,-,-,-,-
32,Free Cash Flow,30.77,-3.65,17.9,35.98,0.64,13.72,1.93,14.58,23.1,3.82,-12.98,15.79,-41.33,-7.95,-30.81,6.9,24.3,9.6,8.45,-19.11
33,Free Cash Flow Per Share,0.16,-0.02,0.09,0.19,0.00,0.07,0.01,0.08,0.13,0.02,-0.07,0.09,-0.22,-0.04,-0.17,0.05,0.17,0.07,0.06,-0.14
34,Dividend Per Share,-,-,-,0.143,-,-,-,0.143,-,-,-,0.143,-,-,-,0.128,-,-,-,0.128
35,Dividend Growth,-,-,-,0%,-,-,-,0%,-,-,-,11.99%,-,-,-,0%,-,-,-,-
36,Gross Margin,45.48%,41.03%,39.95%,37.42%,40.53%,38.29%,36.51%,36.54%,31.72%,31.81%,33.80%,33.30%,36.91%,35.63%,38.06%,37.41%,42.78%,37.37%,37.58%,76.41%
37,Operating Margin,18.80%,14.21%,13.11%,9.29%,15.69%,14.71%,12.69%,9.99%,13.11%,12.93%,15.81%,10.47%,17.37%,27.09%,21.95%,20.69%,29.82%,25.93%,23.74%,23.14%
38,Profit Margin,14.28%,15.75%,14.14%,8.22%,15.74%,20.15%,13.94%,12.49%,17.80%,18.63%,17.21%,13.46%,20.80%,23.62%,19.65%,19.50%,22.90%,22.94%,23.43%,22.74%
39,Free Cash Flow Margin,13.76%,-1.82%,10.86%,19.36%,0.36%,8.74%,1.62%,10.96%,16.63%,3.36%,-11.44%,12.16%,-32.41%,-6.85%,-33.52%,6.38%,25.05%,11.86%,12.40%,-18.16%
40,EBITDA,52.64,39.87,32.22,27.88,36.5,33.53,24.13,22.29,25.1,23.2,24.83,20.49,27.9,37.79,25.94,28.13,34.49,26.52,21.75,29.93
41,EBITDA Margin,23.55%,19.81%,19.55%,15.00%,20.83%,21.35%,20.25%,16.76%,18.07%,20.40%,21.88%,15.78%,21.88%,32.53%,28.21%,26.01%,35.56%,32.77%,31.91%,28.43%
42,D&A For EBITDA,10.62,11.28,10.62,10.62,9.01,10.42,9.01,9.01,6.89,8.5,6.89,6.89,5.76,6.32,5.76,5.76,5.57,5.54,5.57,5.57
43,EBIT,42.02,28.59,21.61,17.27,27.49,23.1,15.12,13.28,18.21,14.71,17.95,13.6,22.15,31.47,20.18,22.38,28.93,20.98,16.18,24.36
44,EBIT Margin,18.80%,14.21%,13.11%,9.29%,15.69%,14.71%,12.69%,9.99%,13.11%,12.93%,15.81%,10.47%,17.37%,27.09%,21.95%,20.69%,29.82%,25.93%,23.74%,23.14%
45,Effective Tax Rate,13.54%,11.52%,10.17%,10.80%,12.50%,13.97%,13.87%,14.83%,9.83%,13.38%,11.65%,12.29%,12.11%,13.19%,12.23%,13.16%,13.74%,13.74%,13.19%,13.53%
46,Revenue as Reported,223.55,201.26,164.84,185.91,175.21,157.05,119.16,132.95,138.9,113.74,113.51,129.87,127.51,208.09,-,354.25,-,-,-,408.82
