,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2591,1840,1754,1909,2119,2156,1950,1942,1749,1704,1980,1968,2104,1892,2111,2457,2926,-,-,-,-
1,Market Cap Growth,-14.66%,-14.66%,-10.06%,-1.72%,21.21%,26.54%,-1.49%,-1.32%,-16.91%,-9.93%,-6.22%,-19.89%,-28.08%,-,-,-,-,-,-,-,-
2,Enterprise Value,2051,1320,1180,1352,1594,1632,1475,1467,1273,1239,1449,1440,1576,1330,1506,2301,2771,-,-,-,-
3,Last Close Price,13.75,9.74,9.15,9.82,10.91,11.10,10.23,10.04,9.04,8.81,10.24,10.03,10.73,9.65,10.76,12.38,14.75,-,-,-,-
4,PE Ratio,25.55,18.01,17.92,19.51,23.26,23.33,21.77,24.54,21.31,20.55,23.37,21.63,23.51,20.32,23.77,30.73,37.59,-,-,-,-
5,PS Ratio,3.32,2.37,2.41,2.79,3.33,3.69,3.56,3.85,3.50,3.44,4.08,4.04,4.52,4.26,5.11,6.50,8.26,-,-,-,-
6,PB Ratio,2.09,1.48,1.45,1.56,1.77,1.80,1.67,1.69,1.54,1.53,1.81,1.79,1.95,1.79,2.04,2.39,2.89,-,-,-,-
7,P/TBV Ratio,1.52,1.52,1.49,1.60,1.82,1.85,1.72,1.74,1.59,1.58,1.87,1.85,2.02,1.85,2.12,2.47,3.00,-,-,-,-
8,P/FCF Ratio,31.99,22.72,-,27.97,40.55,69.87,36.57,44.73,61.32,57.32,-57.07,-,-32.73,-,-,-,59.41,-,-,-,-
9,P/OCF Ratio,12.48,12.48,15.05,16.01,20.01,20.93,17.40,18.54,17.24,16.54,30.12,23.11,27.39,-,17.94,21.96,23.36,-,-,-,-
10,EV/Sales Ratio,2.64,1.70,1.62,1.98,2.50,2.79,2.69,2.91,2.55,2.50,2.99,2.96,3.39,3.00,3.65,6.09,7.82,-,-,-,-
11,EV/EBITDA Ratio,13.42,8.65,8.64,10.39,13.06,14.01,14.04,15.48,13.34,13.23,15.03,12.97,14.06,11.10,11.92,20.00,24.98,-,-,-,-
12,EV/EBIT Ratio,19.42,12.06,12.42,15.12,19.21,20.66,21.16,23.92,19.85,19.22,21.18,16.90,18.03,13.83,14.63,24.89,31.32,-,-,-,-
13,EV/FCF Ratio,25.33,16.30,-,19.82,30.50,52.86,27.66,33.78,44.64,41.68,-41.77,-,-24.51,-,-,-,56.25,-,-,-,-
14,Asset Turnover,0.68,0.62,0.50,0.58,0.55,0.51,0.39,0.44,0.47,0.39,0.39,0.45,0.46,0.42,0.34,-,-,-,-,-,
15,Inventory Turnover,2.74,2.94,3.05,2.55,2.94,2.70,2.69,2.18,2.54,2.82,2.22,2.18,2.64,2.73,2.80,2.32,-,-,-,-,-
16,Quick Ratio,6.88,6.88,7.77,7.84,6.78,7.88,8.30,8.17,6.69,8.41,7.80,9.09,7.41,8.79,9.63,11.29,8.20,-,4.09,-,3.25
