,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,504.11,519.93,574.28,556.21,520.08,521.04,474.03,473.72,426.99,416.98,530.64,178.55,310.34,84.29,107.65,633.3,-,133.69,-,133.85
1,Trading Asset Securities,35.63,-,-,-,-,-,-,-,48,48,-,363,218,478,497,20,-,-,-,-
2,Cash & Short-Term Investments,539.74,519.93,574.28,556.21,520.08,521.04,474.03,473.72,474.99,464.98,530.64,541.55,528.34,562.29,604.65,653.3,-,133.69,133.85,133.85
3,Cash Growth,3.78%,-0.21%,21.15%,17.41%,9.49%,12.06%,-10.67%,-12.53%,-10.10%,-17.31%,-12.24%,-17.11%,-,320.59%,351.72%,388.07%,-,-,-,-
4,Accounts Receivable,87.71,84.18,64.11,67.01,78.43,58.68,51.73,49.4,60.79,44.22,39.01,33.23,53.16,31.8,33.79,27.52,-,31.33,-,29.07
5,Other Receivables,7.13,3.6,2.64,3.68,3.65,2.86,3.09,2.41,4.82,3.12,2.86,3.97,4.03,4.03,3.1,3.4,-,2.2,-,3.27
6,Receivables,94.84,87.78,66.76,70.69,82.08,61.54,54.82,51.8,65.61,47.34,41.87,37.2,57.19,35.83,36.89,30.91,-,33.53,-,32.34
7,Inventory,173.99,157.58,153.45,156.59,159.7,148.47,139.69,137.82,127.81,141.37,137.86,138.12,124.38,111.15,102.59,93.54,-,85.65,-,98.37
8,Prepaid Expenses,-,-,-,0.07,-,0.4,-,1.03,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,7.74,6.92,10.87,7.47,9.14,10.61,8.78,7.13,8.52,8.92,8.15,9.5,14.5,7.89,7.95,6.55,-,2.62,-,7.52
10,Total Current Assets,816.32,772.21,805.36,791.04,771,742.06,677.32,671.51,676.94,662.6,718.52,726.38,724.42,717.16,752.08,784.3,-,255.48,-,272.09
11,"Property, Plant & Equipment",415.52,406.85,405.14,408.45,407.29,412.54,413.48,420.85,418.01,402.99,387.51,386.62,351.39,335.68,293.87,274.59,-,258.27,-,238.83
12,Long-Term Investments,-,54.15,-,53.31,-,52.47,-,87.33,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,32.22,32.5,32.77,33.05,33.31,33.54,33.77,33.95,34.01,34.24,34.5,34.75,35,35.25,35.5,35.76,-,36.27,-,36.77
14,Long-Term Deferred Tax Assets,5.35,4.8,4.37,4.15,3.26,3.17,2.71,2.74,2.85,2.34,2.17,2.15,2.32,2.17,2.1,2.05,-,1.55,-,1.38
15,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.87,-,-
16,Other Long-Term Assets,70.67,20.87,67.44,11.04,66.37,2.21,92.57,2.72,54.49,58.75,21.39,9.95,17.87,9.78,7.27,2.84,-,0.35,-,0.42
17,Total Assets,1340,1291,1315,1301,1281,1246,1220,1219,1186,1161,1164,1160,1131,1100,1091,1100,-,556.79,-,549.49
18,Accounts Payable,33.13,25.38,24.84,28.32,30.03,26.62,27.08,36.42,30.23,31.55,32,19.67,29.71,29.15,24.12,28.07,-,22.58,-,25.54
19,Accrued Expenses,14.13,14.44,9.48,18.83,12.69,10.69,8.5,14.07,10.58,9.4,7.2,12.86,9.67,8.23,6.16,9.58,-,4.78,-,8.14
20,Current Income Taxes Payable,11.16,4.74,8.15,7.9,8.49,6.37,4.12,4.16,5.97,3.45,4.55,2.38,5.58,4.24,4.07,3.59,-,2.95,-,3.54
21,Current Unearned Revenue,20.81,14.87,20.74,18.58,23.89,22.98,23.64,21.84,16.26,19.99,18.27,19.89,20.73,18.04,21.96,20.4,-,10.23,-,-
22,Other Current Liabilities,13.05,18.81,18.52,18.83,1.35,3.56,1.41,2.09,1.22,1.27,0.97,23.34,0.95,2.42,0.5,21.82,-,0.35,-,13.84
23,Total Current Liabilities,92.28,78.25,81.73,92.46,76.45,70.22,64.75,78.57,64.26,65.66,62.99,78.14,66.65,62.08,56.81,83.46,-,40.9,-,51.06
24,Long-Term Unearned Revenue,7.06,7.35,7.63,7.92,8.2,8.51,6.85,7.08,6.75,4.2,4.33,4.47,4.61,4.75,4.24,4.36,-,3.39,-,2.46
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.33,0.35,0.37,0.38,-,-,-,-,-,-,-,-,-,-,-,-
