,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters
0,Interest Income on Loans,5410348,4571866,4303248,4570797,4885830,4956722,4537736,3651333,3455008,3122258,3023515,2553166,2686478,2520714,2578233,2546589,2546589,2463257,2463257,2395874,Upgrade
1,Interest Paid on Deposits,2271407,2175368,1937613,2188295,2448152,2746123,2380000,1553404,1254905,1062509,1059505,860624,1059510,1043730,1158483,1124376,1124376,1474276,1474276,1453113,Upgrade
2,Net Interest Income,3138941,2396498,2365635,2382502,2437678,2210599,2157736,2097929,2200103,2059749,1964010,1692542,1626968,1476984,1419750,1422213,1422213,988982,988982,942761,Upgrade
3,Net Interest Income Growth (YoY),28.77%,8.41%,9.64%,13.56%,10.80%,7.32%,9.86%,23.95%,35.23%,39.46%,38.33%,19.01%,14.40%,49.34%,43.56%,50.86%,50.86%,68.11%,68.11%,-,Upgrade
4,Income From Trading Activities,-180,1576,-263,-633,-12420,393,-45,-552,-27,-1385,-64,2294,-60,-137,-66,-4176,-4176,-40.5,-40.5,-2273,Upgrade
5,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,896,896,66,66,12083,Upgrade
6,Gain (Loss) on Sale of Investments,120385,64870,16454,281717,7234,65119,157742,-129817,151353,557702,103884,167376,190660,-337288,328888,106592,106592,173872,173872,52976,Upgrade
7,Other Non-Interest Income,994532,470255,736688,28393,738229,1251454,553289,697475,487131,167998,338185,1056275,492975,2155593,315488,554619,554619,348218,348218,444524,Upgrade
8,Total Non-Interest Income,1114737,536701,752879,309477,733043,1316966,710986,567106,638457,724315,442005,1225945,683575,1818168,644310,657931,657931,522115,522115,507310,Upgrade
9,Non-Interest Income Growth (YoY),52.07%,-59.25%,5.89%,-45.43%,14.81%,81.82%,60.85%,-53.74%,-6.60%,-60.16%,-31.40%,86.33%,3.90%,248.23%,23.40%,29.69%,29.69%,63.56%,63.56%,-,Upgrade
10,Revenues Before Loan Losses,4253678,2933199,3118514,2691979,3170721,3527565,2868722,2665035,2838560,2784064,2406015,2918487,2310543,3295152,2064060,2080144,2080144,1511097,1511097,1450071,Upgrade
11,Provision for Loan Losses,360565,558069,540520,297693,416335,499432,403286,69245,353603,-115053,170712,535733,586976,241207,203950,292461,292461,244161,244161,333162,Upgrade
12,Revenue,3893113,2375130,2577994,2394286,2754386,3028133,2465436,2595790,2484957,2899117,2235303,2382754,1723567,3053945,1860110,1787683,1787683,1266936,1266936,1116909,Upgrade
13,Revenue Growth (YoY),41.34%,-21.56%,4.57%,-7.76%,10.84%,4.45%,10.30%,8.94%,44.18%,-5.07%,20.17%,33.29%,-3.59%,141.05%,46.82%,60.06%,60.06%,62.83%,62.83%,-,Upgrade
14,Salaries and Employee Benefits,1122000,-,574920,1169336,-,-,551240,1075623,-,546337,1025906,932067,-,394831,1070761,589386,589386,454619,454619,356671,Upgrade
15,Occupancy Expenses,251423,-,164327,141898,-,-,142658,113554,-,141326,265308,90578,-,117074,258709,109741,109741,101720,101720,106164,Upgrade
16,Federal Deposit Insurance,29253,-,26275,26463,-,-,18377,16224,-,16743,33336,16679,-,16948,33532,18344,18344,19105,19105,17209,Upgrade
