,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,57.69,25.66,47.88,67.56,28.17,9.63,-,4.04,7.17,9.44,6.92,4.07,5.17,4.01,6.4,0.29,0.69,3.66
1,Other Revenue,-,-0.09,0.09,-,0.15,-0.08,-,-,0.13,-0.07,0.07,-,0.35,-0.09,0.09,-,0.03,0.03
2,Revenue,57.69,25.57,47.97,67.56,28.32,9.55,-,4.04,7.3,9.37,6.99,4.07,5.52,3.93,6.49,0.29,0.72,3.69
3,Revenue Growth (YoY),103.68%,167.73%,-,1572.42%,287.79%,1.92%,-,-0.70%,32.37%,138.65%,7.60%,1306.07%,663.02%,6.33%,-,-,-,-
4,Cost of Revenue,-10.64,-2.89,12.64,0.88,10.45,-2.8,-,0.02,1.94,-1.72,1.73,0.06,2.44,0.26,2.3,0.22,3.06,1.85
5,Gross Profit,68.33,28.46,35.33,66.67,17.87,12.35,-,4.02,5.36,11.09,5.26,4.01,3.07,3.67,4.19,0.07,-2.34,1.84
6,"Selling, General & Admin",-327.37,102.55,129.69,95.13,62.87,123.91,-,76.85,62.36,73.95,62.84,68.46,58.59,42.78,57.6,30.19,30.47,24.24
7,Research & Development,-481.01,158.88,139.97,182.15,341.67,153.68,-,177,223.42,219.63,158.77,156.79,218.62,141.96,133.5,128.43,155.75,175.1
8,Other Operating Expenses,1262,1.23,0.89,0.6,1.78,-0.65,-,-1.32,6.74,-1.12,-3.62,-0.12,7.35,-5.84,-0.57,-0.13,0.38,0.08
9,Operating Expenses,455.95,260.55,270.52,277.9,407.32,275.92,-,251.2,291.5,293.48,217.99,225.13,287.26,176.19,190.53,158.47,186.34,198.63
10,Operating Income,-387.63,-232.1,-235.19,-211.23,-389.45,-263.58,-,-247.19,-286.14,-282.39,-212.74,-221.12,-284.18,-172.52,-186.34,-158.4,-188.68,-196.79
11,Interest Expense,-17.1,-13.41,-13.46,-12.28,-4.6,-3.06,-,-2.81,-2.65,-2.66,-2.51,-2.48,-1.54,-1.57,-1.54,-1.76,-0.45,-0.46
12,Interest & Investment Income,39.15,3.75,4.68,8.66,10.05,12.05,-,12.32,14.08,17.58,10.56,3.53,0.82,1.52,2.58,2.46,4.57,4.37
13,Currency Exchange Gain (Loss),-,-0.13,0.13,-,-0.01,-0.03,-,-,0.16,-0.15,0.15,-,-0.24,0.06,-0.06,-,-0.08,-
14,Other Non Operating Income (Expenses),-3.3,-2.67,2.01,-0.03,-1.65,-1.33,-,-0.88,-1.52,0.98,-1.24,-0.04,2.78,-2.87,2.7,0.01,-3.79,0.9
15,EBT Excluding Unusual Items,-368.87,-244.56,-241.82,-214.87,-385.66,-255.94,-,-238.56,-276.07,-266.64,-205.77,-220.11,-282.37,-175.38,-182.65,-157.68,-188.42,-191.98
16,Gain (Loss) on Sale of Investments,2.51,-0.95,-1.64,0.08,-5.06,0.15,-,-0.29,0.35,0.41,0.38,-0.06,-0.12,-0.21,0.14,-0.05,0.57,-0.98
17,Gain (Loss) on Sale of Assets,-,-,-,-,-0.06,0,-,-,-,0.69,-0.46,0.1,2.06,0,-0,-,-0.27,-
18,Asset Writedown,8.42,-8.42,2.74,-2.74,5.1,-5.1,-,-2.85,0.98,-0.98,0.95,-0.95,0.96,-0.96,-0.02,0.02,0.37,-0.28
19,Legal Settlements,-,0.77,-0.77,-,-,0.21,-,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-18.06,3.38,3.36,11.32,6.43,-,-,-,9.06,-,-,-,23.54,-,-,-,3.51,0.14
21,Pretax Income,-376.01,-249.77,-238.13,-206.21,-379.25,-260.68,-,-241.7,-265.68,-266.53,-204.89,-221.02,-255.91,-176.54,-182.52,-157.72,-184.23,-193.1
22,Income Tax Expense,-5.11,-,1.9,-,2.95,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Earnings From Continuing Operations,-370.9,-249.77,-240.03,-206.21,-382.19,-260.68,-,-241.7,-265.68,-266.53,-204.89,-221.02,-255.91,-176.54,-182.52,-157.72,-184.23,-193.1
