,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,1564,1695,1722,1651,1755,2029,2253,2491,2715,3030,3113,96.54,254.87,151.52,-,305.17,-
1,Short-Term Investments,-,-,42.54,-,35.26,-,57.73,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,20.95,24.39,75.82,14.88,50.82,60.82,50.79,60.12,60.07,60.03,50.06,-,50.12,210.32,-,242.74,-
3,Cash & Short-Term Investments,1585,1585,1762,1798,1701,1806,2147,2304,2551,2775,3090,3163,96.54,304.99,361.84,547.92,547.92,-
4,Cash Growth,-6.80%,-12.22%,-17.94%,-21.94%,-33.32%,-34.93%,-30.50%,-27.17%,2542.47%,809.95%,753.87%,477.24%,-82.38%,-,-,-,-,-
5,Accounts Receivable,-,28.41,47.1,22.75,17.51,6.36,11.09,0.05,0.07,0.07,0.09,0.09,0.14,0.29,0.22,-,0.23,-
6,Other Receivables,-,41.62,41.38,119.99,112.27,38.58,32.54,26.27,82.65,41.22,51.96,41.22,33.01,36.7,30.43,-,51.7,-
7,Receivables,-,70.03,88.48,142.74,129.78,44.94,43.63,26.32,82.73,41.29,52.05,41.32,33.15,36.99,30.65,-,51.92,-
8,Inventory,-,208.97,173.24,155.67,159.3,152.85,133.39,100.95,79.05,57.32,49.99,49.58,40.11,39.55,38.97,-,34.79,-
9,Other Current Assets,-,152.84,74.83,120.54,57.48,145.88,75.74,141.65,65.12,61.64,51.68,84.36,74.93,56.8,43.82,-,32.55,-
10,Total Current Assets,-,2017,2099,2217,2048,2150,2400,2573,2778,2936,3243,3338,244.74,438.33,475.28,-,667.18,-
11,"Property, Plant & Equipment",-,1954,1967,1944,1935,1807,1779,1535,1263,1108,940.1,863,811.64,694.54,692.77,-,517.34,-
12,Long-Term Investments,-,44.63,40.65,43.42,41.95,20.36,20.58,19.4,20.2,20.57,19.54,18.75,18.95,-,-,-,-,-
13,Goodwill,-,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,118.77,-,118.77,-
14,Other Intangible Assets,-,142.42,130.32,134.59,139.72,148.05,153.16,156.34,161.31,166.09,169.89,174.97,179.4,183.09,183.13,-,191.5,-
15,Long-Term Deferred Charges,-,4.51,5.09,0.43,0.98,2.2,3.51,4.82,6.13,7.77,9.45,11.06,12.71,14.37,16.08,-,19.49,-
16,Other Long-Term Assets,-,216.11,200.73,183.62,170.98,204.15,175.71,246.61,271.93,317.63,247.54,286.4,209.07,179.64,125.24,-,124.61,-
17,Total Assets,-,4498,4561,4642,4455,4451,4651,4654,4619,4674,4749,4811,1595,1629,1611,-,1639,-
18,Accounts Payable,-,88.13,54.5,44.48,62.32,52.46,55.24,44,45.21,22.14,28.99,23.98,39.69,20.5,15.02,-,22.56,-
19,Accrued Expenses,-,56.22,97.08,39.83,138.12,67.09,67.15,32.01,82.25,44.04,40.07,18.82,57.53,24.49,27.25,-,26.07,-
