,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,6913,8072,11041,11564,13994,13063,9858,8603,7712,5774,5395,6785,7964,-,-,-,-,-,-
1,Market Cap Growth,-38.21%,-38.21%,12.00%,34.42%,81.45%,126.23%,82.74%,26.80%,-3.16%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7498,8656,11300,11653,13328,12397,8805,7263,5556,3618,2803,4060,7903,-,-,-,-,-,-
3,Last Close Price,17.30,20.20,27.63,28.94,35.02,32.69,24.67,21.53,19.30,14.45,13.50,16.98,19.93,-,-,-,-,-,-
4,PS Ratio,34.78,40.61,65.17,75.39,132.73,311.66,471.83,-,278.43,208.24,207.95,331.01,398.10,-,-,-,-,-,-
5,PB Ratio,3.61,4.24,5.80,5.36,5.84,5.08,3.38,2.73,2.34,1.64,1.44,1.71,1.92,-,-,-,-,-,-
6,P/TBV Ratio,4.87,4.87,6.67,6.03,6.50,5.62,3.71,2.98,2.54,1.78,1.56,1.84,2.07,-,-,-,-,-,-
7,EV/Sales Ratio,37.72,43.55,66.70,75.96,126.42,295.78,421.44,-,200.57,130.47,108.06,198.08,395.04,-,-,-,-,-,-
8,Debt / Equity Ratio,1.15,1.15,1.15,0.94,0.79,0.50,0.39,0.35,0.29,0.22,0.17,0.13,0.11,0.33,0.20,0.18,0.03,0.03,-
9,Asset Turnover,-,0.02,0.04,0.06,0.03,0.01,-,0.00,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,
10,Inventory Turnover,-,-,-,0.31,0.02,0.27,-,-,0.00,0.11,-,0.14,0.01,0.25,0.03,-,-,-,-
11,Quick Ratio,-,-,1.15,1.57,1.85,2.24,3.62,4.38,4.66,5.92,7.48,9.16,10.99,0.48,1.89,2.24,-,3.60,-
12,Current Ratio,-,-,1.40,1.78,2.11,2.51,4.20,4.80,5.15,6.24,7.80,9.45,11.45,0.91,2.43,2.71,-,4.00,-
13,Return on Equity (ROE),-77.88%,-49.20%,-42.19%,-33.20%,-55.72%,-34.37%,-,-28.39%,-29.28%,-27.60%,-20.17%,-34.30%,-91.94%,-57.65%,-54.04%,-42.90%,-,-,
14,Return on Assets (ROA),-,-12.81%,-12.78%,-11.61%,-21.87%,-14.48%,-,-13.33%,-15.39%,-14.98%,-11.13%,-17.26%,-44.07%,-26.62%,-,-,-,-,
15,Return on Capital (ROIC),-23.71%,-14.02%,-13.86%,-12.94%,-24.56%,-15.84%,-,-14.45%,-16.53%,-15.95%,-11.73%,-18.64%,-50.63%,-29.62%,-31.37%,-26.04%,-,-,
16,Earnings Yield,-15.43%,-13.22%,-9.73%,-9.38%,-6.04%,-6.74%,-7.75%,-,-12.65%,-16.54%,-17.56%,-12.58%,-10.45%,-,-,-,-,-,-
17,FCF Yield,-,-10.44%,-10.46%,-7.21%,-7.22%,-10.51%,-,-16.47%,-21.89%,-21.28%,-13.74%,-10.77%,-,-,-,-,-,-,
18,Buyback Yield / Dilution,-0.14%,-2.00%,1.10%,-,-0.35%,-7.83%,0.68%,-,-0.30%,-21.70%,-35.38%,-31.00%,-34.95%,1.08%,1.10%,-,-,-,-
19,Total Shareholder Return,-0.14%,-2.00%,1.10%,-,-0.35%,-7.83%,0.68%,-,-0.30%,-21.70%,-35.38%,-31.00%,-34.95%,1.08%,1.10%,-,-,-,-
