,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Revenue,982876,454143,760871,463173,188472,251649,326060,184952,259255,337666,283121,182161
1,Revenue Growth (YoY),421.50%,80.47%,133.35%,150.43%,-27.30%,-25.47%,15.17%,1.53%,-,-,-,-
2,Cost of Revenue,855023,362346,664780,398134,155003,192772,262099,140623,213900,259560,241363,153126
3,Gross Profit,127853,91797,96092,65040,33469,58876,63960,44329,45354,78106,41759,29035
4,"Selling, General & Admin",73329,50136,40113,24115,26533,28363,14488,21629,13013,24076,20721,13924
5,Other Operating Expenses,-,-,-,-,1838,-,-,-,3233,-,-,-
6,Operating Expenses,73329,50136,40113,24115,28370,28363,14488,21629,16246,24076,20721,13924
7,Operating Income,54524,41661,55979,40925,5098,30513,49472,22701,29109,54030,21038,15111
8,Interest Expense,-24315,-19775,-23066,-14118,-13241,-10110,-11800,-5114,-7245,-5156,-6375,-9192
9,Interest & Investment Income,9670,12499,10854,5144,233.88,1464,-,1.05,0.83,1999,-,-
10,Earnings From Equity Investments,-,-,-,-,336.64,-,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),-,-,-,-,819.91,-,324.33,435.53,898.36,-,-706.91,-888.16
12,Other Non Operating Income (Expenses),4877,-5559,-22999,-17824,4659,-984.24,3292,-1196,3643,-3166,1800,-1764
13,EBT Excluding Unusual Items,44756,28827,20768,14126,-2093,20882,41288,16828,26406,47708,15757,3266
14,Gain (Loss) on Sale of Investments,-,-,-,-,1742,-,-3454,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-,-,-,5602,-,-,11645,-,-,-,615.66
16,Pretax Income,44756,28827,20768,14126,5250,20882,37834,28472,26406,47708,15757,3882
17,Income Tax Expense,6536,3429,4376,1772,3413,2269,4870,4137,4517,6299,2643,-475.23
18,Earnings From Continuing Operations,38219,25398,16391,12354,1838,18613,32964,24335,21889,41409,13114,4357
19,Minority Interest in Earnings,-9926,-,-3821,-,-36611,-,-,-,-47.58,-,-,-
20,Net Income,28294,25398,12571,12354,-34773,18613,32964,24335,21841,41409,13114,4357
21,Net Income to Common,28294,25398,12571,12354,-34773,18613,32964,24335,21841,41409,13114,4357
22,Net Income Growth,-,36.45%,-61.87%,-49.23%,-,-55.05%,151.37%,458.49%,-,-,-,-
23,Shares Outstanding (Basic),102,98,-,-,16,16,16,16,16,-,16,-
24,Shares Outstanding (Diluted),102,98,-,-,16,16,16,16,16,-,16,-
25,Shares Change (YoY),536.96%,511.96%,-,-,-,-,-,-,-,-,-,-
26,EPS (Basic),277.67,259.43,-,-,-2173.66,1163.51,2060.55,1521.15,1365.26,-,819.74,-
27,EPS (Diluted),277.67,259.43,-,-,-2173.66,1163.51,2060.55,1521.15,1364.94,-,819.74,-
28,EPS Growth,-,-77.70%,-,-,-,-,151.37%,-,-,-,-,-
29,Free Cash Flow,431379,-,87455,-,-525404,468188,-338500,153667,-347291,349940,-72275,69405
30,Free Cash Flow Per Share,4233.40,-,-,-,-32842.51,29265.95,-21159.28,9605.56,-21708.81,-,-4517.81,-
31,Gross Margin,13.01%,20.21%,12.63%,14.04%,17.76%,23.40%,19.62%,23.97%,17.49%,23.13%,14.75%,15.94%
32,Operating Margin,5.55%,9.17%,7.36%,8.84%,2.70%,12.13%,15.17%,12.27%,11.23%,16.00%,7.43%,8.30%
33,Profit Margin,2.88%,5.59%,1.65%,2.67%,-18.45%,7.40%,10.11%,13.16%,8.42%,12.26%,4.63%,2.39%
34,Free Cash Flow Margin,43.89%,-,11.49%,-,-278.77%,186.05%,-103.82%,83.08%,-133.96%,103.63%,-25.53%,38.10%
35,EBITDA,76607,-,-,-,11690,40561,55574,28857,30736,62415,26979,22253
36,EBITDA Margin,7.79%,-,-,-,6.20%,16.12%,17.04%,15.60%,11.86%,18.48%,9.53%,12.22%
37,D&A For EBITDA,22083,-,-,-,6592,10048,6102,6156,1627,8385,5941,7143
38,EBIT,54524,41661,55979,40925,5098,30513,49472,22701,29109,54030,21038,15111
39,EBIT Margin,5.55%,9.17%,7.36%,8.84%,2.70%,12.13%,15.17%,12.27%,11.23%,16.00%,7.43%,8.30%
40,Effective Tax Rate,14.60%,11.89%,21.07%,12.55%,65.00%,10.86%,12.87%,14.53%,17.11%,13.20%,16.77%,-
41,Revenue as Reported,982876,454143,760871,463173,188472,251649,326060,184952,259255,337666,283121,182161
