,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,166152,4955,32030,-,39680,29896,15429,9996,3609,-,-,-
1,Short-Term Investments,96255,21321,45837,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,262407,26275,77867,-,39680,29896,15429,9996,3609,-,-,8221
3,Cash Growth,561.32%,-12.11%,404.67%,-,999.34%,-,-,21.59%,-,-,-,-
4,Accounts Receivable,708132,320090,442815,-,66090,187513,56007,65439,72995,-,-,-
5,Other Receivables,29782,38745,24037,-,27800,22660,27809,18344,17241,-,-,-
6,Receivables,737914,358835,466852,-,93890,210173,83816,83783,90236,-,-,-
7,Inventory,1616489,1392171,1333203,-,580797,500105,524042,491693,420979,-,-,-
8,Prepaid Expenses,1884,9175,1866,-,327.46,562.71,605.42,843.51,1058,-,-,-
9,Other Current Assets,197194,391911,224614,-,243369,121897,196997,138750,85502,-,-,-
10,Total Current Assets,2815889,2178369,2104402,-,958063,862634,820890,725065,601384,-,-,-
11,"Property, Plant & Equipment",940685,740013,793032,-,384478,324072,346308,287054,264855,-,-,-
12,Long-Term Investments,61333,85000,457686,-,57067,54989,12270,5000,-,-,-,-
13,Other Intangible Assets,44671,39531,45877,-,490.26,1595,1680,1876,1962,-,-,-
14,Long-Term Deferred Tax Assets,2140,-,646.25,-,883.27,1688,1688,792.28,1902,-,-,-
15,Other Long-Term Assets,18996,18197,24118,-,22814,15783,14640,5714,6200,-,-,-
16,Total Assets,3883714,3061109,3425762,-,1423796,1260762,1197477,1025502,876303,-,-,-
17,Accounts Payable,178535,253445,212719,-,339600,253125,298224,294993,286570,-,-,-
18,Accrued Expenses,51817,40022,35825,-,22500,24082,26790,20609,20940,-,-,-
19,Short-Term Debt,941156,1251088,1194761,-,623559,571280,491630,485293,379958,-,-,-
20,Current Portion of Long-Term Debt,2331,-,3485,-,15753,10416,17795,7932,19586,-,-,-
21,Current Portion of Leases,-,-,-,-,7509,-,7258,-,-,-,-,-
22,Current Income Taxes Payable,17609,12080,16230,-,13848,16509,16632,18717,14581,-,-,-
23,Other Current Liabilities,117557,43023,112205,-,13852,38184,10831,22242,7946,-,-,-
24,Total Current Liabilities,1309006,1599658,1575225,-,1036622,913597,869161,849787,729580,-,-,-
25,Long-Term Debt,879497,359636,355914,-,14728,7307,12123,12510,7851,-,-,-
26,Long-Term Leases,-,-,-,-,27529,36042,31027,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,35.3,-,3.15,3.15,-,-,-
28,Other Long-Term Liabilities,450,-,450,-,450,450,450,450,450,-,-,-
29,Total Liabilities,2188952,1959294,1931589,-,1079328,957432,912760,862749,737885,-,-,-
30,Common Stock,1018990,979000,1018990,-,132212,132212,132212,132212,132212,-,-,-
31,Additional Paid-In Capital,-,-,-,-,5106,6800,6800,-,-,-,-,-
32,Retained Earnings,-57045,111048,116292,-,27895,54089,35475,28439,4104,-,-,-
33,Comprehensive Income & Other,241575,-228.22,-,-,-,-,-,-,-,-,-,-
34,Total Common Equity,1203520,1089820,1135282,-,165213,193101,174487,160651,136316,-,-,59679
35,Minority Interest,491242,11995,358891,-,179255,110230,110230,2102,2102,-,-,-
36,Shareholders' Equity,1694762,1101815,1494173,-,344468,303331,284717,162753,138418,-,-,59729
37,Total Liabilities & Equity,3883714,3061109,3425762,-,1423796,1260762,1197477,1025502,876303,-,-,-
38,Total Debt,1822984,1610724,1554160,-,689077,625046,559832,505735,407395,-,-,412720
39,Net Cash (Debt),-1560577,-1584449,-1476293,-,-649398,-595150,-544403,-495739,-403785,-,-,-404499
40,Net Cash Per Share,-15314.94,-16184.36,-,-,-40593.20,-37202.26,-34030.10,-30988.14,-25240.23,-,-,-
41,Filing Date Shares Outstanding,101.9,97.9,-,-,16,16,16,16,16,-,16,-
42,Total Common Shares Outstanding,101.9,97.9,-,-,16,16,16,16,16,-,16,-
43,Working Capital,1506883,578711,529178,-,-78558,-50963,-48270,-124721,-128196,-,-,-
44,Book Value Per Share,11810.91,11131.97,-,-,10327.32,12070.54,10907.03,10042.15,8521.00,-,-,3730.49
45,Tangible Book Value,1158848,1050289,1089405,-,164723,191506,172807,158775,134355,-,-,57462
46,Tangible Book Value Per Share,11372.52,10728.18,-,-,10296.67,11970.83,10801.99,9924.86,8398.38,-,-,3591.91
47,Buildings,334880,-,319448,-,120061,117239,117239,114235,104541,-,-,-
48,Machinery,482296,-,491612,-,284553,252464,265445,264172,248143,-,-,-
49,Construction In Progress,461957,313181,352965,-,179384,145518,146719,131252,129654,-,-,-
