,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Market Capitalization,819268,770473,792990,888559,1034275,185759,308055,310038,-,-,-,-,-
1,Market Cap Growth,150.11%,314.77%,157.42%,186.60%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2871087,2366917,1621642,1717212,1862927,891139,962688,807879,-,-,-,-,-
3,Last Close Price,8040.00,7870.00,8100.00,8720.00,10150.00,8366.40,13874.52,13963.85,12624.03,9051.19,3811.03,2911.86,2679.63
4,PE Ratio,11.31,9.80,51.00,101.38,35.47,-,3.15,2.57,-,-,-,-,-
5,PS Ratio,0.27,0.29,0.42,0.53,0.84,0.20,0.30,0.28,-,-,-,-,-
6,PB Ratio,0.68,0.45,0.72,0.59,-,0.54,1.02,1.09,-,-,-,-,-
7,P/TBV Ratio,0.66,0.66,0.76,0.82,-,1.13,1.61,1.79,-,-,-,-,-
8,P/FCF Ratio,1.03,1.49,-,29.39,-,-,-4.82,-,-,-,-,-,-
9,P/OCF Ratio,0.96,1.47,-,17.97,-,-,-8.79,-,-,-,-,-,-
10,EV/Sales Ratio,0.96,0.89,0.87,1.03,1.52,0.94,0.94,0.73,-,-,-,-,-
11,EV/EBITDA Ratio,9.72,30.90,-,-,-,6.52,6.18,4.55,-,-,-,-,-
12,EV/EBIT Ratio,13.87,12.26,11.29,12.96,14.78,8.27,7.30,5.20,-,-,-,-,-
13,EV/FCF Ratio,3.61,4.56,-,56.79,-,-,-15.06,-,-,-,-,-,-
14,Debt / Equity Ratio,1.08,1.08,1.46,1.04,-,2.00,2.06,1.97,3.11,2.94,-,-,6.91
15,Debt / EBITDA Ratio,6.24,5.95,-,-,-,14.74,3.85,2.52,4.38,3.31,-,-,4.64
16,Debt / FCF Ratio,2.29,3.51,-,51.40,-,-,-9.78,-,6.02,-,-,-,5.95
17,Asset Turnover,1.13,-,-,-,0.56,0.82,1.17,-,-,-,-,-,
18,Inventory Turnover,1.74,2.27,-,-,-,1.15,1.51,2.06,-,-,-,-,-
19,Quick Ratio,0.76,0.76,0.24,0.35,-,0.13,0.26,0.11,0.11,0.13,-,-,-
20,Current Ratio,2.15,2.15,1.36,1.34,-,0.92,0.94,0.94,0.85,0.82,-,-,-
21,Return on Equity (ROE),10.93%,-,-,-,2.27%,25.32%,58.93%,-,-,-,-,-,
22,Return on Assets (ROA),3.93%,-,-,-,0.95%,6.21%,11.13%,-,-,-,-,-,
23,Return on Capital (ROIC),4.38%,-,-,-,1.30%,8.61%,16.35%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),7.92%,7.50%,9.83%,7.16%,-,27.84%,37.96%,47.31%,72.21%,81.30%,-,-,-
25,Earnings Yield,8.84%,10.20%,1.96%,0.99%,2.82%,22.15%,31.73%,38.88%,-,-,-,-,-
26,FCF Yield,97.06%,67.34%,-,3.40%,-,-130.30%,-20.75%,-58.76%,-,-,-,-,-
27,Buyback Yield / Dilution,-536.96%,-536.96%,-511.96%,-,-,-,-,-,-,-,-,-,-
28,Total Shareholder Return,-536.96%,-536.96%,-511.96%,-,-,-,-,-,-,-,-,-,-
