,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,684.64,513.4,942.85,344.58,899.96,246.09,438.61,291.16,1127,420.63,572.5,74.59,1228,429.07,371.24,172.22,595.98,301.23,137.87,150.8
1,Other Revenue,-,-55.86,55.86,-,81.58,-53.79,53.79,-,119.95,-39.7,39.7,-,8.92,-3.72,3.72,-,5.6,-2.31,1.87,1.15
2,Revenue,684.64,457.54,998.7,344.58,981.54,192.3,492.4,291.16,1247,380.92,612.2,74.59,1237,425.35,374.96,172.22,601.57,298.93,139.74,151.96
3,Revenue Growth (YoY),-30.25%,137.92%,102.82%,18.35%,-21.30%,-49.52%,-19.57%,290.36%,0.82%,-10.45%,63.27%,-56.69%,105.64%,42.29%,168.33%,13.33%,-,-,-,-
4,Cost of Revenue,1183,227.28,863.77,298.34,892.24,110.92,414.07,237.94,1172,302.69,504.34,65.28,950.89,299.58,257.75,105.9,356.25,184.1,95.25,106.68
5,Gross Profit,-498.5,230.26,134.93,46.24,89.3,81.38,78.33,53.22,75.49,78.23,107.86,9.31,286.21,125.77,117.21,66.32,245.32,114.82,44.48,45.27
6,"Selling, General & Admin",-206.81,76.27,60.49,70.06,92.4,74.33,36.51,59.93,95.88,48.78,32.5,23.12,52.27,30.11,18.86,19.06,32.18,23.05,14.75,13.92
7,Research & Development,-116.34,35.46,40.67,40.21,36.59,36.63,43.34,51.27,96.76,44.62,32.97,32.33,54.48,27.36,28.54,23.52,46.14,22.82,18.33,19.16
8,Other Operating Expenses,9.01,-12.72,16.18,-12.47,-11.27,-2.07,-7.94,-5.65,32.07,1.57,-0.99,-14.48,9.54,1.07,3.76,-0.33,10.99,-2.12,1.95,1.61
9,Operating Expenses,-296.88,84.71,138.31,73.87,145.55,108.73,73.2,12.27,312.34,100.35,78.18,27.6,146.71,72.84,56.46,38.22,101.2,47.81,33.83,32.64
10,Operating Income,-201.62,145.55,-3.37,-27.63,-56.25,-27.35,5.13,40.95,-236.85,-22.12,29.68,-18.29,139.5,52.94,60.75,28.1,144.13,67.01,10.65,12.64
11,Interest Expense,-25.73,-13.75,-1.33,-0.75,-0.36,-0.66,-0.13,-2.77,-10.77,-0.73,-0.27,-1.85,-2.75,-2.25,-2.39,-0.68,-0.57,-,-0.11,-0.46
12,Interest & Investment Income,15.83,16.64,7.04,2.04,1.92,3.4,2.22,4.49,-,12.63,18.13,11.13,5.96,1.68,0.42,0.6,2.35,1.12,1.96,3.61
13,Currency Exchange Gain (Loss),-,3.55,-3.55,-,3.65,-9.93,9.93,-,7.05,-0.73,0.73,-,9.4,-2.33,2.33,-,-0.47,1.25,-1.08,-0.62
14,Other Non Operating Income (Expenses),8.2,-7.81,-1.02,-0.41,-10.61,8.81,-4.6,2.76,-15.71,16.82,-2.11,-1.08,-2.02,1.17,0.66,-,-5.28,5.05,-0.13,-0.07
15,EBT Excluding Unusual Items,-203.32,144.18,-2.23,-26.75,-61.64,-25.73,12.54,45.43,-256.28,5.87,46.16,-10.1,150.09,51.21,61.77,28.03,140.16,74.43,11.3,15.1
16,Gain (Loss) on Sale of Investments,-16.95,6.57,5.58,4.8,7.25,10.36,6.27,5.62,26.05,-1.47,-4.87,7.32,0.9,0.02,0.24,0.16,-0.16,-0.24,0.85,0.76
17,Gain (Loss) on Sale of Assets,0.77,-0,0,-0.76,0.16,0,-0,0,-0,-0,0.09,-0.09,-0.21,0.28,-0.28,-,-,-,-,-
18,Asset Writedown,158.02,-156.58,29.48,-30.92,75.49,-75.72,16.72,-18.13,18.94,-17.97,1.81,-3.04,9.61,-12.46,-1.18,0.94,4.84,-6.73,0.6,0.34
