,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,639.37,622.79,528.74,476.09,318.8,280.02,555.86,461.26,793.54,1103,911.72,1498,76.62,99.43,-,69.01,-,-,-
1,Trading Asset Securities,-,1183,1037,1097,1218,1355,1367,1019,1249,1394,1031,1424,996.79,3.29,13.38,-,162.13,-,-,-
2,Cash & Short-Term Investments,1822,1822,1660,1626,1694,1674,1647,1575,1710,2188,2135,2336,2495,79.92,112.82,231.15,231.15,-,-,121.25
3,Cash Growth,7.55%,8.83%,0.82%,3.22%,-0.93%,-23.48%,-22.85%,-32.56%,-31.45%,2637.50%,1792.10%,910.54%,979.23%,-,-,90.63%,-,-,-,-
4,Accounts Receivable,-,572.51,825.97,606.88,720.43,655.8,685.88,600.23,992.96,774.36,792.95,662.92,880.1,467.05,356.68,-,398.85,-,-,-
5,Other Receivables,-,29.36,-2.39,19.05,0.37,26.72,0.31,12.95,1.44,9.5,11.62,7.77,1.1,9.24,6.67,-,3.21,-,-,-
6,Receivables,-,601.87,823.58,625.93,720.79,684.82,688.43,613.42,994.4,784,804.71,670.79,881.89,476.28,364.05,-,402.66,-,-,-
7,Inventory,-,1924,1851,2070,2131,2451,1824,1602,1500,2236,1986,2082,1978,2377,1979,-,1258,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.59,-,-,-,-,-
9,Other Current Assets,-,209.59,212.11,225.78,227.44,232.31,262.73,174.48,106.19,152.64,156.62,174.01,128.31,159.79,45.35,-,35.59,-,-,-
10,Total Current Assets,-,4558,4547,4548,4773,5042,4422,3965,4311,5360,5082,5263,5482,3093,2505,-,1927,-,-,-
11,"Property, Plant & Equipment",-,1270,1239,1284,1217,1123,1002,859.38,722.83,504.17,429.07,376.79,328.06,307.02,281,-,246.7,-,-,-
12,Long-Term Investments,-,166.1,166.1,166.1,166.1,98,98,98,20,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,160.49,161.94,162.13,163.74,164.3,164.81,164.19,150.1,132.92,130.92,130.45,41.95,41.92,41.55,-,41.04,-,-,-
14,Long-Term Accounts Receivable,-,-,144.44,-,-,5.77,112.98,-,-,-,105.82,-,104.08,-,55.31,-,50.81,-,-,-
15,Long-Term Deferred Tax Assets,-,161.19,153.56,152.66,139.96,144.21,132.92,121.83,119.53,83.86,77.58,71.4,74.15,59.71,50.71,-,43.97,-,-,-
16,Long-Term Deferred Charges,-,8.45,4.85,5.33,6.08,6.84,5.32,3.36,3.33,21.38,2.9,3.12,3.08,3.39,2.58,-,3.06,-,-,-
17,Other Long-Term Assets,-,321.2,178.59,236.14,232.3,182.41,97.65,193.8,227.06,173.52,99.12,184.31,100.05,115.78,45.1,-,14.9,-,-,-
18,Total Assets,-,6645,6595,6555,6698,6766,6040,5412,5553,6281,5932,6033,6137,3621,2983,-,2329,-,-,-
19,Accounts Payable,-,1033,1131,881.83,1077,981.63,617.13,457.61,623.4,649.25,549.74,468.47,726.84,843.59,584.03,-,455.46,-,-,-
20,Accrued Expenses,-,43.85,105.63,41.8,117.7,22.93,128.55,36.81,163.51,19.95,69.8,24.06,110.23,11.49,67.65,-,97.83,-,-,-
21,Short-Term Debt,-,-,20.02,20.02,20.02,20,-,-,124.69,119.68,161.95,165.16,165.65,270.97,227.65,-,45.75,-,-,-
22,Current Portion of Leases,-,-,7.12,11.73,6.59,7.12,6.16,5.51,3.67,4.17,3.09,2.26,2.12,1.87,0.75,-,-,-,-,-
23,Current Income Taxes Payable,-,13.65,5.97,15.03,12.33,45.43,20.6,29.92,4.74,19.7,8.41,76.13,75.22,41.72,22.39,-,57.28,-,-,-
24,Current Unearned Revenue,-,1180,1206,1304,1367,1517,1232,787.73,739.8,1173,1068,1106,1042,1147,1015,-,738.53,-,-,-
25,Other Current Liabilities,-,545,281.07,476.73,236.67,391.23,176.59,283.65,110.86,329.64,101.73,240.78,55.95,188.23,47.59,-,62.57,-,-,-
26,Total Current Liabilities,-,2815,2757,2751,2837,2985,2181,1601,1771,2315,1962,2083,2178,2505,1965,-,1457,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,100,50,-,-,-,-,-
28,Long-Term Leases,-,12.15,11.27,12.51,13.98,15.45,16.98,10.11,5.87,4.32,5.83,5.91,6.42,6.57,1.28,-,-,-,-,-
29,Long-Term Unearned Revenue,-,123.77,125.28,126.29,123.61,128.23,130.39,132.1,126.51,111.53,112.44,72.39,74.24,59.31,59.49,-,58.72,-,-,-
30,Other Long-Term Liabilities,-,80.14,80.28,69.76,72.57,81.93,84.8,77.32,81.18,30.64,27.74,21.19,25.69,14.69,14.46,-,17.81,-,-,-
31,Total Liabilities,-,3031,2974,2959,3047,3211,2413,1821,1984,2462,2108,2182,2284,2686,2091,-,1534,-,-,-
32,Common Stock,-,131.61,131.61,131.61,131.61,131.61,131.61,131.61,131.61,131.61,131.61,131.61,131.61,98.61,98.61,-,98.61,-,-,-
33,Additional Paid-In Capital,-,3281,3289,3284,3279,3141,3135,3128,3137,3249,3240,3231,3222,494.14,481.54,-,456.32,-,-,-
34,Retained Earnings,-,300.11,316.53,280.32,322.09,282.26,361.01,332.9,301.23,438.7,451.85,488.23,498.92,342.19,312.35,-,239.71,-,-,-
35,Treasury Stock,-,-165.62,-179.79,-163.45,-144.42,-3.24,-3.24,-3.24,-2.88,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,66.05,63.86,63.32,62.95,3.53,2.86,1.94,2.39,-0.01,0,-,-,-,-,-,-,-,-,-
37,Total Common Equity,3613,3613,3621,3595,3651,3555,3627,3591,3569,3820,3824,3851,3853,934.94,892.49,794.64,794.64,-,-,331.03
38,Minority Interest,-,-0,-0,-0,-0,-0,-0,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,3613,3613,3621,3595,3651,3555,3627,3591,3569,3820,3824,3851,3853,934.94,892.49,794.64,794.64,-,-,331.03
40,Total Liabilities & Equity,-,6645,6595,6555,6698,6766,6040,5412,5553,6281,5932,6033,6137,3621,2983,-,2329,-,-,-
41,Total Debt,12.15,12.15,38.4,44.26,40.59,42.57,23.14,15.62,134.23,128.17,170.87,173.33,174.19,379.42,279.67,45.75,45.75,-,-,10
42,Net Cash (Debt),1810,1810,1622,1582,1653,1632,1624,1560,1576,2060,1964,2162,2320,-299.5,-166.85,185.4,185.4,-,-,111.25
43,Net Cash Growth,9.46%,10.93%,-0.11%,1.42%,4.93%,-20.78%,-17.31%,-27.87%,-32.09%,-,-,1066.41%,1151.58%,-,-,66.65%,-,-,-,-
44,Net Cash Per Share,16.56,10.65,16.25,12.50,11.66,13.03,13.26,11.82,12.52,15.14,14.86,16.18,19.21,-3.02,-1.72,1.87,1.88,-,-,1.11
45,Filing Date Shares Outstanding,109.32,127.25,127.08,127.64,127.64,128.37,128.37,128.37,128.73,131.61,131.61,131.61,131.61,131.61,98.61,99.28,98.61,-,104.3,100.04
46,Total Common Shares Outstanding,127.25,127.25,127.08,127.64,128.24,128.37,128.37,128.37,128.73,131.61,131.61,131.61,131.61,98.61,98.61,99.28,98.61,-,104.3,100.04
47,Working Capital,-,1742,1790,1798,1936,2056,2242,2364,2540,3045,3119,3180,3304,587.69,539.99,-,469.99,-,-,-
48,Book Value Per Share,28.39,28.39,28.50,28.17,28.47,27.69,28.25,27.98,27.73,29.02,29.05,29.26,29.27,9.48,9.05,8.06,8.06,-,-,-
49,Tangible Book Value,3453,3453,3459,3433,3487,3391,3462,3427,3419,3687,3693,3721,3811,893.02,850.95,753.6,753.6,-,-,302.56
50,Tangible Book Value Per Share,27.13,27.13,27.22,26.90,27.19,26.41,26.97,26.70,26.56,28.01,28.06,28.27,28.96,9.06,8.63,7.64,7.64,-,-,-
51,Buildings,-,-,604.02,-,670.91,-,273.3,-,266.93,-,244.36,-,238.62,-,204.63,-,164.2,-,-,-
52,Machinery,-,-,166.1,-,155.77,-,145.65,-,120.84,-,103.54,-,93,-,73.64,-,44.11,-,-,-
53,Construction In Progress,-,-,561.47,-,456.84,-,629.56,-,380.83,-,113.2,-,17.35,-,18.46,-,48.23,-,-,-
54,Order Backlog,-,-,-,3078,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
