,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3914,3722,3947,3236,3969,4707,4805,5798,5517,5476,4652,5360,6120,9871,-,-,-,-,-,-,-
1,Market Cap Growth,-20.93%,-20.93%,-17.85%,-44.20%,-28.06%,-14.04%,3.28%,8.17%,-9.85%,-44.52%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2104,1912,2325,1654,2338,3076,3181,4239,3457,3417,2689,3198,6419,10170,-,-,-,-,-,-,-
3,Last Close Price,30.76,29.25,31.06,25.27,30.82,36.55,37.31,45.02,41.78,41.47,35.23,40.60,45.65,73.63,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-94.08,-,225.74,-,-63.83,-72.25,-,-,24.54,-,38.08,-,-,-,-,-,-,-
5,PS Ratio,1.56,1.50,1.42,1.29,1.97,2.40,2.16,2.40,2.18,2.37,2.02,2.28,2.90,4.47,-,-,-,-,-,-,-
6,PB Ratio,1.08,1.03,1.09,0.89,1.10,1.29,1.35,1.60,1.54,1.53,1.22,1.40,1.59,2.56,-,-,-,-,-,-,-
7,P/TBV Ratio,1.08,1.08,1.14,0.94,1.16,1.35,1.42,1.67,1.61,1.60,1.26,1.45,1.64,2.59,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,25.74,-67.27,-,-,-,-52.43,-18.06,-,-11.99,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,8.60,8.70,8.10,7.56,11.68,13.41,23.24,-,798.83,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.85,0.77,0.84,0.66,1.16,1.57,1.43,1.76,1.37,1.48,1.17,1.36,3.04,4.60,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,22.84,-22.56,-,-,-,-23.04,-21.39,-,-,14.34,-,34.54,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,39.89,-,-,-,-,-19.91,-18.36,-,-,15.69,-,36.16,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,15.16,-34.38,-,-,-,-38.33,-11.32,-,-6.93,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.04,0.03,0.04,0.05,0.05,0.41,0.31,0.06,0.06,-,-,0.03
15,Debt / EBITDA Ratio,-,-,0.02,0.65,-,-,-,0.33,0.08,-,-,1.15,-,0.30,1.73,1.07,0.38,0.08,-,-,0.18
16,Debt / FCF Ratio,-,-,0.08,-0.80,-,-,-,-0.21,-0.05,-,-0.33,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.28,0.61,0.21,0.58,0.12,0.34,0.21,0.84,0.25,0.41,0.05,1.01,0.52,-,-,-,-,-,-,
