,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,296,296,387,455,721,767,619,459,380,228,269
1,Market Cap Growth,-35.00%,-35.00%,-46.32%,-40.59%,16.56%,66.94%,63.00%,101.67%,40.85%,-50.00%,-55.90%
2,Enterprise Value,-52,-47,63,-3,358,671,412,364,318,202,244
3,Last Close Price,0.78,0.78,0.99,1.16,1.62,1.73,1.17,0.87,0.66,0.39,0.47
4,PE Ratio,14.18,14.11,16.00,-6.77,-,1.39,1.65,2.11,2.63,-8.55,-
5,Forward PE,-,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97
6,PS Ratio,0.48,0.48,0.66,0.74,0.72,0.54,0.55,0.57,0.58,0.53,0.59
7,PB Ratio,0.38,0.38,0.50,0.60,0.89,0.86,0.83,1.01,0.93,0.82,1.04
8,P/TBV Ratio,0.40,0.40,0.53,0.62,0.93,0.89,0.88,1.10,1.02,0.96,1.23
9,P/FCF Ratio,-,-,-14.72,-,1.24,1.82,2.82,1.87,5.31,3.83,10.35
10,P/OCF Ratio,-,-,29.32,-,1.09,1.64,2.09,1.43,4.44,3.40,7.19
11,EV/Sales Ratio,-,-,0.11,-,0.36,0.47,0.37,0.45,0.49,0.47,0.54
12,EV/EBITDA Ratio,-,-,-,-,-,1.01,0.94,1.39,2.04,16.66,-
13,EV/EBIT Ratio,-,-,-,-,-,1.03,0.96,1.41,2.18,-,-
14,EV/FCF Ratio,-,-,-2.39,-,0.62,1.60,1.88,1.48,4.46,3.39,9.36
15,Debt / Equity Ratio,0.17,0.17,0.19,0.21,0.23,0.20,0.25,0.21,0.16,0.27,0.39
16,Debt / FCF Ratio,-,-,-5.57,-,0.31,0.43,0.86,0.39,0.94,1.27,3.92
17,Return on Capital Employed (ROCE),2.33%,2.33%,-,-0.65%,-,65.12%,50.01%,54.40%,34.20%,-,-
18,Earnings Yield,7.09%,7.09%,6.25%,-14.76%,25.08%,72.13%,60.66%,47.47%,38.06%,-11.69%,-14.98%
19,FCF Yield,-,-6.79%,21.49%,80.46%,54.81%,35.45%,53.37%,18.82%,26.12%,9.66%,
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.00%,-,-0.03%,
21,Total Shareholder Return,3.59%,-,-,-,-,-,-,-,0.00%,-,-0.03%
