,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,6425,7735,8947,9590,14706,19407,22515,25339,22405,20306,Upgrade
1,Trading Asset Securities,117.98,117.38,130.27,138.7,166.45,189.92,356.49,308.98,326.31,207.66,Upgrade
2,Cash & Short-Term Investments,6543,7852,9077,9729,14873,19597,22872,25648,22732,20513,Upgrade
3,Cash Growth,-27.92%,-19.29%,-38.97%,-50.36%,-34.97%,-23.59%,0.62%,25.03%,35.08%,35.51%,Upgrade
4,Accounts Receivable,1597,2220,2831,3797,3517,3566,4639,2570,3247,2267,Upgrade
5,Other Receivables,13210,13468,3793,13609,13791,5605,8804,3150,6386,2238,Upgrade
6,Receivables,14807,15688,6623,17591,17492,11338,14608,7550,12335,6740,Upgrade
7,Inventory,69385,76943,81392,86999,86780,87699,78590,63309,54623,47064,Upgrade
8,Prepaid Expenses,1737,1812,1826,1675,1460,1411,1193,865.43,928.03,1019,Upgrade
9,Restricted Cash,1216,1511,2334,2218,4658,5661,4006,2937,4037,3365,Upgrade
10,Other Current Assets,12660,12672,23987,15761,14031,22792,15392,21180,11814,20917,Upgrade
11,Total Current Assets,106347,116478,125239,133972,139294,148499,136660,121489,106469,99618,Upgrade
12,"Property, Plant & Equipment",6589,8831,6546,8700,6692,8328,5360,5914,5213,5434,Upgrade
13,Long-Term Investments,9322,9614,10352,9917,10164,10069,8959,8082,6322,5976,Upgrade
14,Goodwill,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64,-,-,Upgrade
15,Other Intangible Assets,5.66,6.75,7.55,8.59,668.08,4.86,611.98,5.42,-,-,Upgrade
16,Long-Term Accounts Receivable,-,-,-,232.08,227.37,222.78,-,-,-,-,Upgrade
17,Long-Term Deferred Tax Assets,2870,2577,1960,1713,1979,1110,1009,800.68,626.35,592.88,Upgrade
18,Other Long-Term Assets,81248,77278,81771,79187,79574,76803,64809,58820,54396,50876,Upgrade
19,Total Assets,206402,214806,225897,233751,238620,245056,217429,195132,173026,162497,Upgrade
20,Accounts Payable,14972,13673,14387,15314,13575,16197,13580,13184,14758,12757,Upgrade
21,Accrued Expenses,3897,4340,3198,6780,4111,4026,3344,2626,2991,2541,Upgrade
22,Short-Term Debt,198.16,236.5,1322,1378,2549,2546,6144,3948,2788,5176,Upgrade
23,Current Portion of Long-Term Debt,29399,29147,11758,18307,12003,19476,14456,16720,19916,10145,Upgrade
24,Current Portion of Leases,250.89,219.62,168.96,127.5,79.21,189.9,166.88,213,159.35,232.32,Upgrade
25,Current Income Taxes Payable,17694,16323,16310,15713,15092,13238,11588,10463,9595,8626,Upgrade
26,Current Unearned Revenue,22475,32052,34734,36764,39706,38925,25381,22757,19641,22695,Upgrade
27,Other Current Liabilities,25760,23990,23649,22797,26008,26155,25728,19420,18228,14675,Upgrade
28,Total Current Liabilities,114645,119981,105527,117181,113123,120755,100389,89330,88077,76846,Upgrade
29,Long-Term Debt,28844,29437,47839,43407,52016,50935,50799,45900,36546,39942,Upgrade
30,Long-Term Leases,2891,2641,2636,2654,2650,2350,654.8,675.92,402.94,197.52,Upgrade
31,Long-Term Deferred Tax Liabilities,7323,7428,7621,7817,8016,8472,7716,7242,6914,6516,Upgrade
32,Other Long-Term Liabilities,-,-,-,89.49,176.7,137.12,215.1,182.17,42.34,87.62,Upgrade
33,Total Liabilities,153703,159487,163623,171149,175982,182649,159773,143330,131982,123590,Upgrade
34,Common Stock,36.78,36.78,36.78,36.78,36.78,36.78,36.8,36.8,36.8,36.81,Upgrade
35,Additional Paid-In Capital,-,-,-,-,-,-,-,-,-,682.28,Upgrade
36,Retained Earnings,33756,36379,38997,39032,39322,38977,37513,34730,31301,29579,Upgrade
37,Comprehensive Income & Other,2030,2632,2720,2557,2713,2200,2111,1973,2002,2362,Upgrade
38,Total Common Equity,35823,39047,41754,41625,42071,41213,39661,36741,33340,32661,Upgrade
39,Minority Interest,16877,16272,20520,20976,20567,21194,17995,15061,7704,6246,Upgrade
40,Shareholders' Equity,52700,55319,62274,62602,62638,62407,57656,51801,41045,38907,Upgrade
41,Total Liabilities & Equity,206402,214806,225897,233751,238620,245056,217429,195132,173026,162497,Upgrade
42,Total Debt,61582,61680,63724,65874,69297,75497,72222,67456,59812,55693,Upgrade
43,Net Cash (Debt),-55040,-53828,-54646,-56146,-54424,-55900,-49350,-41809,-37080,-35180,Upgrade
44,Net Cash Per Share,-13.29,-13.00,-13.20,-13.56,-13.14,-13.50,-11.91,-10.09,-8.95,-8.61,Upgrade
45,Filing Date Shares Outstanding,4140,4140,4140,4140,4140,4140,4142,4142,4142,4144,Upgrade
46,Total Common Shares Outstanding,4140,4140,4140,4140,4140,4140,4142,4142,4142,4144,Upgrade
47,Working Capital,-8298,-3503,19712,16791,26171,27743,36272,32159,18392,22772,Upgrade
48,Book Value Per Share,8.65,9.29,9.95,9.93,10.04,9.83,9.45,8.74,7.86,7.68,Upgrade
49,Tangible Book Value,35797,39020,41726,41596,41383,41188,39028,36715,33340,32661,Upgrade
50,Tangible Book Value Per Share,8.65,9.28,9.94,9.92,9.87,9.82,9.30,8.74,7.86,7.68,Upgrade
51,Buildings,-,4509,-,4587,-,4436,-,3777,-,3734,Upgrade
52,Machinery,-,422.96,-,404.52,-,445.39,-,480.52,-,461.55,Upgrade
53,Construction In Progress,-,1278,-,1019,-,726.72,-,796.75,-,743.11,Upgrade
54,Leasehold Improvements,-,37.9,-,-,-,-,-,-,-,-,Upgrade
