,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1925,2401,3022,3851,6500,5424,16893,27630,22162,17978,21548,Upgrade
1,Market Cap Growth,-37.63%,-37.63%,-53.50%,-29.01%,-61.52%,-80.37%,-23.78%,53.69%,2.85%,15.32%,75.02%,Upgrade
2,Enterprise Value,79199,79629,84243,91037,94343,100056,97887,95167,71296,64320,64451,Upgrade
3,Last Close Price,0.47,0.58,0.73,0.93,1.57,1.31,4.08,6.41,4.92,3.91,4.37,Upgrade
4,PE Ratio,-,-,-,-18.17,-,1.66,2.30,2.95,3.06,3.68,4.77,Upgrade
5,Forward PE,-,1.23,1.49,1.56,1.59,1.12,2.60,4.51,4.41,4.45,6.29,Upgrade
6,PS Ratio,0.07,0.09,0.12,0.13,0.18,0.13,0.34,0.59,0.53,0.53,0.74,Upgrade
7,PB Ratio,0.05,0.04,0.05,0.06,0.09,0.07,0.22,0.40,0.36,0.40,0.50,Upgrade
8,P/TBV Ratio,0.06,0.06,0.07,0.09,0.14,0.11,0.33,0.59,0.51,0.49,0.59,Upgrade
9,P/FCF Ratio,0.39,0.49,0.54,-2.83,-,0.35,9.28,-,-,13.36,8.00,Upgrade
10,P/OCF Ratio,0.45,0.45,0.49,-3.28,-,0.33,7.08,-,-,11.40,7.00,Upgrade
11,PEG Ratio,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,Upgrade
12,EV/Sales Ratio,2.81,2.82,3.34,3.15,2.66,2.37,2.00,2.03,1.69,1.89,2.21,Upgrade
13,EV/EBITDA Ratio,-,-73.55,-,13.41,11.48,13.56,8.60,7.10,5.86,6.58,7.85,Upgrade
14,EV/EBIT Ratio,-,-56.90,-,13.94,11.87,14.06,8.82,7.25,5.99,6.75,8.10,Upgrade
15,EV/FCF Ratio,16.16,16.25,15.11,-66.86,-,6.40,53.77,-,-,47.79,23.92,Upgrade
16,Debt / Equity Ratio,1.17,1.17,1.11,1.02,1.05,1.11,1.21,1.25,1.30,1.46,1.43,Upgrade
17,Debt / FCF Ratio,13.50,13.50,12.19,-50.57,-,5.19,50.91,-,-,48.76,23.12,Upgrade
18,Return on Capital Employed (ROCE),-,-1.42%,-,5.02%,6.03%,4.84%,7.27%,9.33%,9.48%,10.22%,8.30%,Upgrade
19,Earnings Yield,-299.71%,-239.04%,-94.55%,-4.09%,7.75%,60.91%,43.82%,34.04%,32.93%,27.66%,21.34%,Upgrade
20,FCF Yield,254.51%,204.04%,184.44%,-35.36%,70.78%,288.30%,10.78%,-81.99%,-66.43%,7.49%,12.50%,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,6.86%,7.86%,9.15%,9.89%,8.24%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-0.01%,0.05%,0.06%,0.01%,-1.43%,-2.86%,6.39%,Upgrade,
23,Total Shareholder Return,-,-,-,-0.01%,0.05%,6.92%,7.87%,7.72%,7.03%,14.63%,Upgrade,
