,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,197265,428582,616853,88535,79152,439601,450322,72089,98266,381020,359605,68479,104603,219320,290260,71162,57453,309648,171941,65093,Upgrade
1,Revenue Growth (YoY),149.22%,-2.51%,36.98%,22.81%,-19.45%,15.37%,25.23%,5.27%,-6.06%,73.73%,23.89%,-3.77%,82.07%,-29.17%,68.81%,9.32%,97.00%,85.87%,-43.56%,-35.79%,Upgrade
2,Cost of Revenue,152692,321373,491226,56534,54346,338530,344827,43331,63114,294762,277232,41417,97792,159863,209494,44599,58096,215662,121774,44533,Upgrade
3,Gross Profit,44573,107209,125626,32001,24806,101071,105495,28758,35152,86258,82373,27062,6811,59457,80766,26564,-642.5,93985,50167,20561,Upgrade
4,"Selling, General & Admin",22143,82255,99895,26582,15908,77944,83249,21740,23714,66187,65477,20027,-2989,40539,62627,19279,-2173,64870,34898,14157,Upgrade
5,Operating Expenses,22143,82255,99895,26582,15908,77944,83249,21740,23714,66187,65477,20027,-2989,40539,62627,19279,-2173,64870,34898,14157,Upgrade
6,Operating Income,22430,24954,25731,5420,8898,23126,22246,7018,11438,20071,16895,7036,9800,18918,18139,7284,1530,29115,15269,6404,Upgrade
7,Interest Expense,-,-2500,-960.83,-456.34,-,-3091,-479.97,-1637,-1162,-1085,-1616,-801.62,-1426,-853.13,-916.76,-1097,-,-5086,-2534,-1541,Upgrade
8,Interest & Investment Income,4295,94.08,195.93,301.14,781.14,28.64,152.17,450.88,246.66,124.4,170.26,20.71,125.31,18.49,516.41,15.85,3196,1465,-,797.58,Upgrade
