,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,273.13,382.39,573.5,493.29,483.45,285.04,-,148,-,-,-,65.2,65.2,54.22,54.22
1,Trading Asset Securities,171.19,174.53,72.11,166.48,159.27,20.18,-,-,-,-,-,10.1,10.1,60.17,60.17
2,Cash & Short-Term Investments,444.32,556.91,645.61,659.77,642.72,305.22,148,148,-,-,75.3,75.3,75.3,114.39,114.39
3,Cash Growth,-30.87%,82.46%,336.22%,345.78%,-,-,96.55%,96.55%,-,-,-34.17%,-,-,-,-
4,Accounts Receivable,151.99,135.64,226.69,366.1,211.88,96.89,-,352.14,-,-,-,213.27,213.27,50.17,50.17
5,Other Receivables,2.14,2.83,2.11,1.18,1.34,22.87,-,2.45,-,-,-,5.32,5.32,10.45,10.45
6,Receivables,154.13,138.47,228.8,367.28,213.22,119.76,-,354.58,-,-,-,218.59,218.59,60.63,60.63
7,Inventory,310.78,309.22,206.73,160.4,337.71,361.06,-,105.84,-,-,-,117.47,117.47,197.29,197.29
8,Other Current Assets,7.38,18.79,11.58,2.69,21.61,14.44,-,11.06,-,-,-,7.58,7.58,4.42,4.42
9,Total Current Assets,916.61,1023,1093,1190,1215,800.48,-,619.48,-,-,-,418.95,418.95,376.73,376.73
10,"Property, Plant & Equipment",183.35,178.67,152.31,154.91,92.54,95.08,-,91.71,-,-,-,96.5,96.5,98.51,98.51
11,Other Intangible Assets,14.87,14.95,14.81,15.05,15.35,15.31,-,15.52,-,-,-,10.91,10.91,11.07,11.07
12,Long-Term Deferred Tax Assets,26.07,22.06,13.72,8.68,12.47,14.01,-,6.98,-,-,-,5.14,5.14,8.59,8.59
13,Long-Term Deferred Charges,0.49,0.62,0.75,0.87,1.04,1.22,-,0.73,-,-,-,0.28,0.28,0.54,0.54
14,Other Long-Term Assets,98.48,20.22,11.52,5.63,47.01,31.33,-,12.46,-,-,-,3.23,3.23,1.44,1.44
15,Total Assets,1240,1260,1286,1375,1384,957.43,-,746.88,-,-,-,535.01,535.01,496.88,496.88
16,Accounts Payable,122.06,144.4,104.11,211.54,242.37,259.34,-,110.24,-,-,-,32.45,32.45,103.33,103.33
17,Accrued Expenses,15.54,18.98,18.75,28.9,15.74,31.35,-,39.01,-,-,-,24.91,24.91,13.67,13.67
18,Short-Term Debt,20.01,20.01,20,-,20.02,20.02,-,20.02,-,-,-,-,-,10.01,10.01
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,13.02,13.02
20,Current Portion of Leases,1.58,1.42,1.25,1.09,1.1,0.66,-,1.65,-,-,-,2.36,2.36,2.26,2.26
21,Current Income Taxes Payable,3.31,0.78,1.8,2.89,1.05,-,-,8.41,-,-,-,9.07,9.07,4.05,4.05
22,Current Unearned Revenue,78.28,78.7,83.69,63.92,78.72,126.32,-,48.18,-,-,-,46.69,46.69,26.98,26.98
23,Other Current Liabilities,3.88,0.59,0.78,1.54,7.36,1.22,-,1.09,-,-,-,3.67,3.67,1.61,1.61
24,Total Current Liabilities,244.66,264.88,230.38,309.88,366.35,438.91,-,228.6,-,-,-,119.15,119.15,174.92,174.92
25,Long-Term Leases,-,-,0.15,0.43,0.85,1.42,-,-,-,-,-,1.65,1.65,2.85,2.85
26,Long-Term Unearned Revenue,8.56,6.46,6.46,6.46,3.26,3.26,-,2.26,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,-,-,0,-,0.04,0.03,-,-,-,-,-,0.01,0.01,0.03,0.03
28,Other Long-Term Liabilities,3.85,3.22,3.54,3.43,3.21,2.61,-,2.71,-,-,-,2.24,2.24,2.27,2.27
