,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2403,2247,2616,2885,3787,3237,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-30.57%,-30.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1980,1713,1993,2265,3167,2955,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,45.05,42.14,49.05,53.13,69.73,59.60,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,194.24,-,-,-,46.77,36.41,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.50,4.22,4.24,4.30,5.74,5.69,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.45,2.29,2.65,2.76,3.59,3.20,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.32,2.32,2.70,2.80,3.64,3.26,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,79.08,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,46.74,-,-,-1083.46,37.86,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.72,3.22,3.23,3.38,4.80,5.20,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,270.89,191.82,-,-,36.82,34.27,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,41.12,38.18,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-18.11,-,-,-,66.13,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.00,0.02,0.04,0.04,0.04,-,-,0.01,0.01,0.01,0.09,0.09
15,Debt / EBITDA Ratio,2.95,2.62,-,-,0.01,0.12,2.57,-,0.10,-,-,-,0.02,0.02,0.99,0.99
16,Debt / FCF Ratio,-,-,-,-,0.03,-,0.24,0.24,0.53,-,-,0.05,-,-,0.34,0.69
17,Asset Turnover,0.36,0.12,0.13,0.98,0.68,-,-,-,-,-,-,1.30,1.35,0.58,-,
18,Inventory Turnover,1.12,0.81,0.44,0.60,3.93,1.19,-,-,-,-,-,-,3.00,2.24,0.83,-
19,Quick Ratio,2.45,2.45,2.63,3.80,3.31,2.34,0.97,-,2.20,-,-,-,2.47,2.47,1.00,1.00
20,Current Ratio,3.75,3.75,3.86,4.74,3.84,3.32,1.82,-,2.71,-,-,-,3.52,3.52,2.15,2.15
21,Return on Equity (ROE),-1.04%,-8.17%,-3.73%,17.48%,21.96%,4.99%,-9.44%,-,-,-,2.83%,41.74%,47.19%,5.48%,-,
22,Return on Assets (ROA),-0.05%,-6.66%,-2.96%,8.97%,9.61%,-,-,-,-,-,-,23.31%,24.17%,2.51%,-,
23,Return on Capital (ROIC),-0.07%,-8.18%,-3.71%,11.85%,14.38%,-0.88%,-7.29%,-,-,-,-2.33%,29.98%,32.78%,3.61%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,7.23%,7.61%,-,-,14.67%,-,-,-,26.39%,14.40%,3.10%,1.55%
25,Earnings Yield,0.51%,0.55%,2.15%,2.87%,2.14%,2.75%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-4.55%,-4.86%,-6.22%,-2.07%,1.26%,0.10%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.66%,-,-,-,1.08%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,352.17%,-,-,-,0.20%,0.37%,2.58%,-,0.13%,-,-,-,0.22%,0.22%,305.88%,305.88%
29,Buyback Yield / Dilution,-26.29%,-8.91%,-34.61%,-32.07%,-33.46%,-22.93%,0.14%,0.31%,0.33%,0.26%,-0.29%,-0.29%,-,-,-,-
30,Total Shareholder Return,-24.62%,-8.91%,-34.61%,-32.07%,-32.38%,-22.93%,0.14%,0.31%,0.33%,0.26%,-0.29%,-0.29%,-,-,-,-
