,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,117.48,33.02,42.7,313.25,203.34,85.1,31.92,243.21,171.43,63.75,63.75,172.34,172.34,70.98,70.98
1,Other Revenue,-4.58,4.58,-,26.12,-5.55,5.55,-,5.14,-1.37,0.68,0.68,1.56,1.56,0.55,0.55
2,Revenue,112.9,37.6,42.7,339.36,197.79,90.65,31.92,248.35,170.06,64.43,64.43,173.9,173.9,71.54,71.54
3,Revenue Growth (YoY),-42.92%,-58.53%,33.76%,36.65%,16.30%,40.68%,-50.46%,42.81%,-2.20%,-9.93%,-9.93%,-,-,-,-
4,Cost of Revenue,62.97,28.17,27.59,244.98,103.95,58.74,22.43,140.16,90.41,39.48,39.48,88.03,88.03,40.76,40.76
5,Gross Profit,49.93,9.42,15.11,94.38,93.85,31.91,9.49,108.19,79.65,24.96,24.96,85.87,85.87,30.78,30.78
6,"Selling, General & Admin",24.63,22.35,18.51,21.7,23.08,24.46,19.92,20.59,19.28,19.25,19.25,17.78,17.78,17.05,17.05
7,Research & Development,23.89,23.85,20.4,18.46,20.43,16.46,17.15,20.01,20.99,14.73,14.73,11.69,11.69,11.61,11.61
8,Other Operating Expenses,0.3,-0.06,0.13,-3.98,-0.6,-4.11,-0.5,5.99,0.71,-1.36,-1.36,2.27,2.27,0.74,0.74
9,Operating Expenses,50.2,43.34,30.85,44.89,48.84,33.79,25.1,58.32,45.74,28.84,28.84,35.98,35.98,25.79,25.79
10,Operating Income,-0.27,-33.92,-15.74,49.5,45.01,-1.89,-15.61,49.88,33.91,-3.88,-3.88,49.89,49.89,4.99,4.99
11,Interest Expense,-0.15,-0.17,-0.14,-0.1,-0.18,-0.19,-0.19,-0.11,-0.03,-0.05,-0.05,-0.14,-0.14,-0.37,-0.37
12,Interest & Investment Income,1.76,2.49,2.32,1.55,2.7,0.88,0.65,0.27,0.32,0.12,0.12,0.02,0.02,0.07,0.07
13,Currency Exchange Gain (Loss),-0.36,0.36,-,1.96,-2.87,2.87,-,6.13,-4.51,2.26,2.26,-0.52,-0.52,-0.96,-0.96
14,Other Non Operating Income (Expenses),-0.9,0,0.07,-2.09,2.15,1.21,-1.2,-4.99,3.97,2.63,2.63,0.08,0.08,-2.29,-2.29
15,EBT Excluding Unusual Items,0.09,-31.24,-13.48,50.81,46.81,2.88,-16.35,51.18,33.65,1.08,1.08,49.32,49.32,1.44,1.44
16,Gain (Loss) on Sale of Investments,0.75,0.82,0.89,0.9,0.34,0.5,0.41,0.48,0.18,0.61,0.61,0.44,0.44,0.6,0.6
17,Gain (Loss) on Sale of Assets,0.14,0,-0,0.02,-,-,-,-,-,-,-,-0,-0,-0.01,-0.01
18,Asset Writedown,-7.71,2.66,-2.68,-0.95,-2.85,0.77,-0.77,1.81,-1.81,-0,-0,-0.01,-0.01,-0,-0
19,Other Unusual Items,0.15,0.27,0.46,1.03,-,-,-,7.88,-,-,-,0.6,0.6,1.95,1.95
20,Pretax Income,-6.58,-27.49,-14.81,51.81,44.3,4.14,-16.71,61.36,32.03,1.69,1.69,50.37,50.37,3.96,3.96
21,Income Tax Expense,-4.03,-6.76,-5.02,6.69,2.55,-2.25,-4.6,7.94,2.28,-1.23,-1.23,7.38,7.38,-0.38,-0.38
22,Earnings From Continuing Operations,-2.55,-20.73,-9.79,45.12,41.75,6.39,-12.11,53.42,29.75,2.92,2.92,42.99,42.99,4.34,4.34
23,Minority Interest in Earnings,0.45,-0.03,-0.25,0.12,0.01,-0.44,0.11,-0.22,0.15,0.05,0.05,-0.06,-0.06,0.04,0.04
24,Net Income,-2.1,-20.76,-10.04,45.25,41.75,5.95,-12,53.2,29.9,2.97,2.97,42.93,42.93,4.38,4.38
25,Net Income to Common,-2.1,-20.76,-10.04,45.25,41.75,5.95,-12,53.2,29.9,2.97,2.97,42.93,42.93,4.38,4.38
26,Net Income Growth,-,-,-,-14.95%,39.66%,100.56%,-,23.91%,-30.37%,-32.20%,-32.20%,-,-,-,-
27,Shares Outstanding (Basic),53,54,53,53,49,40,40,40,40,40,40,40,40,40,40
28,Shares Outstanding (Diluted),53,54,53,53,49,40,40,40,40,40,40,40,40,40,40
29,Shares Change (YoY),8.91%,34.61%,32.07%,33.46%,22.93%,-0.14%,-0.31%,-0.33%,-0.26%,0.29%,0.29%,-,-,-,-
30,EPS (Basic),-0.04,-0.38,-0.19,0.85,0.85,0.15,-0.30,1.34,0.75,0.07,0.07,1.08,1.08,0.11,0.11
31,EPS (Diluted),-0.04,-0.38,-0.19,0.85,0.85,0.15,-0.30,1.34,0.75,0.07,0.07,1.08,1.08,0.11,0.11
32,EPS Growth,-,-,-,-36.27%,13.61%,100.83%,-,24.38%,-30.15%,-32.40%,-32.40%,-,-,-,-
33,Free Cash Flow,-110.7,-42.22,-3.01,46.6,-163.96,60.73,104.51,1.9,-73.78,56.32,56.32,-5.72,-5.72,40.98,40.98
34,Free Cash Flow Per Share,-2.08,-0.78,-0.06,0.88,-3.36,1.52,2.61,0.05,-1.86,1.40,1.40,-0.14,-0.14,1.02,1.02
35,Dividend Per Share,-,-,-,0.750,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,44.23%,25.06%,35.39%,27.81%,47.45%,35.20%,29.73%,43.56%,46.84%,38.73%,38.73%,49.38%,49.38%,43.02%,43.02%
37,Operating Margin,-0.23%,-90.22%,-36.87%,14.59%,22.76%,-2.08%,-48.89%,20.08%,19.94%,-6.03%,-6.03%,28.69%,28.69%,6.97%,6.97%
38,Profit Margin,-1.86%,-55.22%,-23.50%,13.33%,21.11%,6.57%,-37.58%,21.42%,17.58%,4.61%,4.61%,24.69%,24.69%,6.12%,6.12%
39,Free Cash Flow Margin,-98.05%,-112.31%,-7.04%,13.73%,-82.90%,67.00%,327.39%,0.77%,-43.38%,87.40%,87.40%,-3.29%,-3.29%,57.29%,57.29%
40,EBITDA,2.06,-31.53,-13.42,51.82,47.17,0.46,-13.45,52.04,36.44,-1.36,-1.36,51.83,51.83,6.53,6.53
41,EBITDA Margin,1.82%,-83.88%,-31.42%,15.27%,23.85%,0.51%,-42.13%,20.95%,21.42%,-2.11%,-2.11%,29.80%,29.80%,9.13%,9.13%
42,D&A For EBITDA,2.33,2.38,2.33,2.33,2.16,2.35,2.16,2.16,2.53,2.53,2.53,1.94,1.94,1.54,1.54
43,EBIT,-0.27,-33.92,-15.74,49.5,45.01,-1.89,-15.61,49.88,33.91,-3.88,-3.88,49.89,49.89,4.99,4.99
44,EBIT Margin,-0.23%,-90.22%,-36.87%,14.59%,22.76%,-2.08%,-48.89%,20.08%,19.94%,-6.03%,-6.03%,28.69%,28.69%,6.97%,6.97%
45,Effective Tax Rate,-,-,-,12.91%,5.76%,-,-,12.93%,7.11%,-,-,14.64%,14.64%,-,-
46,Revenue as Reported,112.9,37.6,42.7,339.36,197.79,90.65,31.92,248.35,170.06,64.43,64.43,173.9,173.9,71.54,71.54
