,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2311,2056,2028,1647,1735,2452,2655,3755,3451,4202,2825,2635,3126,4116,3019,3287,-,-,-,-,-
1,Market Cap Growth,-16.17%,-16.17%,-23.62%,-56.14%,-49.71%,-41.64%,-6.03%,42.52%,10.38%,2.11%,-6.44%,-19.84%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1816,1560,1548,1144,1233,1950,2189,3218,2931,3683,2268,1959,2499,3488,2440,3212,-,-,-,-,-
3,Last Close Price,18.83,16.75,16.52,13.37,13.61,19.24,20.82,29.35,26.88,32.74,22.17,20.66,24.05,31.66,23.23,25.29,-,-,-,-,-
4,PE Ratio,35.53,31.14,29.78,34.36,82.32,167.25,-,-,108.02,113.50,34.05,-,28.63,33.36,29.35,29.23,-,-,-,-,-
5,PS Ratio,3.71,3.25,3.26,2.76,3.17,4.60,5.33,6.67,6.16,6.86,4.04,3.89,4.38,5.77,4.45,4.79,-,-,-,-,-
6,PB Ratio,2.19,1.95,1.92,1.57,1.61,2.32,2.54,3.55,3.19,3.93,-,2.55,2.87,3.83,2.98,3.31,-,-,-,-,-
7,P/TBV Ratio,2.00,2.00,1.97,1.61,1.65,2.38,2.61,3.64,3.27,4.03,-,2.60,2.92,3.90,3.03,3.38,-,-,-,-,-
8,P/FCF Ratio,-,-,27.76,25.72,-,109.85,5264.23,-,-35.74,-,-,-,-,42.64,32.51,47.07,-,-,-,-,-
9,P/OCF Ratio,-,-,18.05,16.15,15.07,14.41,14.27,31.24,72.59,-2101.67,-,-,19.96,28.79,18.26,24.39,-,-,-,-,-
10,EV/Sales Ratio,2.87,2.47,2.49,1.92,2.25,3.66,4.40,5.71,5.23,6.01,3.24,2.89,3.50,4.89,3.60,4.68,-,-,-,-,-
11,EV/EBITDA Ratio,17.84,15.02,19.73,26.94,52.93,194.48,-,-,117.79,111.81,24.54,-,20.36,24.27,23.54,25.58,-,-,-,-,-
12,EV/EBIT Ratio,26.38,22.67,35.66,131.66,-152.48,-,-,-,-1290.83,-,34.20,-,25.64,29.36,30.83,31.51,-,-,-,-,-
13,EV/FCF Ratio,-,-,21.19,17.87,-,87.36,4341.12,-,-30.36,-,-,-,-,36.14,26.28,45.98,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.11,0.07,0.07,0.05,0.04,0.15,-,0.11,0.05,0.05,0.06,0.06,0.15,0.21,-,-,0.42
15,Debt / EBITDA Ratio,0.49,0.42,0.39,0.75,1.16,3.55,-,-,0.91,31.13,-,-,0.70,0.23,0.74,0.61,0.45,1.18,-,-,1.17
16,Debt / FCF Ratio,-,-,0.68,0.88,-,3.40,139.51,-,-0.42,-,-,-,-,0.57,0.62,0.84,-,1.14,-,-,11.59
17,Asset Turnover,-,0.42,0.49,0.34,0.54,0.33,0.36,0.30,-,-,0.34,0.46,0.70,0.49,0.62,0.84,-,-,-,-,
18,Inventory Turnover,-,-,1.89,2.36,1.81,2.64,1.44,1.56,1.29,-,-,2.06,2.63,3.77,2.35,2.59,2.38,-,-,-,-
19,Quick Ratio,-,-,2.76,2.68,2.12,2.46,2.16,2.42,2.50,2.36,-,2.51,3.06,3.05,3.18,3.38,1.46,1.30,-,-,-
20,Current Ratio,-,-,3.57,3.41,2.78,3.10,2.95,3.36,3.36,3.01,-,3.19,3.72,3.63,3.89,4.10,2.23,1.86,-,-,-
21,Return on Equity (ROE),4.96%,3.89%,9.84%,6.16%,5.77%,-3.77%,-0.24%,3.74%,-,-,-3.31%,5.59%,22.31%,6.96%,9.95%,24.95%,-,-,-,-,
