,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,104.96,115.13,235.4,188.96,107.76,115.14,104.17,135.57,-,246.35,152.54,167.96,185.49,214.09,148.83,175.85,-,-,-
1,Short-Term Investments,-,-,-,-,11.02,-,-,-,-,-,-,-,-,-,-,-,0.16,-,-,-
2,Trading Asset Securities,-,440.24,420.85,381.28,390.06,464.69,402.87,473.97,527.63,-,428.16,577.38,564.44,499.61,423.44,-,-,-,-,-
3,Cash & Short-Term Investments,545.21,545.21,535.99,616.68,590.04,572.44,518.01,578.14,663.19,-,674.51,729.91,732.4,685.1,637.53,148.83,176.01,-,-,145.68
4,Cash Growth,-7.60%,-4.76%,3.47%,6.67%,-11.03%,-,-23.20%,-20.79%,-9.45%,-,5.80%,390.45%,316.12%,-,-,2.16%,-,-,-,-
5,Accounts Receivable,-,144.81,190.86,181.92,161.56,156.2,173.82,203.24,217.7,-,219.5,233.47,242.63,204.53,224.6,202.42,217.08,-,-,-
6,Other Receivables,-,1.48,5.33,0.73,0.31,0.81,0.45,0.98,0.75,-,1.25,1.55,1.09,1.36,2.09,3.25,0.85,-,-,-
7,Receivables,-,146.29,196.2,182.65,161.87,157.01,174.27,204.22,218.45,-,220.75,235.02,243.72,205.89,226.69,205.67,217.93,-,-,-
8,Inventory,-,190.85,186.54,203.14,179.96,234.69,233.54,240.92,215.64,-,206.93,180.31,163.34,186.79,167,169.63,159.43,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,2.62,-,-,-,0.55,-,0.65,-,-,-
10,Other Current Assets,-,12.38,12.41,43.16,16.87,31.1,35.88,29.63,27.3,-,33.83,28.04,24.38,13.16,16.43,16.66,12.74,-,-,-
11,Total Current Assets,-,894.72,931.14,1046,948.74,995.25,961.71,1053,1125,-,1139,1173,1164,1091,1048,540.78,566.76,-,-,-
12,"Property, Plant & Equipment",-,334.54,338.93,346.64,354.39,340.44,347.16,258.7,253.82,-,207.94,190.11,188.59,176.87,178.2,179.82,185.89,-,-,-
13,Long-Term Investments,-,43.01,21.01,21.24,21.24,0.9,0.9,0.9,11.52,-,11.32,0.9,0.9,0.9,10.92,0.9,0.9,-,-,-
14,Other Intangible Assets,-,26.43,26.64,27.13,26.93,26.5,26.3,26.05,26.24,-,20.72,18.85,19.27,18.76,19.09,19.23,19.51,-,-,-
15,Long-Term Deferred Tax Assets,-,10.22,8.47,12.11,13.45,14.14,10.36,9.8,9.05,-,6.77,5.33,5.56,3.93,4.16,4.52,4.53,-,-,-
16,Long-Term Deferred Charges,-,13.6,13.42,12.14,12.54,6.21,5.47,6.02,3.98,-,2.54,2.72,2.39,2.3,2.3,2.43,2.53,-,-,-
17,Other Long-Term Assets,-,8.02,8.24,10.11,8.83,17.53,10.72,58.89,33.35,-,18.75,27.05,24.53,23.71,9.26,4.86,3.48,-,-,-
18,Total Assets,-,1331,1348,1475,1386,1401,1363,1413,1463,-,1407,1418,1405,1317,1272,752.55,783.58,-,-,-
19,Accounts Payable,-,95.48,97.1,121.43,107.83,108.15,121.61,149.25,129.76,-,137.43,157.63,151.24,111.97,98.31,102.28,107.16,-,-,-
20,Accrued Expenses,-,6.44,5.67,1.62,10.79,4.66,4.95,1.65,6.7,-,9.75,2.86,18.54,9.37,12.9,5.21,19.47,-,-,-
21,Short-Term Debt,-,48.11,54.44,111.09,73.27,67.87,50.08,37.69,153.95,-,95.9,35.42,36.19,39.24,38.55,52.73,72.89,-,-,-
